directory_name,name_ja,image_order,is_main,image_url
seitengokuwmon,セイテンゴクウモン,2,False,https://digimon.net/cimages/digimon/seitengokuwmon_2.jpg
exmaquinamon,エクスマキナモン,1,True,https://digimon.net/cimages/digimon/exmaquinamon.jpg
dalphomon,ダルフォモン,1,True,https://digimon.net/cimages/digimon/dalphomon.jpg
shishimamon,シシマモン,1,True,https://digimon.net/cimages/digimon/shishimamon.jpg
darumamon,ダルマモン,1,True,https://digimon.net/cimages/digimon/darumamon.jpg
rhamphomon,ランフォモン,1,True,https://digimon.net/cimages/digimon/rhamphomon.jpg
chronomon_destroy,クロノモン：デストロイモード,1,True,https://digimon.net/cimages/digimon/chronomon_destroy.jpg
chronomon_holy,クロノモン：ホーリーモード,1,True,https://digimon.net/cimages/digimon/chronomon_holy.jpg
butenmon,ブテンモン,1,True,https://digimon.net/cimages/digimon/butenmon.jpg
buraimon,ブライモン,1,True,https://digimon.net/cimages/digimon/buraimon.jpg
hyokomon,ヒョコモン,1,True,https://digimon.net/cimages/digimon/hyokomon.jpg
chicchimon,チッチモン,1,True,https://digimon.net/cimages/digimon/chicchimon.jpg
zombieplutomon,ゾンビプルートモン,1,True,https://digimon.net/cimages/digimon/zombieplutomon.jpg
manekimon,マネキモン,1,True,https://digimon.net/cimages/digimon/manekimon.jpg
hakubamon,ハクバモン,1,True,https://digimon.net/cimages/digimon/hakubamon.jpg
wankomon,ワンコモン,1,True,https://digimon.net/cimages/digimon/wankomon.jpg
gasamon,ガサモン,1,True,https://digimon.net/cimages/digimon/gasamon.jpg
takinmon,ターキモン,1,True,https://digimon.net/cimages/digimon/takinmon.jpg
fujamon,フージャモン,1,True,https://digimon.net/cimages/digimon/fujamon.jpg
kakamon,カカモン,1,True,https://digimon.net/cimages/digimon/kakamon.jpg
armalizamon,アルマリザモン,1,True,https://digimon.net/cimages/digimon/armalizamon.jpg
onibimon,オニビモン,1,True,https://digimon.net/cimages/digimon/onibimon.jpg
tomorimon,トモリモン,1,True,https://digimon.net/cimages/digimon/tomorimon.jpg
mococomon,モココモン,1,True,https://digimon.net/cimages/digimon/mococomon.jpg
fukamon,フカモン,1,True,https://digimon.net/cimages/digimon/fukamon.jpg
parallelmon,パラレルモン,1,True,https://digimon.net/cimages/digimon/parallelmon.jpg
nightchiropmon,ナイトキロプモン,1,True,https://digimon.net/cimages/digimon/nightchiropmon.jpg
styracomon,スティラコモン,1,True,https://digimon.net/cimages/digimon/styracomon.jpg
taotiemon,タオティエモン,1,True,https://digimon.net/cimages/digimon/taotiemon.jpg
craniummon_enbarrmon,クレニアムモン+アンヴァルモン,1,True,https://digimon.net/cimages/digimon/craniummon_enbarrmon.jpg
enbarrmon,アンヴァルモン,1,True,https://digimon.net/cimages/digimon/enbarrmon.jpg
metatromon,メタトロモン,1,True,https://digimon.net/cimages/digimon/metatromon.jpg
greatgryzmon,グレートグリズモン,1,True,https://digimon.net/cimages/digimon/greatgryzmon.jpg
titamon_skullbaluchimon,タイタモン+スカルバルキモン,1,True,https://digimon.net/cimages/digimon/titamon_skullbaluchimon.jpg
cougarmon,クーガモン,1,True,https://digimon.net/cimages/digimon/cougarmon.jpg
masterblimpmon,マスターブリンプモン,1,True,https://digimon.net/cimages/digimon/masterblimpmon.jpg
hyemon,ハイエモン,1,True,https://digimon.net/cimages/digimon/hyemon.jpg
murasamemon,ムラサメモン,1,True,https://digimon.net/cimages/digimon/murasamemon.jpg
wolvermon,ウルヴァモン,1,True,https://digimon.net/cimages/digimon/wolvermon.jpg
chiropmon,キロプモン,1,True,https://digimon.net/cimages/digimon/chiropmon.jpg
pristimon,プリスティモン,1,True,https://digimon.net/cimages/digimon/pristimon.jpg
dullahamon,デュラハモン,1,True,https://digimon.net/cimages/digimon/dullahamon.jpg
gekkomon,ゲッコーモン,1,True,https://digimon.net/cimages/digimon/gekkomon.jpg
kekkomon,ケッコモン,1,True,https://digimon.net/cimages/digimon/kekkomon.jpg
kekomon,ケコモン,1,True,https://digimon.net/cimages/digimon/kekomon.jpg
magneticdramon,マグネティックドラモン,1,True,https://digimon.net/cimages/digimon/magneticdramon.jpg
maneuvermon,マニューバモン,1,True,https://digimon.net/cimages/digimon/maneuvermon.jpg
turbomon,ターボモン,1,True,https://digimon.net/cimages/digimon/turbomon.jpg
nyabootmon,ニャブートモン,1,True,https://digimon.net/cimages/digimon/nyabootmon.jpg
yihumon,イーフーモン,1,True,https://digimon.net/cimages/digimon/yihumon.jpg
ariemon,アリエモン,1,True,https://digimon.net/cimages/digimon/ariemon.jpg
skullseadramon,スカルシードラモン,1,True,https://digimon.net/cimages/digimon/skullseadramon.jpg
sharkmon,シャークモン,1,True,https://digimon.net/cimages/digimon/sharkmon.jpg
kaguyamon,カグヤモン,1,True,https://digimon.net/cimages/digimon/kaguyamon.jpg
karakurumon,カラクルモン,1,True,https://digimon.net/cimages/digimon/karakurumon.jpg
kokeshimon,コケシモン,1,True,https://digimon.net/cimages/digimon/kokeshimon.jpg
hanimon,ハニモン,1,True,https://digimon.net/cimages/digimon/hanimon.jpg
mockingbirdmon,モッキンバーモン,1,True,https://digimon.net/cimages/digimon/mockingbirdmon.jpg
mulemon,ミュールモン,1,True,https://digimon.net/cimages/digimon/mulemon.jpg
maquinamon,マキナモン,1,True,https://digimon.net/cimages/digimon/maquinamon.jpg
nazhamon_crimson,ナタモン：クリムゾンモード,1,True,https://digimon.net/cimages/digimon/nazhamon_crimson.jpg
shagaramon,シャガラモン,1,True,https://digimon.net/cimages/digimon/shagaramon.jpg
medusamon,メデューサモン,1,True,https://digimon.net/cimages/digimon/medusamon.jpg
lamiamon,ラミアモン,1,True,https://digimon.net/cimages/digimon/lamiamon.jpg
necromon,ネクロモン,1,True,https://digimon.net/cimages/digimon/necromon.jpg
jougamon,ジョウガモン,1,True,https://digimon.net/cimages/digimon/jougamon.jpg
pyramidimon,ピラミディモン,1,True,https://digimon.net/cimages/digimon/pyramidimon.jpg
proganomon,プロガノモン,1,True,https://digimon.net/cimages/digimon/proganomon.jpg
landramon,ランドラモン,1,True,https://digimon.net/cimages/digimon/landramon.jpg
invisimon,インビジモン,1,True,https://digimon.net/cimages/digimon/invisimon.jpg
oblivimon,オブリビモン,1,True,https://digimon.net/cimages/digimon/oblivimon.jpg
dimetromon,ディメトロモン,1,True,https://digimon.net/cimages/digimon/dimetromon.jpg
ryugumon,リュウグウモン,1,True,https://digimon.net/cimages/digimon/ryugumon.jpg
cerunumon,ケルヌモン,1,True,https://digimon.net/cimages/digimon/cerunumon.jpg
marinbullmon,マリンブルモン,1,True,https://digimon.net/cimages/digimon/marinbullmon.jpg
elizamon,エリザモン,1,True,https://digimon.net/cimages/digimon/elizamon.jpg
nezhamon,ナタモン,1,True,https://digimon.net/cimages/digimon/nezhamon.jpg
dinomon,ダイナモン,1,True,https://digimon.net/cimages/digimon/dinomon.jpg
skadimon,スカーディモン,1,True,https://digimon.net/cimages/digimon/skadimon.jpg
polarbearmon,ポーラーベアモン,1,True,https://digimon.net/cimages/digimon/polarbearmon.jpg
erlangmon_blast,イーランモン：ブラストモード,1,True,https://digimon.net/cimages/digimon/erlangmon_blast.jpg
queenbeemon,クイーンビーモン,1,True,https://digimon.net/cimages/digimon/queenbeemon.jpg
queenbeemon,クイーンビーモン,2,False,https://digimon.net/cimages/digimon/queenbeemon_2.jpg
vespamon,ヴェスパモン,1,True,https://digimon.net/cimages/digimon/vespamon.jpg
forgebeemon,フォージビーモン,1,True,https://digimon.net/cimages/digimon/forgebeemon.jpg
heavymetaldramon,ヘヴィーメタルドラモン,1,True,https://digimon.net/cimages/digimon/heavymetaldramon.jpg
loudmon,ラウドモン,1,True,https://digimon.net/cimages/digimon/loudmon.jpg
punkmon,パンクモン,1,True,https://digimon.net/cimages/digimon/punkmon.jpg
takutoumon_wrath,タクトウモン：ラースモード,1,True,https://digimon.net/cimages/digimon/takutoumon_wrath.jpg
erlangmon,イーランモン,1,True,https://digimon.net/cimages/digimon/erlangmon.jpg
cendrillmon,サンドリモン,1,True,https://digimon.net/cimages/digimon/cendrillmon.jpg
chaperomon,シャペロモン,1,True,https://digimon.net/cimages/digimon/chaperomon.jpg
zephagamon,ゼファーガモン,1,True,https://digimon.net/cimages/digimon/zephagamon.jpg
grandgalemon,グランゲイルモン,1,True,https://digimon.net/cimages/digimon/grandgalemon.jpg
fluffymon,フラフィモン,1,True,https://digimon.net/cimages/digimon/fluffymon.jpg
yolkmon,ヨークモン,1,True,https://digimon.net/cimages/digimon/yolkmon.jpg
callismon,カリスモン,1,True,https://digimon.net/cimages/digimon/callismon.jpg
tlalocmon,トラロックモン,1,True,https://digimon.net/cimages/digimon/tlalocmon.jpg
shoeshoemon,シューシューモン,1,True,https://digimon.net/cimages/digimon/shoeshoemon.jpg
shoemon,シューモン,1,True,https://digimon.net/cimages/digimon/shoemon.jpg
galemon,ゲイルモン,1,True,https://digimon.net/cimages/digimon/galemon.jpg
pteromon,プテロモン,1,True,https://digimon.net/cimages/digimon/pteromon.jpg
takutoumon,タクトウモン,1,True,https://digimon.net/cimages/digimon/takutoumon.jpg
fenriloogamon_takemikazuchi,フェンリルガモン：建御雷神(タケミカヅチ),1,True,https://digimon.net/cimages/digimon/fenriloogamon_takemikazuchi.jpg
bigukkomon,ビッグウッコモン,1,True,https://digimon.net/cimages/digimon/bigukkomon.jpg
ukkomon,ウッコモン,1,True,https://digimon.net/cimages/digimon/ukkomon.jpg
dijiangmon,ディージャンモン,1,True,https://digimon.net/cimages/digimon/dijiangmon.jpg
xingtianmon,シンテンモン,1,True,https://digimon.net/cimages/digimon/xingtianmon.jpg
lianpumon,リェンフーモン,1,True,https://digimon.net/cimages/digimon/lianpumon.jpg
dominimon,ドミニモン,1,True,https://digimon.net/cimages/digimon/dominimon.jpg
arkhaiangemon,アルケーエンジェモン,1,True,https://digimon.net/cimages/digimon/arkhaiangemon.jpg
luxmon,ルクスモン,1,True,https://digimon.net/cimages/digimon/luxmon.jpg
huanglongmon_ruin,ファンロンモン：ルインモード,1,True,https://digimon.net/cimages/digimon/huanglongmon_ruin.jpg
moonmon,ムンモン,1,True,https://digimon.net/cimages/digimon/moonmon.jpg
sunmon,サンモン,1,True,https://digimon.net/cimages/digimon/sunmon.jpg
brigadramon,ブリガードラモン,1,True,https://digimon.net/cimages/digimon/brigadramon.jpg
hi-commandramon,ハイコマンドラモン,1,True,https://digimon.net/cimages/digimon/hi-commandramon.jpg
fenriloogamon,フェンリルガモン,1,True,https://digimon.net/cimages/digimon/fenriloogamon.jpg
helloogarmon,ヘルガルモン,1,True,https://digimon.net/cimages/digimon/helloogarmon.jpg
soloogarmon,ソルガルモン,1,True,https://digimon.net/cimages/digimon/soloogarmon.jpg
cargodramon,カーゴドラモン,1,True,https://digimon.net/cimages/digimon/cargodramon.jpg
loogarmon,ルガルモン,1,True,https://digimon.net/cimages/digimon/loogarmon.jpg
bowmon,バウモン,1,True,https://digimon.net/cimages/digimon/bowmon.jpg
fusamon,フサモン,1,True,https://digimon.net/cimages/digimon/fusamon.jpg
quantumon,クオンタモン,1,True,https://digimon.net/cimages/digimon/quantumon.jpg
loogamon,ルガモン,1,True,https://digimon.net/cimages/digimon/loogamon.jpg
proximamon,プロキシマモン,1,True,https://digimon.net/cimages/digimon/proximamon.jpg
arcturusmon,アルクトゥルスモン,1,True,https://digimon.net/cimages/digimon/arcturusmon.jpg
greyknightsmon,グレイナイツモン,1,True,https://digimon.net/cimages/digimon/greyknightsmon.jpg
zanmetsumon,ザンメツモン,1,True,https://digimon.net/cimages/digimon/zanmetsumon.jpg
bombermon,ボマーモン,1,True,https://digimon.net/cimages/digimon/bombermon.jpg
ghilliedhumon,ギリードゥモン,1,True,https://digimon.net/cimages/digimon/ghilliedhumon.jpg
fumamon,フウマモン,1,True,https://digimon.net/cimages/digimon/fumamon.jpg
cthyllamon,クティーラモン,1,True,https://digimon.net/cimages/digimon/cthyllamon.jpg
regulusmon,レグルスモン,1,True,https://digimon.net/cimages/digimon/regulusmon.jpg
ragnamon,ラグナモン,1,True,https://digimon.net/cimages/digimon/ragnamon.jpg
destromon,デストロモン,1,True,https://digimon.net/cimages/digimon/destromon.jpg
snatchmon,スナッチモン,1,True,https://digimon.net/cimages/digimon/snatchmon.jpg
bemmon,ベムモン,1,True,https://digimon.net/cimages/digimon/bemmon.jpg
baalmon_x,バアルモン（X抗体）,1,True,https://digimon.net/cimages/digimon/baalmon_x.jpg
amphimon,アンフィモン,1,True,https://digimon.net/cimages/digimon/amphimon.jpg
diarbbitmon,ディルビットモン,1,True,https://digimon.net/cimages/digimon/diarbbitmon.jpg
siriusmon,シリウスモン,1,True,https://digimon.net/cimages/digimon/siriusmon.jpg
shinegreymon_ruin,シャイングレイモン： ルインモード,1,True,https://digimon.net/cimages/digimon/shinegreymon_ruin.jpg
chamblemon,シャンブルモン,1,True,https://digimon.net/cimages/digimon/chamblemon.jpg
publimon,パブリモン,1,True,https://digimon.net/cimages/digimon/publimon.jpg
oleamon,オウリアモン,1,True,https://digimon.net/cimages/digimon/oleamon.jpg
huankunmon,ファンクンモン,1,True,https://digimon.net/cimages/digimon/huankunmon.jpg
xiangpengmon,シャンポンモン,1,True,https://digimon.net/cimages/digimon/xiangpengmon.jpg
xiquemon,シーチューモン,1,True,https://digimon.net/cimages/digimon/xiquemon.jpg
imperialdramonfightermode_vi,インペリアルドラモン：ファイターモード（黒）,1,True,https://digimon.net/cimages/digimon/imperialdramonfightermode_vi.jpg
greymon_blue_x,グレイモン（青）（X抗体）,1,True,https://digimon.net/cimages/digimon/greymon_blue_x.jpg
oboromon,オボロモン,1,True,https://digimon.net/cimages/digimon/oboromon.jpg
gyukimon,ギュウキモン,1,True,https://digimon.net/cimages/digimon/gyukimon.jpg
shinmonzaemon,しんもんざえモン,1,True,https://digimon.net/cimages/digimon/shinmonzaemon.jpg
hoverespimon,ホバーエスピモン,1,True,https://digimon.net/cimages/digimon/hoverespimon.jpg
espimon,エスピモン,1,True,https://digimon.net/cimages/digimon/espimon.jpg
jupitermmon_wrath,ユピテルモン：ラースモード,1,True,https://digimon.net/cimages/digimon/jupitermmon_wrath.jpg
plutomon,プルートモン,1,True,https://digimon.net/cimages/digimon/plutomon.jpg
ceresmon,ケレスモン,1,True,https://digimon.net/cimages/digimon/ceresmon.jpg
ceresmon,ケレスモン,2,False,https://digimon.net/cimages/digimon/ceresmon_2.jpg
bacchusmon,バッカスモン,1,True,https://digimon.net/cimages/digimon/bacchusmon.jpg
bacchusmon,バッカスモン,2,False,https://digimon.net/cimages/digimon/bacchusmon_2.jpg
junomon_hysteric,ユノモン：ヒステリックモード,1,True,https://digimon.net/cimages/digimon/junomon_hysteric.jpg
junomon,ユノモン,1,True,https://digimon.net/cimages/digimon/junomon.jpg
thetismon,テティスモン,1,True,https://digimon.net/cimages/digimon/thetismon.jpg
lamortmon,ラモールモン,1,True,https://digimon.net/cimages/digimon/lamortmon.jpg
canoweissmon,カノーヴァイスモン,1,True,https://digimon.net/cimages/digimon/canoweissmon.jpg
sistermon_ciel_Awake,シスタモン シエル（覚醒）,1,True,https://digimon.net/cimages/digimon/sistermon_ciel_Awake.jpg
sistermon_noir_Awake,シスタモン ノワール（覚醒）,1,True,https://digimon.net/cimages/digimon/sistermon_noir_Awake.jpg
sistermon_blanc_Awake,シスタモン ブラン（覚醒）,1,True,https://digimon.net/cimages/digimon/sistermon_blanc_Awake.jpg
gulusgammamon,グルスガンマモン,1,True,https://digimon.net/cimages/digimon/gulusgammamon.jpg
teslajellymon,テスラジェリーモン,1,True,https://digimon.net/cimages/digimon/teslajellymon.jpg
symbareangoramon,ジンバーアンゴラモン,1,True,https://digimon.net/cimages/digimon/symbareangoramon.jpg
blacktailmon_uver,ブラックテイルモン Uver.,1,True,https://digimon.net/cimages/digimon/blacktailmon_uver.jpg
weddinmon,ウェディンモン,1,True,https://digimon.net/cimages/digimon/weddinmon.jpg
shortmon,ショートモン,1,True,https://digimon.net/cimages/digimon/shortmon.jpg
blackrapidmon,ブラックラピッドモン,1,True,https://digimon.net/cimages/digimon/blackrapidmon.jpg
blackgalgomon,ブラックガルゴモン,1,True,https://digimon.net/cimages/digimon/blackgalgomon.jpg
omegamonzwart_d,オメガモンズワルトDEFEAT,1,True,https://digimon.net/cimages/digimon/omegamonzwart_d.jpg
wezengammamon,ウェズンガンマモン,1,True,https://digimon.net/cimages/digimon/wezengammamon.jpg
kausgammamon,カウスガンマモン,1,True,https://digimon.net/cimages/digimon/kausgammamon.jpg
betelgammamon,ベテルガンマモン,1,True,https://digimon.net/cimages/digimon/betelgammamon.jpg
abbadomoncore,アバドモンコア,1,True,https://digimon.net/cimages/digimon/abbadomoncore.jpg
abbadomoncore,アバドモンコア,2,False,https://digimon.net/cimages/digimon/abbadomoncore_2.jpg
luminamon_nene,ルミナモン（ネネVer.）,1,True,https://digimon.net/cimages/digimon/luminamon_nene.jpg
shoutmonx7_superior,シャウトモンX7：スペリオルモード,1,True,https://digimon.net/cimages/digimon/shoutmonx7_superior.jpg
jellymon,ジェリーモン,1,True,https://digimon.net/cimages/digimon/jellymon.jpg
puyoyomon,プヨヨモン,1,True,https://digimon.net/cimages/digimon/puyoyomon.jpg
puyomon,プヨモン,1,True,https://digimon.net/cimages/digimon/puyomon.jpg
angoramon,アンゴラモン,1,True,https://digimon.net/cimages/digimon/angoramon.jpg
bosamon,ボサモン,1,True,https://digimon.net/cimages/digimon/bosamon.jpg
pyonmon,ピョンモン,1,True,https://digimon.net/cimages/digimon/pyonmon.jpg
gammamon,ガンマモン,1,True,https://digimon.net/cimages/digimon/gammamon.jpg
gurimon,グリモン,1,True,https://digimon.net/cimages/digimon/gurimon.jpg
curimon,クリモン,1,True,https://digimon.net/cimages/digimon/curimon.jpg
abbadomon,アバドモン,1,True,https://digimon.net/cimages/digimon/abbadomon.jpg
negamon,ネガーモン,1,True,https://digimon.net/cimages/digimon/negamon.jpg
pilevolcamon,パイルボルケーモン,1,True,https://digimon.net/cimages/digimon/pilevolcamon.jpg
raidenmon,ライデンモン,1,True,https://digimon.net/cimages/digimon/raidenmon.jpg
raijinmon,ライジンモン,1,True,https://digimon.net/cimages/digimon/raijinmon.jpg
dokunemon,ドクネモン,1,True,https://digimon.net/cimages/digimon/dokunemon.jpg
modokibetamon,モドキベタモン,1,True,https://digimon.net/cimages/digimon/modokibetamon.jpg
hydramon,ヒュドラモン,1,True,https://digimon.net/cimages/digimon/hydramon.jpg
bloomlordmon,ブルムロードモン,1,True,https://digimon.net/cimages/digimon/bloomlordmon.jpg
ajatarmon,アヤタラモン,1,True,https://digimon.net/cimages/digimon/ajatarmon.jpg
gardromon_gold,ガードロモン（金）,1,True,https://digimon.net/cimages/digimon/gardromon_gold.jpg
burgamon_lv4,バーガモン,1,True,https://digimon.net/cimages/digimon/burgamon_lv4.jpg
pidmon,ピッドモン,1,True,https://digimon.net/cimages/digimon/pidmon.jpg
sandyammamon,サンドヤンマモン,1,True,https://digimon.net/cimages/digimon/sandyammamon.jpg
yammamon,ヤンマモン,1,True,https://digimon.net/cimages/digimon/yammamon.jpg
morishellmon,モリシェルモン,1,True,https://digimon.net/cimages/digimon/morishellmon.jpg
bombernanimon,ボンバーナニモン,1,True,https://digimon.net/cimages/digimon/bombernanimon.jpg
heraklekabuterimon_x,ヘラクルカブテリモン（X抗体）,1,True,https://digimon.net/cimages/digimon/heraklekabuterimon_x.jpg
starmon_x,スターモン（X抗体）,1,True,https://digimon.net/cimages/digimon/starmon_x.jpg
growmon_x,グラウモン（X抗体）,1,True,https://digimon.net/cimages/digimon/growmon_x.jpg
hagurumon_x,ハグルモン（X抗体）,1,True,https://digimon.net/cimages/digimon/hagurumon_x.jpg
gaioumon_itto,ガイオウモン：厳刀ノ型,1,True,https://digimon.net/cimages/digimon/gaioumon_itto.jpg
brachiomon,ブラキモン,1,True,https://digimon.net/cimages/digimon/brachiomon.jpg
kyukimon,キュウキモン,1,True,https://digimon.net/cimages/digimon/kyukimon.jpg
vermillimon,ヴァーミリモン,1,True,https://digimon.net/cimages/digimon/vermillimon.jpg
assaultmon,アサルトモン,1,True,https://digimon.net/cimages/digimon/assaultmon.jpg
tekkamon,テッカモン,1,True,https://digimon.net/cimages/digimon/tekkamon.jpg
vulturemon,バルチャモン,1,True,https://digimon.net/cimages/digimon/vulturemon.jpg
goromon,ゴロモン,1,True,https://digimon.net/cimages/digimon/goromon.jpg
sunamon,スナモン,1,True,https://digimon.net/cimages/digimon/sunamon.jpg
burpmon,ば～ぷモン,1,True,https://digimon.net/cimages/digimon/burpmon.jpg
blackkingnumemon,ブラックキングヌメモン,1,True,https://digimon.net/cimages/digimon/blackkingnumemon.jpg
goldnumemon,ゴールドヌメモン,1,True,https://digimon.net/cimages/digimon/goldnumemon.jpg
culumon,クルモン,1,True,https://digimon.net/cimages/digimon/culumon.jpg
gladimon,グラディモン,1,True,https://digimon.net/cimages/digimon/gladimon.jpg
shoutmonx4k,シャウトモンX4K,1,True,https://digimon.net/cimages/digimon/shoutmonx4k.jpg
kodokugumon,コドクグモン,1,True,https://digimon.net/cimages/digimon/kodokugumon.jpg
yoxtuyoxtumon,ヨッ！ヨッ！モン,1,True,https://digimon.net/cimages/digimon/yoxtuyoxtumon.jpg
minidekachimon,ミニデカチモン,1,True,https://digimon.net/cimages/digimon/minidekachimon.jpg
atamadekachimon,アタマデカチモン,1,True,https://digimon.net/cimages/digimon/atamadekachimon.jpg
trailmon,トレイルモン,1,True,https://digimon.net/cimages/digimon/trailmon.jpg
greatkingscumon,スカモン大王,1,True,https://digimon.net/cimages/digimon/greatkingscumon.jpg
shroudmon,シュラウドモン,1,True,https://digimon.net/cimages/digimon/shroudmon.jpg
frosvelgrmon,フロスベルグモン,1,True,https://digimon.net/cimages/digimon/frosvelgrmon.jpg
frozomon,フロゾモン,1,True,https://digimon.net/cimages/digimon/frozomon.jpg
hiyarimon,ヒヤリモン,1,True,https://digimon.net/cimages/digimon/hiyarimon.jpg
blackseraphimon,ブラックセラフィモン,1,True,https://digimon.net/cimages/digimon/blackseraphimon.jpg
rareraremon,レアレアモン,1,True,https://digimon.net/cimages/digimon/rareraremon.jpg
climbmon,クライモン,1,True,https://digimon.net/cimages/digimon/climbmon.jpg
divemon,ダイブモン,1,True,https://digimon.net/cimages/digimon/divemon.jpg
clearagumon,クリアアグモン,1,True,https://digimon.net/cimages/digimon/clearagumon.jpg
bancholilimon,バンチョーリリモン,1,True,https://digimon.net/cimages/digimon/bancholilimon.jpg
metalgreymon_va_x,メタルグレイモン（ワクチン種）（Ｘ抗体）,1,True,https://digimon.net/cimages/digimon/metalgreymon_va_x.jpg
panjyamon_x,パンジャモン（Ｘ抗体）,1,True,https://digimon.net/cimages/digimon/panjyamon_x.jpg
metalmamemon_x,メタルマメモン（Ｘ抗体）,1,True,https://digimon.net/cimages/digimon/metalmamemon_x.jpg
thunderballmon_x,サンダーボールモン（Ｘ抗体）,1,True,https://digimon.net/cimages/digimon/thunderballmon_x.jpg
monochromon_x,モノクロモン（Ｘ抗体）,1,True,https://digimon.net/cimages/digimon/monochromon_x.jpg
dobermon_x,ドーベルモン（Ｘ抗体）,1,True,https://digimon.net/cimages/digimon/dobermon_x.jpg
gesomon_x,ゲソモン（Ｘ抗体）,1,True,https://digimon.net/cimages/digimon/gesomon_x.jpg
gottsumon_x,ゴツモン（Ｘ抗体）,1,True,https://digimon.net/cimages/digimon/gottsumon_x.jpg
ganimon_x,ガニモン（Ｘ抗体）,1,True,https://digimon.net/cimages/digimon/ganimon_x.jpg
guilmon_x,ギルモン（Ｘ抗体）,1,True,https://digimon.net/cimages/digimon/guilmon_x.jpg
shoutmon_ex6,シャウトモンEX6,1,True,https://digimon.net/cimages/digimon/shoutmon_ex6.jpg
torikaraballmon,とりからボールモン,1,True,https://digimon.net/cimages/digimon/torikaraballmon.jpg
burgamon,バーガモン,1,True,https://digimon.net/cimages/digimon/burgamon.jpg
potamon,ポテモン,1,True,https://digimon.net/cimages/digimon/potamon.jpg
achillesmon,アキレウスモン,1,True,https://digimon.net/cimages/digimon/achillesmon.jpg
shivamon,シーヴァモン,1,True,https://digimon.net/cimages/digimon/shivamon.jpg
kazuchimon,カヅチモン,1,True,https://digimon.net/cimages/digimon/kazuchimon.jpg
pistmon,ピストモン,1,True,https://digimon.net/cimages/digimon/pistmon.jpg
tempomon,テンポモン,1,True,https://digimon.net/cimages/digimon/tempomon.jpg
shootmon,シュートモン,1,True,https://digimon.net/cimages/digimon/shootmon.jpg
boutmon,バウトモン,1,True,https://digimon.net/cimages/digimon/boutmon.jpg
mitamamon,ミタマモン,1,True,https://digimon.net/cimages/digimon/mitamamon.jpg
lovelyangemon,ラブリーエンジェモン,1,True,https://digimon.net/cimages/digimon/lovelyangemon.jpg
bibimon,ビビモン,1,True,https://digimon.net/cimages/digimon/bibimon.jpg
dokimon,ドキモン,1,True,https://digimon.net/cimages/digimon/dokimon.jpg
namakemon,ナマケモン,1,True,https://digimon.net/cimages/digimon/namakemon.jpg
runnermon,ランナモン,1,True,https://digimon.net/cimages/digimon/runnermon.jpg
exermon,エキサモン,1,True,https://digimon.net/cimages/digimon/exermon.jpg
bulkmon,バルクモン,1,True,https://digimon.net/cimages/digimon/bulkmon.jpg
komondomon,コモンドモン,1,True,https://digimon.net/cimages/digimon/komondomon.jpg
pulsemon,パルスモン,1,True,https://digimon.net/cimages/digimon/pulsemon.jpg
