id,name_ja,move_index,move_ja,move_ko,move_en,move_zh_hans,move_zh_hant,url_ja
15,ウェザーモン,2,グズグズウェザー,꾸물꾸물 웨더,Grumbly Weather,阴郁坏天气,陰晴不定,https://digimon.net/appmon/detail.php?id=15
16,コンパスモン,1,ぐるぐるパニック,빙글빙글 패닉,Turning Panic,疯狂转圈圈,暈頭轉向大恐慌,https://digimon.net/appmon/detail.php?id=16
16,コンパスモン,2,スピンディフレクション,스핀 디플렉션,Spin Deflection,旋转偏移,旋轉偏差,https://digimon.net/appmon/detail.php?id=16
17,ヤドモン,1,グランドオープン！,그랜드 오픈!,Grand Opening,盛大开业！,盛大開幕！,https://digimon.net/appmon/detail.php?id=17
17,ヤドモン,2,スケアリーサービス,스케어리 서비스,Scary Service,惊吓服务,恐怖服務,https://digimon.net/appmon/detail.php?id=17
18,ニュースモン,1,ゴーガイニュース,호외 뉴스,Breaking News,号外新闻,號外新聞,https://digimon.net/appmon/detail.php?id=18
18,ニュースモン,2,ショーゲキニュース,충격 뉴스,Shocking News,重磅新闻,衝擊新聞,https://digimon.net/appmon/detail.php?id=18
19,チュートモン,1,フィンガーポインター,핑거 포인터,Finger Pointer,手指激光笔,指指點點,https://digimon.net/appmon/detail.php?id=19
19,チュートモン,2,チュートリアライズ,튜토리어라이즈,Tutorialize,教程化,啟動教學,https://digimon.net/appmon/detail.php?id=19
20,エムシーモン,1,ソウルシャウト,소울 샤우트,Soul Shout,灵魂喊麦,靈魂吶喊,https://digimon.net/appmon/detail.php?id=20
20,エムシーモン,2,ジッキョークライシス,실황 크라이시스,Let's Play,直播危机,實況危機,https://digimon.net/appmon/detail.php?id=20
21,キャメラモン,1,キリングシャッター,킬링 셔터,Killing Shutter,致命快门,殺戮快門,https://digimon.net/appmon/detail.php?id=21
21,キャメラモン,2,スパイフォーカス,스파이 포커스,Spy Focus,隐秘聚焦,間諜焦距,https://digimon.net/appmon/detail.php?id=21
22,レコモン,1,アブソープインタビュー,앱솔브 인터뷰,Absorbing Interview,鲸吞式采访,吸收採訪,https://digimon.net/appmon/detail.php?id=22
22,レコモン,2,スラックマイク,슬랙 마이크,Slack Mic,松弛麦克风,鬆弛麥克風,https://digimon.net/appmon/detail.php?id=22
23,カリキュモン,1,カウントレーザー,카운트 레이저,Counting Laser,计数激光,計算雷射,https://digimon.net/appmon/detail.php?id=23
23,カリキュモン,2,ディバイドアーム,디바이드 암,Division Arm,分割铁臂,手臂分離,https://digimon.net/appmon/detail.php?id=23
24,ゴミモン,1,ダストハント,더스트 헌트,Dust Hunt,尘埃掌,灰塵狩獵,https://digimon.net/appmon/detail.php?id=24
24,ゴミモン,2,トラッシュボム,트래쉬 봄,Trash Bomb,废物炸弹,垃圾炸彈,https://digimon.net/appmon/detail.php?id=24
25,ミラーモン,1,キャプチャーミラー,캡처 미러,Image Capture,截取镜,俘虜之鏡,https://digimon.net/appmon/detail.php?id=25
25,ミラーモン,2,ミラーズリベンジ,미러스 리벤지,Mirror's Revenge,魔镜复仇,復仇之鏡,https://digimon.net/appmon/detail.php?id=25
26,ライトモン,1,ブラインドフラッシュ,블라인드 플래시,Blinding Flash,致盲爆闪,盲目一閃,https://digimon.net/appmon/detail.php?id=26
26,ライトモン,2,シャイニングボディ,샤이닝 보디,Shining Body,圣光神躯,閃光之軀,https://digimon.net/appmon/detail.php?id=26
27,ウォッチモン,1,アラームホールド,알람 홀드,Alarm Hold,闹铃暂停,持續鬧鈴,https://digimon.net/appmon/detail.php?id=27
27,ウォッチモン,2,ミニッツスピアー,미닛 스피어,Minute Spear,分针长枪,分秒之矛,https://digimon.net/appmon/detail.php?id=27
28,ダイアリモン,1,オペレートログ,오퍼레이트 로그,Operation Log,操作记录,操作紀錄,https://digimon.net/appmon/detail.php?id=28
28,ダイアリモン,2,ロストダイアリー,로스트 다이어리,Lost Diary,失落日志,日記遺失,https://digimon.net/appmon/detail.php?id=28
29,カレンダモン,1,スティールプラン,스틸 플랜,Steal Plan,偷窃计划,盜取計畫,https://digimon.net/appmon/detail.php?id=29
29,カレンダモン,2,ミスティックホリデー,미스틱 홀리데이,Mystic Holiday,神秘假日,神秘假日,https://digimon.net/appmon/detail.php?id=29
30,オンパモン,1,ウェーブアタック,웨이브 어택,Wave Attack,声波攻击,聲波攻擊,https://digimon.net/appmon/detail.php?id=30
30,オンパモン,2,イージーソナー,이지 소나,Easy Sonar,简易声纳,簡易聲納,https://digimon.net/appmon/detail.php?id=30
31,ジャミングモン,1,ジャムジャムペイン,잼 잼 페인,Jamming Pain,痛痛干扰,干擾波痛,https://digimon.net/appmon/detail.php?id=31
31,ジャミングモン,2,スプリーシグナル,스프리 시그널,Spree of Signals,疯闹信号,狂歡信號,https://digimon.net/appmon/detail.php?id=31
32,プロテクモン,1,フレイムウォール,프레임 월,Flame Wall,防焰墙,烈火炎壁,https://digimon.net/appmon/detail.php?id=32
32,プロテクモン,2,オールマイティガード,올마이티 가드,Almighty Guard,全能护盾,全力防守,https://digimon.net/appmon/detail.php?id=32
33,ハックモン,1,ヴァンキッシュクロー,뱅퀴시 클로,Power Claw,征服利爪,征服之爪,https://digimon.net/appmon/detail.php?id=33
33,ハックモン,2,ストレンジハック,스트레인지 핵,Sneaky Hack,异常入侵,陌生侵襲,https://digimon.net/appmon/detail.php?id=33
34,バッテリモン,1,エレクトリックチャージ,일렉트릭 차지,Electric Charge,充电蓄能,電力儲值,https://digimon.net/appmon/detail.php?id=34
34,バッテリモン,2,クラップスパーク,클랩 스파크,Clap Spark,噼啪电光,擊掌火花,https://digimon.net/appmon/detail.php?id=34
35,ペコモン,1,ペコペコハンマー,페코페코 해머,Hammer Squeeze,扁扁敲击,扁扁壓槌,https://digimon.net/appmon/detail.php?id=35
35,ペコモン,2,ペコスマッシュ,페코 스매시,Hammer Smash,暴力压缩,搗碎壓擊,https://digimon.net/appmon/detail.php?id=35
36,ポコモン,1,ポコポコブロウ,포코포코 블로우,Air Blow,鼓鼓吹气,砰砰吹息,https://digimon.net/appmon/detail.php?id=36
36,ポコモン,2,ポコメルタ,포코 멜터,Power Melter,热力解压,砰然溶解者,https://digimon.net/appmon/detail.php?id=36
37,コピペモン,1,コピー＆ペースト,복사&붙여넣기,Copy-Paste,复制&粘贴,複製＆貼上,https://digimon.net/appmon/detail.php?id=37
37,コピペモン,2,チープイミテーション,칩 이미테이션,Cheap Imitation,廉价仿制,廉價仿製,https://digimon.net/appmon/detail.php?id=37
38,セーブモン,1,セービングバブル,세이빙 버블,Saving Bubble,保存气泡,存檔泡泡,https://digimon.net/appmon/detail.php?id=38
38,セーブモン,2,スプリットメモリー,스플릿 메모리,Split Memory,分割储存,記憶分裂,https://digimon.net/appmon/detail.php?id=38
39,カベモン,1,リアルプロジェクション,리얼 프로젝션,Real Projection,全真投射,真實投影,https://digimon.net/appmon/detail.php?id=39
39,カベモン,2,リカバリーウォール,리커버리 월,Recovery Wall,复原壁,恢復之牆,https://digimon.net/appmon/detail.php?id=39
40,エコモン,1,エコロジーグラウンド,이콜로지 그라운드,Ecology Ground,绿色力场,環保競技場,https://digimon.net/appmon/detail.php?id=40
40,エコモン,2,バッテリドレイン,배터리 드레인,Battery Drain,电量吸收,電池放電,https://digimon.net/appmon/detail.php?id=40
41,ピーポモン,1,スパイドロイド,스파이 드로이드,Spy Droid,间谍机器人,密探機器人,https://digimon.net/appmon/detail.php?id=41
41,ピーポモン,2,パニックセントリー,패닉 센트리,Panic Sentry,动乱警卫兵,恐慌哨兵,https://digimon.net/appmon/detail.php?id=41
42,デンパモン,1,シークサークル,시크 서클,Radar Circle,搜索圈,搜索圈,https://digimon.net/appmon/detail.php?id=42
42,デンパモン,2,クリーンシグナル,클린 시그널,Screen Signal,净化信号,乾淨信號,https://digimon.net/appmon/detail.php?id=42
43,オンモン,1,スイッチスパーク,스위치 스파크,Spark Switch,兴奋开关,開關火花,https://digimon.net/appmon/detail.php?id=43
43,オンモン,2,ツナゲルリンク,커넥팅 링크,Energy Link,连结链接,連線相接,https://digimon.net/appmon/detail.php?id=43
44,オフモン,1,スイッチレイジー,스위치 레이지,Lazy Switch,慵懒开关,懶惰開關,https://digimon.net/appmon/detail.php?id=44
44,オフモン,2,タチキルリンク,디스커넥팅 링크,Idle Link,切断链接,切斷連線,https://digimon.net/appmon/detail.php?id=44
45,ドカモン,1,ドカドカラッシュ,우르르 러시,Wild Rush,多卡多卡冲刺,多卡多卡連擊,https://digimon.net/appmon/detail.php?id=45
45,ドカモン,2,ドッカンパンチ,쾅 펀치,Savage Punch,炸裂飞拳,砰擊拳頭,https://digimon.net/appmon/detail.php?id=45
46,ショットモン,1,デッドショット,데드 샷,Dead Shot,死亡射击,死亡射擊,https://digimon.net/appmon/detail.php?id=46
46,ショットモン,2,プレッシャーリボルヴ,프레셔 리볼브,Revolving Pressure,威慑性上弹,螺旋加壓,https://digimon.net/appmon/detail.php?id=46
47,カードモン,1,ドローフェイズ,드로 페이즈,Drawing Phase,抽牌,抽卡階段,https://digimon.net/appmon/detail.php?id=47
47,カードモン,2,ブランクカード,블랭크 카드,Blank Card,空白卡牌,空白卡牌,https://digimon.net/appmon/detail.php?id=47
48,ロープレモン,1,ホーリーソード,홀리 소드,Holy Sword,圣光剑,聖劍攻擊,https://digimon.net/appmon/detail.php?id=48
48,ロープレモン,2,ブレイブシールド,브레이브 쉴드,Radiant Shield,勇气盾,勇氣之盾,https://digimon.net/appmon/detail.php?id=48
49,パズルモン,1,ポッピンスリー,팝핀 쓰리,Popping Trio,跃动三人组,三連彈砰,https://digimon.net/appmon/detail.php?id=49
49,パズルモン,2,エレメントミックス,엘리먼트 믹스,Element Mix,元素混合,元素混合,https://digimon.net/appmon/detail.php?id=49
50,ダンスモン,1,アップロックビート,업록 비트,Uprock Beat,律动战斗步,戰鬥節拍,https://digimon.net/appmon/detail.php?id=50
50,ダンスモン,2,クレイジーステップ,크레이지 스텝,Crazy Steps,狂热踢踏,瘋狂舞步,https://digimon.net/appmon/detail.php?id=50
51,レースモン,1,アクセルドライブ,액셀 드라이브,Turbo Drive,油门狂飙,全速駕駛,https://digimon.net/appmon/detail.php?id=51
51,レースモン,2,レイジーラビット,레이지 래빗,Lazy Rabbit,懒散野兔,慵懶的突圍者,https://digimon.net/appmon/detail.php?id=51
52,ドローモン,1,インクシャワー,잉크 샤워,Ink Shower,墨汁暴雨,墨水淋浴,https://digimon.net/appmon/detail.php?id=52
52,ドローモン,2,ペイントメルト,페인트 멜트,Paint Melt,图层溶解,顏料溶解,https://digimon.net/appmon/detail.php?id=52
53,テラーモン,1,フォーチュンテラー,포춘 텔러,Fortune-Teller,未知预言,算命師,https://digimon.net/appmon/detail.php?id=53
53,テラーモン,2,スフィアインパクト,스피어 임팩트,Sphere Impact,水晶球冲击,水晶球衝擊,https://digimon.net/appmon/detail.php?id=53
54,ミュージモン,1,ミュージックアワー！,뮤직 아워!,Music Hour,奏乐时间！,音樂時刻！,https://digimon.net/appmon/detail.php?id=54
54,ミュージモン,2,ハッピープレイリスト,해피 플레이리스트,Happy Playlist,快乐歌单,歡樂歌單,https://digimon.net/appmon/detail.php?id=54
55,ペロリモン,1,テイスティングバイト,테이스팅 바이트,Tasting Bite,齿颊生香,試吃咀嚼,https://digimon.net/appmon/detail.php?id=55
55,ペロリモン,2,ペロリンログ,꿀꺽 로그,Yummy Log,美味回忆,品嘗記錄,https://digimon.net/appmon/detail.php?id=55
56,ドーガモン,1,チャンネルプレイ,채널 플레이,Channel Play,视频号连播,頻道播放,https://digimon.net/appmon/detail.php?id=56
56,ドーガモン,2,ダークモニター,다크 모니터,Dark Monitor,黑暗荧屏,暗黑顯示器,https://digimon.net/appmon/detail.php?id=56
57,ドレスモン,1,ソーイングニードル,소잉 니들,Sewing Needle,缝衣刺,縫紉刺針,https://digimon.net/appmon/detail.php?id=57
57,ドレスモン,2,シャミングステッチ,셰밍 스티치,Jamming Stitch,伪装缝合,妨礙縫線,https://digimon.net/appmon/detail.php?id=57
58,ブックモン,1,ページサモン,페이지 서몬,Page Summon,书页召唤,書頁召喚,https://digimon.net/appmon/detail.php?id=58
58,ブックモン,2,センテンスウィップ,센텐스 휩,Sentence Whip,长句长鞭,文章鞭策,https://digimon.net/appmon/detail.php?id=58
59,ガシャモン,1,ガシャガシャポン,뽑뽑,Gashagashapon,咔嚓咔嚓砰,扭蛋碰擊,https://digimon.net/appmon/detail.php?id=59
59,ガシャモン,2,ドッキリカプセル,서프라이즈 캡슐,Prank Capsule,搞怪扭蛋,整人膠囊,https://digimon.net/appmon/detail.php?id=59
60,ラックモン,1,ラッキースロット,럭키 슬롯,Lucky Slot,幸运拉杆,幸運連線,https://digimon.net/appmon/detail.php?id=60
60,ラックモン,2,トリプルセブン,트리플 세븐,Triple Seven,777,777,https://digimon.net/appmon/detail.php?id=60
61,トリックモン,1,トリッキーハッター,트리키 해터,Hat Trickster,魔法帽匠,帽子戲法,https://digimon.net/appmon/detail.php?id=61
61,トリックモン,2,グランドイリュージョン,그랜드 일루전,Grand Illusion,壮丽幻象,巨型幻象,https://digimon.net/appmon/detail.php?id=61
62,ダイスモン,1,シックスシェイク,식스 셰이크,Six-Shake,六方震荡,六點投擲,https://digimon.net/appmon/detail.php?id=62
62,ダイスモン,2,ミラクルロール,미라클 롤,Miracle Roll,奇迹一掷,奇蹟翻滾,https://digimon.net/appmon/detail.php?id=62
63,クックモン,1,アストロクッキング,아스트로 쿠킹,Astro-Cooking,地外烹饪,星際烹飪,https://digimon.net/appmon/detail.php?id=63
63,クックモン,2,ソウルフルコース,소울풀 코스,Spirited Specialty,灵魂全餐,靈魂套餐,https://digimon.net/appmon/detail.php?id=63
64,バイラモン,1,パープルガスト,퍼플 거스트,Purple Gust,邪紫狂风,紫色狂風,https://digimon.net/appmon/detail.php?id=64
64,バイラモン,2,テンタクルバインド,텐터클 바인드,Tentacle Bind,触手束缚,觸手束縛,https://digimon.net/appmon/detail.php?id=64
65,スリープモン,1,ス～パ～スリ～パ～,슈~퍼~ 슬리~퍼~,Super Sleeper,睡～吧～睡～吧～,超～級～入～眠～者～,https://digimon.net/appmon/detail.php?id=65
65,スリープモン,2,レイジングアイ,레이징 아이,Raging Eye,愤怒眼眸,暴怒之眼,https://digimon.net/appmon/detail.php?id=65
66,マッスルモン,1,マッスルポージング,머슬 포징,Muscle Flex,健美姿势,健美擺姿,https://digimon.net/appmon/detail.php?id=66
66,マッスルモン,2,ムキムキスエット,불끈불끈 스웨트,Lean Power,猛男臭汗,肌肉汗雨,https://digimon.net/appmon/detail.php?id=66
67,エイドモン,1,ヒーリングバンデージ,힐링 밴디지,Healing Bandage,治愈绷带,治癒繃帶,https://digimon.net/appmon/detail.php?id=67
67,エイドモン,2,レスキューキッス,레스큐 키스,Rescue Kiss,救命一吻,救援之吻,https://digimon.net/appmon/detail.php?id=67
68,マネーモン,1,ルーレットバンク,룰렛 뱅크,Roulette Bank,轮盘银行,轉盤銀行,https://digimon.net/appmon/detail.php?id=68
68,マネーモン,2,マニーショック,머니 쇼크,Money Shock,财富冲击,金錢衝擊,https://digimon.net/appmon/detail.php?id=68
69,スパモン,1,ハイドロジェット,하이드로제트,Hydrojet,水疗激射,水流噴射,https://digimon.net/appmon/detail.php?id=69
69,スパモン,2,癒しの湯,힐링 온천,Healing Water,疗愈温泉,治癒之泉,https://digimon.net/appmon/detail.php?id=69
70,サプリモン,1,バイタルサプリ,바이털 서플리,Vital Supplement,活力补剂,生命補充劑,https://digimon.net/appmon/detail.php?id=70
70,サプリモン,2,ミナギルエナジー,넘치는 에너지,Rising Energy,能量满满,能量滿溢,https://digimon.net/appmon/detail.php?id=70
71,ドープモン,1,バイタルリミット              オーバーパワー,바이털 리미트              오버파워,Vital Limit              Power Flow,生命突破              过载能量,生命限制              力量過載,https://digimon.net/appmon/detail.php?id=71
72,オクショモン,1,スペシャルビッド,스페셜 비드,Special Bid,特别出价,特別投標,https://digimon.net/appmon/detail.php?id=72
72,オクショモン,2,ニューサツスイング,입찰 스윙,Auction Swing,振臂投标,新得標槌擊,https://digimon.net/appmon/detail.php?id=72
73,カケイモン,1,セツヤクハート,절약 하트,Thrifty Heart,节省之心,節約之心,https://digimon.net/appmon/detail.php?id=73
73,カケイモン,2,ケチケチハート,인색한 하트,Stingy Heart,抠门之心,吝嗇之心,https://digimon.net/appmon/detail.php?id=73
74,カイモン,1,バーゲンプライス,바겐 프라이스,Price Bargain,甩卖大特价,優惠價格,https://digimon.net/appmon/detail.php?id=74
74,カイモン,2,バクガイタイム,폭풍 쇼핑 타임,Bulk Buy,爆买时间,搶購時刻,https://digimon.net/appmon/detail.php?id=74
75,ジショモン,1,ビブリオスキャン,비블리오 스캔,Biblio-Scan,典籍扫描,書頁掃描,https://digimon.net/appmon/detail.php?id=75
75,ジショモン,2,ヒデングリフ,히든 글리프,Secret Glyph,绝密字符,秘傳文字,https://digimon.net/appmon/detail.php?id=75
76,ロギモン,1,クライストルネード,크라이스 토네이도,Data Storm,圆环龙卷,圓環龍捲風,https://digimon.net/appmon/detail.php?id=76
76,ロギモン,2,ロギプラズマ,로기 플라스마,Login Plasma,洛基离子炮,登入電漿,https://digimon.net/appmon/detail.php?id=76
77,ロガモン,1,スクラッチバン,스크래치 밴,Shadow Ban,刮除式封禁,刮削停權,https://digimon.net/appmon/detail.php?id=77
77,ロガモン,2,ロガブラスト,로가 블래스트,Logout Blast,洛迦大爆炸,登出爆破,https://digimon.net/appmon/detail.php?id=77
78,ドガッチモン,1,ディープダイブ,디프 다이브,Deep Dive,深海寻觅,深度潛入,https://digimon.net/appmon/detail.php?id=78
78,ドガッチモン,2,ドガッチバスター,슈퍼 서치 버스터,Relevance Bust,大盖奇毁灭炮,大蓋奇衝擊波,https://digimon.net/appmon/detail.php?id=78
78,ドガッチモン,3,ソニックスラッシュ,소닉 슬래시,Sonic Slash,音速突击,音速斬擊,https://digimon.net/appmon/detail.php?id=78
79,ソーシャモン,1,メッセシュトロム,메시 슈트롬,Message Surge,短信大漩涡,訊息風暴,https://digimon.net/appmon/detail.php?id=79
79,ソーシャモン,2,ヘビーギフト,헤비 기프트,Heavy Gift,重磅豪礼,沉重禮物,https://digimon.net/appmon/detail.php?id=79
80,ゴシップモン,1,ブレイズスラング,블레이즈 슬랭,Slang Blaze,劲爆黑话,俗語火焰,https://digimon.net/appmon/detail.php?id=80
80,ゴシップモン,2,ネガティブラスター,네거티브 블라스터,Negative Luster,负能量炮,消極光輝,https://digimon.net/appmon/detail.php?id=80
81,スカシモン,1,失敗しちゃった,실패해버렸다,Failure,搞砸啦,搞砸了,https://digimon.net/appmon/detail.php?id=81
81,スカシモン,2,スカナックル,실패 너클,Knuckle Let-Down,扑空拳,期望落空之拳,https://digimon.net/appmon/detail.php?id=81
82,トリップモン,1,トリップゲート,트립 게이트,Trip Gate,穿梭门,旅行之門,https://digimon.net/appmon/detail.php?id=82
82,トリップモン,2,ワンダラーファング,반더러 팡,Wanderlust Fang,流浪尖牙,浪者之牙,https://digimon.net/appmon/detail.php?id=82
83,ウェザドラモン,1,ディヴァインブレス,디바인 브레스,Divine Breath,神圣吐息,神聖吐息,https://digimon.net/appmon/detail.php?id=83
83,ウェザドラモン,2,パニックサンダー,패닉 선더,Panic Thunder,惊雷,恐慌雷擊,https://digimon.net/appmon/detail.php?id=83
84,タイムモン,1,クロノスライド,크로노슬라이드,Chrono-Slide,时间滑翔,時空滑動,https://digimon.net/appmon/detail.php?id=84
84,タイムモン,2,クロックフィスト,클록 피스트,Clock Fist,时光拳,時鐘之拳,https://digimon.net/appmon/detail.php?id=84
84,タイムモン,3,クロックシールド,클록 쉴드,Clock Shield,时光盾,時鐘之盾,https://digimon.net/appmon/detail.php?id=84
85,ロアモン,1,ライアースロート,라이어 스로트,Liar Throat,诳语喉舌,騙子之喉,https://digimon.net/appmon/detail.php?id=85
85,ロアモン,2,ツインスクリーム,트윈 스크림,Twin Scream,双响尖叫,雙重尖叫,https://digimon.net/appmon/detail.php?id=85
86,スコープモン,1,デスウォッチ,데스 워치,Death Watch,致命观察,死亡瞄準,https://digimon.net/appmon/detail.php?id=86
86,スコープモン,2,デッドリースナイプ,데들리 스나이프,Deadly Snipe,绝命狙击,致命狙擊,https://digimon.net/appmon/detail.php?id=86
87,クラフトモン,1,トッカンメイカー,뚝딱 메이커,Rapid Builder,突击巧匠,巨響製造者,https://digimon.net/appmon/detail.php?id=87
87,クラフトモン,2,ゾーンアーキテクト,존 아키텍트,Zone Architect,领域构筑,區域建築師,https://digimon.net/appmon/detail.php?id=87
88,レイドラモン,1,クラッキングクレイス,크래킹 클레이스,Key Cracker,破碎龙卷,破解鑰匙,https://digimon.net/appmon/detail.php?id=88
88,レイドラモン,2,バラージジャック,바라지 잭,Barrage Jack,火力劫持,彈幕射手傑克,https://digimon.net/appmon/detail.php?id=88
89,デジップモン,1,アブソーブジップ,앱솔브 집,Zip Absorber,绝禁拉链,吸收拉鍊,https://digimon.net/appmon/detail.php?id=89
89,デジップモン,2,アンフリーズフィスト,언프리즈 피스트,Unfreezing Fist,冰释神拳,解壓之拳,https://digimon.net/appmon/detail.php?id=89
90,ミエーヌモン,1,ステルスケープ,스텔스 케이프,Stealth Cape,遁迹潜形,隱形披風,https://digimon.net/appmon/detail.php?id=90
90,ミエーヌモン,2,カメレオンリック,카멜레온 릭,Chameleon Lick,变色龙的舔舐,變色龍舔舔攻擊,https://digimon.net/appmon/detail.php?id=90
91,ワープモン,1,ワープループ,워프 루프,Warp Loop,无尽转移,循環傳送,https://digimon.net/appmon/detail.php?id=91
91,ワープモン,2,スケアリーゲート,스케어리 게이트,Scary Gate,惊吓之门,恐怖之門,https://digimon.net/appmon/detail.php?id=91
92,サクシモン,1,臥龍扇,와룡선,Unknown Genius,卧龙扇,臥龍之扇,https://digimon.net/appmon/detail.php?id=92
92,サクシモン,2,炎舞の陣,염무의 진,Flame Dance Formation,炎舞阵,炎舞之陣,https://digimon.net/appmon/detail.php?id=92
93,ドスコモン,1,ドヒョウフィールド,경기장 필드,Dohyo Field,相扑领域,土俵擂台,https://digimon.net/appmon/detail.php?id=93
93,ドスコモン,2,ジェット張手,제트 하리테,Jet Harite,喷气式掌击,噴射掌擊,https://digimon.net/appmon/detail.php?id=93
94,ブレモン,1,コマンド＝ハイパー,명령=하이퍼,Hyper Command,指令：超级激活,亢奮指令,https://digimon.net/appmon/detail.php?id=94
94,ブレモン,2,クレイジーブレイン,크레이지 브레인,Crazy Brain,疯狂大脑,瘋狂大腦,https://digimon.net/appmon/detail.php?id=94
95,コーチモン,1,怒ツ鬼金剛棍,분노의 금강곤,Indestructible Will,怒鬼金刚棍,怒鬼金剛棍,https://digimon.net/appmon/detail.php?id=95
95,コーチモン,2,愛の入魂金棒,사랑의 입혼금봉,Metallic Resilience,关爱狼牙棒,愛的狼牙棒,https://digimon.net/appmon/detail.php?id=95
96,ウラテクモン,1,上下上下右右左左XY,상하상하우우좌좌XY,↑↓↑↓→→←←XY,上下上下右右左左XY,上下上下右右左左XY,https://digimon.net/appmon/detail.php?id=96
96,ウラテクモン,2,カミワザコンボ,필살기 콤보,Tool-Assisted Combo,神连段,神技連段,https://digimon.net/appmon/detail.php?id=96
97,エフェクモン,1,カラーズマザー,컬러스 마더,Mother Color,原初色彩,色彩之母,https://digimon.net/appmon/detail.php?id=97
97,エフェクモン,2,ペイントドラゴン,페인트 드래곤,Dragon Paint,画龙点睛,顏料龍,https://digimon.net/appmon/detail.php?id=97
98,タロットモン,1,ラメントフェイト,라멘토 페이트,Fateful Lamentation,命运的叹息,悲慘命運,https://digimon.net/appmon/detail.php?id=98
