id,name_ja,name_ko,app_name_ja,app_name_ko,app_name_en,app_name_zh_hans,app_name_zh_hant
130,タップモン(システム),탭몬(시스템),タップ,탭,Tap,轻敲,點擊
131,タップモン(ゲーム),탭몬(게임),タップ,탭,Tap,轻敲,點擊
132,タップモン(エンタメ),탭몬(엔터테인먼트),タップ,탭,Tap,轻敲,點擊
133,タップモン(ライフ),탭몬(라이프),タップ,탭,Tap,轻敲,點擊
134,フリックモン(ソーシャル),플릭몬(소셜),フリック,플릭,Flick,轻弹,滑動輸入
135,フリックモン(ナビ),플릭몬(내비),フリック,플릭,Flick,轻弹,滑動輸入
136,フリックモン(ツール),플릭몬(툴),フリック,플릭,Flick,轻弹,滑動輸入
137,フリックモン(システム),플릭몬(시스템),フリック,플릭,Flick,轻弹,滑動輸入
138,フリックモン(ゲーム),플릭몬(게임),フリック,플릭,Flick,轻弹,滑動輸入
139,フリックモン(エンタメ),플릭몬(엔터테인먼트),フリック,플릭,Flick,轻弹,滑動輸入
140,フリックモン(ライフ),플릭몬(라이프),フリック,플릭,Flick,轻弹,滑動輸入
141,スワイプモン(ソーシャル),스와이프몬(소셜),スワイプ,스와이프,Swipe,轻扫,按住滑動
142,スワイプモン(ナビ),스와이프몬(내비),スワイプ,스와이프,Swipe,轻扫,按住滑動
143,スワイプモン(ツール),스와이프몬(툴),スワイプ,스와이프,Swipe,轻扫,按住滑動
144,スワイプモン(システム),스와이프몬(시스템),スワイプ,스와이프,Swipe,轻扫,按住滑動
145,スワイプモン(ゲーム),스와이프몬(게임),スワイプ,스와이프,Swipe,轻扫,按住滑動
146,スワイプモン(エンタメ),스와이프몬(엔터테인먼트),スワイプ,스와이프,Swipe,轻扫,按住滑動
147,スワイプモン(ライフ),스와이프몬(라이프),スワイプ,스와이프,Swipe,轻扫,按住滑動
148,ダンテモン,단테몬,開放,개방,Open,解放,開放
