id,name_ja,name_ko,attribute_ja,attribute_ko,attribute_en,attribute_zh_hans,attribute_zh_hant
57,ドレスモン,드레스몬,エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
58,ブックモン,북몬,エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
59,ガシャモン,뽑몬,エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
60,ラックモン,럭몬,エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
61,トリックモン,트릭몬,エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
62,ダイスモン,다이스몬,エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
63,クックモン,쿡몬,エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
64,バイラモン,바이러몬,ライフ,라이프,Life,生活,生活
65,スリープモン,슬립몬,ライフ,라이프,Life,生活,生活
66,マッスルモン,머슬몬,ライフ,라이프,Life,生活,生活
67,エイドモン,에이드몬,ライフ,라이프,Life,生活,生活
68,マネーモン,머니몬,ライフ,라이프,Life,生活,生活
69,スパモン,스파몬,ライフ,라이프,Life,生活,生活
70,サプリモン,서플리몬,ライフ,라이프,Life,生活,生活
71,ドープモン,도프몬,ライフ,라이프,Life,生活,生活
72,オクショモン,옥셔몬,ライフ,라이프,Life,生活,生活
73,カケイモン,가계몬,ライフ,라이프,Life,生活,生活
74,カイモン,쇼핑몬,ライフ,라이프,Life,生活,生活
75,ジショモン,딕셔몬,ライフ,라이프,Life,生活,生活
76,ロギモン,로긴몬,ソーシャル,소셜,Social,社交,社交
77,ロガモン,로간몬,ソーシャル,소셜,Social,社交,社交
78,ドガッチモン,슈퍼 서치몬,ソーシャル,소셜,Social,社交,社交
79,ソーシャモン,소셔몬,ソーシャル,소셜,Social,社交,社交
80,ゴシップモン,가십몬,ソーシャル,소셜,Social,社交,社交
81,スカシモン,스카시몬,ソーシャル,소셜,Social,社交,社交
82,トリップモン,트립몬,ナビ,내비,Navi,导航,導航
83,ウェザドラモン,웨더드라몬,ナビ,내비,Navi,导航,導航
84,タイムモン,타임몬,ツール,툴,Tool,工具,工具
85,ロアモン,로어몬,ツール,툴,Tool,工具,工具
86,スコープモン,스코프몬,ツール,툴,Tool,工具,工具
87,クラフトモン,크래프트몬,ツール,툴,Tool,工具,工具
88,レイドラモン,레이드라몬,システム,시스템,System,系统,系統
89,デジップモン,데집몬,システム,시스템,System,系统,系統
90,ミエーヌモン,미에누몬,システム,시스템,System,系统,系統
91,ワープモン,워프몬,システム,시스템,System,系统,系統
92,サクシモン,책사몬,ゲーム,게임,Game,游戏,遊戲
93,ドスコモン,도스코몬,ゲーム,게임,Game,游戏,遊戲
94,ブレモン,브레몬,ゲーム,게임,Game,游戏,遊戲
95,コーチモン,코치몬,ゲーム,게임,Game,游戏,遊戲
96,ウラテクモン,테크마스몬,ゲーム,게임,Game,游戏,遊戲
97,エフェクモン,이펙몬,エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
98,タロットモン,타로몬,エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
99,コーデモン,코디몬,エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
100,メディアモン,미디어몬,エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
101,ベガスモン,베이거스몬,エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
102,ドリーモン,드리몬,エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
103,メディックモン,메딕몬,ライフ,라이프,Life,生活,生活
104,ドクモン,닥몬,ライフ,라이프,Life,生活,生活
105,コンサルモン,컨설몬,ライフ,라이프,Life,生活,生活
106,ライブラモン,라이브러몬,ライフ,라이프,Life,生活,生活
107,グローブモン,글로브몬,ソーシャル,소셜,Social,社交,社交
108,カリスモン,카리스몬,ソーシャル,소셜,Social,社交,社交
109,ダメダモン,안댐몬,ソーシャル,소셜,Social,社交,社交
110,サテラモン,새틀라몬,ナビ,내비,Navi,导航,導航
111,コメットモン,코멧몬,ナビ,내비,Navi,导航,導航
112,ブートモン,부팅몬,ツール,툴,Tool,工具,工具
113,シャットモン,셧몬,ツール,툴,Tool,工具,工具
114,フェイクモン,페이크몬,ツール,툴,Tool,工具,工具
115,リバイブモン,리바이브몬,システム,시스템,System,系统,系統
116,ワルダモン,와루다몬,システム,시스템,System,系统,系統
117,オウジャモン,오우자몬,ゲーム,게임,Game,游戏,遊戲
118,エンタモン,엔터몬,エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
119,バイオモン,바이오몬,ライフ,라이프,Life,生活,生活
120,ビューティモン,뷰티몬,ライフ,라이프,Life,生活,生活
121,リブートモン,리부트몬,ゴッド,하나님,God,神,神
122,ガイアモン,가이아몬,ゴッド,하나님,God,神,神
123,ハデスモン,하데스몬,ゴッド,하나님,God,神,神
124,ポセイドモン,포세이도몬,ゴッド,하나님,God,神,神
125,ウラノスモン,우라노스몬,ゴッド,하나님,God,神,神
126,デウスモン,데우스몬,ゴッド,하나님,God,神,神
127,タップモン(ソーシャル),탭몬(소셜),ソーシャル,소셜,Social,社交,社交
128,タップモン(ナビ),탭몬(내비),ナビ,내비,Navi,导航,導航
129,タップモン(ツール),탭몬(툴),ツール,툴,Tool,工具,工具
130,タップモン(システム),탭몬(시스템),システム,시스템,System,系统,系統
131,タップモン(ゲーム),탭몬(게임),ゲーム,게임,Game,游戏,遊戲
132,タップモン(エンタメ),탭몬(엔터테인먼트),エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
133,タップモン(ライフ),탭몬(라이프),ライフ,라이프,Life,生活,生活
134,フリックモン(ソーシャル),플릭몬(소셜),ソーシャル,소셜,Social,社交,社交
135,フリックモン(ナビ),플릭몬(내비),ナビ,내비,Navi,导航,導航
136,フリックモン(ツール),플릭몬(툴),ツール,툴,Tool,工具,工具
137,フリックモン(システム),플릭몬(시스템),システム,시스템,System,系统,系統
138,フリックモン(ゲーム),플릭몬(게임),ゲーム,게임,Game,游戏,遊戲
139,フリックモン(エンタメ),플릭몬(엔터테인먼트),エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
140,フリックモン(ライフ),플릭몬(라이프),ライフ,라이프,Life,生活,生活
141,スワイプモン(ソーシャル),스와이프몬(소셜),ソーシャル,소셜,Social,社交,社交
142,スワイプモン(ナビ),스와이프몬(내비),ナビ,내비,Navi,导航,導航
143,スワイプモン(ツール),스와이프몬(툴),ツール,툴,Tool,工具,工具
144,スワイプモン(システム),스와이프몬(시스템),システム,시스템,System,系统,系統
145,スワイプモン(ゲーム),스와이프몬(게임),ゲーム,게임,Game,游戏,遊戲
146,スワイプモン(エンタメ),스와이프몬(엔터테인먼트),エンタメ,엔터테인먼트,Entertainment,娱乐,娛樂
147,スワイプモン(ライフ),스와이프몬(라이프),ライフ,라이프,Life,生活,生活
148,ダンテモン,단테몬,不明,없음,Unknown,无,無
