directory_name,name_ja,move_order,move_raw
rhamphomon,ランフォモン,1,クリスタルキャノン
rhamphomon,ランフォモン,2,ハンマーストライク
rhamphomon,ランフォモン,3,ノーホープフォール
rhamphomon,ランフォモン,4,クリスタルレイン
chronomon_destroy,クロノモン：デストロイモード,1,フィンガーボム
chronomon_destroy,クロノモン：デストロイモード,2,ホーリーフレア
chronomon_destroy,クロノモン：デストロイモード,3,クロノデヴォリューション
chronomon_holy,クロノモン：ホーリーモード,1,ホーリーフレア
chronomon_holy,クロノモン：ホーリーモード,2,クロノスクロップ
butenmon,ブテンモン,1,日輪の舞
butenmon,ブテンモン,2,暁光一閃
buraimon,ブライモン,1,ツバメ二枚返し
buraimon,ブライモン,2,秘剣・飛鳥落とし
hyokomon,ヒョコモン,1,唐竹割り
hyokomon,ヒョコモン,2,秘剣ピヨピヨ斬り
chicchimon,チッチモン,1,ピヨピヨ
zombieplutomon,ゾンビプルートモン,1,ハザードホールド
zombieplutomon,ゾンビプルートモン,2,ヘルズスライス
zombieplutomon,ゾンビプルートモン,3,マリオネットアボミネーション
manekimon,マネキモン,1,小判振舞い
manekimon,マネキモン,2,招敵来来拳（しょうてきらいらいけん）
hakubamon,ハクバモン,1,劈龍爪（へきりゅうそう）
hakubamon,ハクバモン,2,焔明珠（えんめいしゅ）
wankomon,ワンコモン,1,豪狛毬（ごうはくきゅう）
wankomon,ワンコモン,2,石土之体（いしづちのてい）
gasamon,ガサモン,1,編笠スピン斬り
gasamon,ガサモン,2,粘溶液（ねんようえき）
takinmon,ターキモン,1,猛冲角（もうちゅうかく）
takinmon,ターキモン,2,岩衝弾（がんしょうだん）
fujamon,フージャモン,1,泿水弾（ぎんすいだん）
fujamon,フージャモン,2,蛟牙（こうが）
kakamon,カカモン,1,猿攻回転弾（えんこうかいてんだん）
kakamon,カカモン,2,金絲吼（きんしこう）
armalizamon,アルマリザモン,1,ニュートロンレイザー
armalizamon,アルマリザモン,2,ニュートロンデフューザー
armalizamon,アルマリザモン,3,ニュートロンブレイド
armalizamon,アルマリザモン,4,デスロールプレス
onibimon,オニビモン,1,燐火（りんか）
tomorimon,トモリモン,1,ヒノタマ
mococomon,モココモン,1,黏雲（ねんうん）
fukamon,フカモン,1,呼雲（こうん）
parallelmon,パラレルモン,1,アブソーベント・バン
parallelmon,パラレルモン,2,エンドレストランス
nightchiropmon,ナイトキロプモン,1,プロビデンススキャン
nightchiropmon,ナイトキロプモン,2,シャドウアーツ
nightchiropmon,ナイトキロプモン,3,ジャイアントラング
nightchiropmon,ナイトキロプモン,4,メズマバースト
styracomon,スティラコモン,1,クリムゾンクレスト
styracomon,スティラコモン,2,ドレッドノートスタンピード
taotiemon,タオティエモン,1,九淵貪角(きゅうえんどんかく)
taotiemon,タオティエモン,2,穢吐餓(えとが)
taotiemon,タオティエモン,3,饕飢爆（とうきばく）
craniummon_enbarrmon,クレニアムモン+アンヴァルモン,1,ルースレスチャージ
enbarrmon,アンヴァルモン,1,ディスレンジホーン
enbarrmon,アンヴァルモン,2,ヴェインアンサー
metatromon,メタトロモン,1,アイアンヘイロウ
metatromon,メタトロモン,2,アイズオブエノク
metatromon,メタトロモン,3,メタトロニオス
greatgryzmon,グレートグリズモン,1,闘魂爪（とうこんそう）
greatgryzmon,グレートグリズモン,2,爆霧（ばくぎり）
greatgryzmon,グレートグリズモン,3,GGS（ジージーエス）
titamon_skullbaluchimon,タイタモン+スカルバルキモン,1,千塵鬼神斬（せんじんきしんざん）
cougarmon,クーガモン,1,ルースレスファング
cougarmon,クーガモン,2,ルースレスクロー
cougarmon,クーガモン,3,ラースロア
masterblimpmon,マスターブリンプモン,1,ツェッペリンサーカス
masterblimpmon,マスターブリンプモン,2,デアデビルブレイク
hyemon,ハイエモン,1,カーズバイト
hyemon,ハイエモン,2,リリースハウリング
murasamemon,ムラサメモン,1,豪ノ斬・叢時雨（ごうのざん・むらしぐれ）
murasamemon,ムラサメモン,2,柔ノ斬・月時雨（じゅうのざん・つきしぐれ）
murasamemon,ムラサメモン,3,終ノ斬・哭雨（ついのざん・こくう）
wolvermon,ウルヴァモン,1,ラピッドバースト
wolvermon,ウルヴァモン,2,スキャッターロケット
wolvermon,ウルヴァモン,3,バージャースラッシュ
wolvermon,ウルヴァモン,4,トムボーイブレイズ
chiropmon,キロプモン,1,パラライズエコー
chiropmon,キロプモン,2,アナライズエコー
chiropmon,キロプモン,3,キュリアスアイズ
chiropmon,キロプモン,4,コンデンスドエコー
pristimon,プリスティモン,1,プリショット
pristimon,プリスティモン,2,スタブクロー
pristimon,プリスティモン,3,テイルスラップ
dullahamon,デュラハモン,1,ベルシラックエッジ
dullahamon,デュラハモン,2,スリーピーホロウ
gekkomon,ゲッコーモン,1,スマッシュビート
gekkomon,ゲッコーモン,2,ブレイクスロー
gekkomon,ゲッコーモン,3,スイングタックル
kekkomon,ケッコモン,1,ビートリック
kekomon,ケコモン,1,粘着性の泡
magneticdramon,マグネティックドラモン,1,ストーンレールガン
magneticdramon,マグネティックドラモン,2,エレクトリックコンプレッション
magneticdramon,マグネティックドラモン,3,マグネティックテンペスト
maneuvermon,マニューバモン,1,ブルータルエアロバティック
maneuvermon,マニューバモン,2,フォルゴーレ
turbomon,ターボモン,1,ブルータルホイール
turbomon,ターボモン,2,クラッシュギアスピン
nyabootmon,ニャブートモン,1,グラビトンネコキック
nyabootmon,ニャブートモン,2,カラバスペシャル
nyabootmon,ニャブートモン,3,秘剣キャット・ザ・ナインライブス
yihumon,イーフーモン,1,斬空(ざんくう)
yihumon,イーフーモン,2,刃羽颪(じんばおろし)
yihumon,イーフーモン,3,窮牙嵐断襲(きゅうがらんだんしゅう)
ariemon,アリエモン,1,絡縛藻紐（らくばくそうちゅう）
ariemon,アリエモン,2,波濤深槍（はとうしんそう）
ariemon,アリエモン,3,浄流海癒（じょうりゅうかいゆ）
skullseadramon,スカルシードラモン,1,サンダージャベリン
skullseadramon,スカルシードラモン,2,デッドロール
sharkmon,シャークモン,1,一斉砲撃
sharkmon,シャークモン,2,プルトダモン
sharkmon,シャークモン,3,ファングチャージ
kaguyamon,カグヤモン,1,武獲物語（たけとりものがたり）
kaguyamon,カグヤモン,2,月夜之迎（つきよのむかえ）
karakurumon,カラクルモン,1,骸繰艶舞・鉢かづき
karakurumon,カラクルモン,2,初瀬のおもてなし
kokeshimon,コケシモン,1,ダンマクエンジュ
kokeshimon,コケシモン,2,キデコノイスクミ
hanimon,ハニモン,1,ハニワフラッシュ
hanimon,ハニモン,2,コフンタックル
mockingbirdmon,モッキンバーモン,1,アイアンインヘイラー
mockingbirdmon,モッキンバーモン,2,トライエアボッツ
mulemon,ミュールモン,1,アイアンギャロップ
mulemon,ミュールモン,2,ロデオミサイル
maquinamon,マキナモン,1,ツインバブル
nazhamon_crimson,ナタモン：クリムゾンモード,1,斬砍双刃撃
nazhamon_crimson,ナタモン：クリムゾンモード,2,封神六蓮華
shagaramon,シャガラモン,1,浪濤扇（ろうとうせん）
shagaramon,シャガラモン,2,鹹海炸滄陣（かんかいさくそうじん）
shagaramon,シャガラモン,3,蒼纏龍神牙（そうてんりゅうじんが）
medusamon,メデューサモン,1,バイティングブート
medusamon,メデューサモン,2,アイズオブゴルゴーン
medusamon,メデューサモン,3,レイジングサーペンタイン
lamiamon,ラミアモン,1,ヴェノブレラ
lamiamon,ラミアモン,2,スプラッシュトキシン
necromon,ネクロモン,1,ソウルストライカー
necromon,ネクロモン,2,アパリションレギオン
jougamon,ジョウガモン,1,墜月衝（ついげつしょう）
jougamon,ジョウガモン,2,蛾眉截波（がびせっぱ）
jougamon,ジョウガモン,3,太陰皓光（たいいんこうこう）
pyramidimon,ピラミディモン,1,ゾフルカーブース
pyramidimon,ピラミディモン,2,アペシュイカーブ
pyramidimon,ピラミディモン,3,ラアナハムシーン
proganomon,プロガノモン,1,トリコンビットデモリッシャー
proganomon,プロガノモン,2,ドリルエミッション
landramon,ランドラモン,1,グラウンドスパイク
landramon,ランドラモン,2,デザートアビス
invisimon,インビジモン,1,インビジブルカッター
invisimon,インビジモン,2,スーパーロケットフィスト
invisimon,インビジモン,3,アルティメットブレーザー
oblivimon,オブリビモン,1,ウェイストアブダクション
oblivimon,オブリビモン,2,アナイデントファイド・エアリアル・フェノメノン
dimetromon,ディメトロモン,1,ルミナスヒート
dimetromon,ディメトロモン,2,セイリングスピン
ryugumon,リュウグウモン,1,儀来四海招（にらいしかいしょう）
ryugumon,リュウグウモン,2,海神之祓（わだつみのはらえ）
cerunumon,ケルヌモン,1,ケルティックバインド
cerunumon,ケルヌモン,2,スキャッターゴームグラス
marinbullmon,マリンブルモン,1,ハイドロデモリッシャー
marinbullmon,マリンブルモン,2,トキシックスプレッド
elizamon,エリザモン,1,フリルドカッター
elizamon,エリザモン,2,ヘリコプテイル
nezhamon,ナタモン,1,乾坤圏
nezhamon,ナタモン,2,爆迅炎戟破
dinomon,ダイナモン,1,バーニングエンド
dinomon,ダイナモン,2,ダイナブレス
skadimon,スカーディモン,1,スノースワッター
skadimon,スカーディモン,2,スノーマンズダンス
skadimon,スカーディモン,3,レイジングアバランチ
polarbearmon,ポーラーベアモン,1,コークスクリューキック
polarbearmon,ポーラーベアモン,2,ウィンターガナリー
erlangmon_blast,イーランモン：ブラストモード,1,万象逸貫
erlangmon_blast,イーランモン：ブラストモード,2,天眼顕聖
queenbeemon,クイーンビーモン,1,アクセルスティンガー
queenbeemon,クイーンビーモン,2,ホーネットイレイザー
vespamon,ヴェスパモン,1,マッハスティンガー
vespamon,ヴェスパモン,2,ビーファランクス
forgebeemon,フォージビーモン,1,トルクスティンガー
forgebeemon,フォージビーモン,2,バンブルウェルダー
heavymetaldramon,ヘヴィーメタルドラモン,1,ブラックサバス
heavymetaldramon,ヘヴィーメタルドラモン,2,ブルーマーダーフレイム
loudmon,ラウドモン,1,メタリカエッジ
loudmon,ラウドモン,2,ディープパープルブラスター
punkmon,パンクモン,1,ブリッツクリーグバップ
punkmon,パンクモン,2,アナーキストフレイム
takutoumon_wrath,タクトウモン：ラースモード,1,龍閃乱撃
takutoumon_wrath,タクトウモン：ラースモード,2,毘沙門八極殲陣
erlangmon,イーランモン,1,鷹尖円舞
erlangmon,イーランモン,2,招来・哮天犬
cendrillmon,サンドリモン,1,マリッジストライク
cendrillmon,サンドリモン,2,ノーブルファミリアーツ
cendrillmon,サンドリモン,3,プリズムデイトブレイク
chaperomon,シャペロモン,1,アップルフォーユー
chaperomon,シャペロモン,2,クリムゾンリッパー
chaperomon,シャペロモン,3,マーシーバスケット
zephagamon,ゼファーガモン,1,ゲイルブレイバー
zephagamon,ゼファーガモン,2,アネモイエンブレイス
zephagamon,ゼファーガモン,3,ディバインテンペスト
grandgalemon,グランゲイルモン,1,ドラゴニックストーム
grandgalemon,グランゲイルモン,2,ウィングトルネード
fluffymon,フラフィモン,1,バーディーヘッド
yolkmon,ヨークモン,1,泡
callismon,カリスモン,1,ディープフォレスト
callismon,カリスモン,2,ロデオバレット
tlalocmon,トラロックモン,1,ネトティリズトリ
tlalocmon,トラロックモン,2,ナウイキアウィトル
shoeshoemon,シューシューモン,1,ローリングストンパー
shoeshoemon,シューシューモン,2,ドングリボム
shoemon,シューモン,1,ワンダーストンプ
shoemon,シューモン,2,プチニードル
galemon,ゲイルモン,1,ハリケーンスライサー
galemon,ゲイルモン,2,トルネードスロワー
pteromon,プテロモン,1,ウィンドスライサー
pteromon,プテロモン,2,ランブルクロー
takutoumon,タクトウモン,1,天星斬
takutoumon,タクトウモン,2,鉄天摧砕
fenriloogamon_takemikazuchi,フェンリルガモン：建御雷神(タケミカヅチ),1,終極戦刃建御雷神（シュウキョクセンジンタケミカヅチ）
fenriloogamon_takemikazuchi,フェンリルガモン：建御雷神(タケミカヅチ),2,絶極舞刀建御雷神（ゼツゴクブトウタケミカヅチ）
bigukkomon,ビッグウッコモン,1,ヴァイオレントパニッシャー
ukkomon,ウッコモン,1,ワールプールスピン
ukkomon,ウッコモン,2,ライアードリーム
dijiangmon,ディージャンモン,1,凶旋壊（きょうせんかい）
dijiangmon,ディージャンモン,2,咒煉衝刻（じゅれんしょうこく）
dijiangmon,ディージャンモン,3,渾沌亜空虚（こんとんあくうきょ）
xingtianmon,シンテンモン,1,斧乗炎怒（ふじょうえんど）
xingtianmon,シンテンモン,2,盾射轟哀（じゅんせきごうあい）
xingtianmon,シンテンモン,3,雷鬧（らいどう)
lianpumon,リェンフーモン,1,鉄壁相（てっぺきのそう）
lianpumon,リェンフーモン,2,献身相（けんしんのそう）
lianpumon,リェンフーモン,3,九種九面撃（きゅうしゅきゅうめんげき）
dominimon,ドミニモン,1,ファイナルエクスキャリバー
dominimon,ドミニモン,2,ゼロヘブンズ
dominimon,ドミニモン,3,ディヴォーションフィールド
arkhaiangemon,アルケーエンジェモン,1,セイントレギオン
arkhaiangemon,アルケーエンジェモン,2,ヘブンズフレイム
arkhaiangemon,アルケーエンジェモン,3,ブレイブオーラ
luxmon,ルクスモン,1,ピコナックル
luxmon,ルクスモン,2,クラウドバリア
huanglongmon_ruin,ファンロンモン：ルインモード,1,無極
huanglongmon_ruin,ファンロンモン：ルインモード,2,晦冥葬
moonmon,ムンモン,1,ムーンライトバブル
sunmon,サンモン,1,サンライトバブル
brigadramon,ブリガードラモン,1,ジェノサイドレイン
brigadramon,ブリガードラモン,2,エクサデストロイヤー
hi-commandramon,ハイコマンドラモン,1,DCDグレネード
hi-commandramon,ハイコマンドラモン,2,デストロイチャージ
fenriloogamon,フェンリルガモン,1,ラグナロクハウリング
fenriloogamon,フェンリルガモン,2,ヨトゥンヘイムゲイル
fenriloogamon,フェンリルガモン,3,フローズヴィトニル
helloogarmon,ヘルガルモン,1,ハウリングバースト
helloogarmon,ヘルガルモン,2,インフェルノクロー
helloogarmon,ヘルガルモン,3,ハティエンブレイス
soloogarmon,ソルガルモン,1,プロミネンスレーザー
soloogarmon,ソルガルモン,2,イラプションハウリング
soloogarmon,ソルガルモン,3,スコルレイジ
cargodramon,カーゴドラモン,1,サプレッションストライク
cargodramon,カーゴドラモン,2,スローターブレード
loogarmon,ルガルモン,1,ハウリングバーナー
loogarmon,ルガルモン,2,フレイムブロウ
bowmon,バウモン,1,パピースパーク
fusamon,フサモン,1,パピーノイズ
quantumon,クオンタモン,1,アンリミテッドジャーニー
quantumon,クオンタモン,2,ヘイジータイム
loogamon,ルガモン,1,ハウリングファイア
loogamon,ルガモン,2,スパイラルバイト
proximamon,プロキシマモン,1,エクスティンクションクラウド
proximamon,プロキシマモン,2,ライトオブリクリエイション
arcturusmon,アルクトゥルスモン,1,ブラックデス
arcturusmon,アルクトゥルスモン,2,ブラックコンフェッション
greyknightsmon,グレイナイツモン,1,ギガーススパイラル
greyknightsmon,グレイナイツモン,2,ヘルインシネレート
greyknightsmon,グレイナイツモン,3,デスデストロイヤー
zanmetsumon,ザンメツモン,1,伍連断霊斬（ごれんだんれいざん）
zanmetsumon,ザンメツモン,2,伍重螺旋断（ごじゅうらせんだち）
zanmetsumon,ザンメツモン,3,獄門縛（ごくもんしばり）
bombermon,ボマーモン,1,コンボブラスト
bombermon,ボマーモン,2,リミットエクスプロージョン
ghilliedhumon,ギリードゥモン,1,トゥルーアイズ
ghilliedhumon,ギリードゥモン,2,コアシュート
fumamon,フウマモン,1,燕（つばくろ）
fumamon,フウマモン,2,舎利弗（しゃりほつ）
fumamon,フウマモン,3,黄泉戻（よみもどし）
cthyllamon,クティーラモン,1,バッカルラッシュ
cthyllamon,クティーラモン,2,オーシャンヘル
cthyllamon,クティーラモン,3,アクアグラインダー
regulusmon,レグルスモン,1,カリプバイト
regulusmon,レグルスモン,2,ゲニアス
regulusmon,レグルスモン,3,デッドエンドスパイク
regulusmon,レグルスモン,4,グラントレース
ragnamon,ラグナモン,1,ラグナロク・キャノン
ragnamon,ラグナモン,2,ギムレットガン
ragnamon,ラグナモン,3,スペイザー
ragnamon,ラグナモン,4,シャトルシザーズ
ragnamon,ラグナモン,5,サテライトバスター
ragnamon,ラグナモン,6,フュージョナイズ
destromon,デストロモン,1,3連装砲
destromon,デストロモン,2,ジャガーノートブラスト
destromon,デストロモン,3,ロングレンジバスターキャノン
destromon,デストロモン,4,フュージョナイズ
snatchmon,スナッチモン,1,ルインレーザー
snatchmon,スナッチモン,2,トゥースピア
snatchmon,スナッチモン,3,フュージョナイズ
bemmon,ベムモン,1,メッサークロー
bemmon,ベムモン,2,フュージョナイズ
baalmon_x,バアルモン（X抗体）,1,トゥーリブラスト
baalmon_x,バアルモン（X抗体）,2,ザイカミウチ
baalmon_x,バアルモン（X抗体）,3,アブソマーク
amphimon,アンフィモン,1,クリスタルフリーザー
amphimon,アンフィモン,2,アクアザンバー
amphimon,アンフィモン,3,ライバーンブレイク
amphimon,アンフィモン,4,アンブレディフェンダー
diarbbitmon,ディルビットモン,1,トラスゲイン
diarbbitmon,ディルビットモン,2,ボルジャーグ
diarbbitmon,ディルビットモン,3,バックストラッシュ
siriusmon,シリウスモン,1,フォトンブラスター
siriusmon,シリウスモン,2,コスモブレード
siriusmon,シリウスモン,3,ブレイクエーサー
siriusmon,シリウスモン,4,プラネイトナックル
shinegreymon_ruin,シャイングレイモン： ルインモード,1,コロナブレイズソード
shinegreymon_ruin,シャイングレイモン： ルインモード,2,ファイナルシャイニングバースト
shinegreymon_ruin,シャイングレイモン： ルインモード,3,トリッドヴァイス
chamblemon,シャンブルモン,1,スイーポア
chamblemon,シャンブルモン,2,シャンピオン・ボム
publimon,パブリモン,1,デュアルプレッサー
publimon,パブリモン,2,ジュークラック
oleamon,オウリアモン,1,ジャミール
oleamon,オウリアモン,2,リーフレッド
huankunmon,ファンクンモン,1,孤籠泡（ころうほう）
huankunmon,ファンクンモン,2,冰乱結突（ひょうらんけっとつ）
huankunmon,ファンクンモン,3,潮流旋禍（ちょうりゅうせんか）
xiangpengmon,シャンポンモン,1,雷煌鞭（らいこうべん）
xiangpengmon,シャンポンモン,2,神碎牙（しんさいが）
xiangpengmon,シャンポンモン,3,天星壊海（てんせいかいかい）
xiquemon,シーチューモン,1,瀑閃（ばくせん）
xiquemon,シーチューモン,2,魚流炮（ぎょりゅうほう）
xiquemon,シーチューモン,3,冰凍爪（ひょうとうそう）
imperialdramonfightermode_vi,インペリアルドラモン：ファイターモード（黒）,1,ポジトロンレーザー
imperialdramonfightermode_vi,インペリアルドラモン：ファイターモード（黒）,2,ギガデス
imperialdramonfightermode_vi,インペリアルドラモン：ファイターモード（黒）,3,ポジトロンレーザーランス
greymon_blue_x,グレイモン（青）（X抗体）,1,メガバースト
greymon_blue_x,グレイモン（青）（X抗体）,2,ブレイダーテイル
oboromon,オボロモン,1,千万ノ太刀（ちよろずのたち）
oboromon,オボロモン,2,羅焼門（らしょうもん）
oboromon,オボロモン,3,幽玄（ゆうげん）
gyukimon,ギュウキモン,1,八束染縛（やつかせんばく）
gyukimon,ギュウキモン,2,魔塵瓢箪（まじんびょうたん）
gyukimon,ギュウキモン,3,千砲土蜘蛛（せんほうつちぐも）
shinmonzaemon,しんもんざえモン,1,ナイトメアレイン
shinmonzaemon,しんもんざえモン,2,ファンシーファンタジスタ
shinmonzaemon,しんもんざえモン,3,スイートラブリーアタック
hoverespimon,ホバーエスピモン,1,スタンパーミサイル
hoverespimon,ホバーエスピモン,2,ブレストキャノン
hoverespimon,ホバーエスピモン,3,ドロンガー
hoverespimon,ホバーエスピモン,4,ダイバニッシュ
espimon,エスピモン,1,モットボム
espimon,エスピモン,2,ダイバニッシュ
jupitermmon_wrath,ユピテルモン：ラースモード,1,ケラウノスディバイド
jupitermmon_wrath,ユピテルモン：ラースモード,2,ライトニングビー
jupitermmon_wrath,ユピテルモン：ラースモード,3,ディオスサンダー
plutomon,プルートモン,1,ハガードクラスター
plutomon,プルートモン,2,ヘルズゲート
plutomon,プルートモン,3,ケイオスライツ
ceresmon,ケレスモン,1,アイランドフリーフォール
ceresmon,ケレスモン,2,バーニングブラッドシェル
ceresmon,ケレスモン,3,フルーツフレシェット
bacchusmon,バッカスモン,1,クック・オブ・ザ・ヘル
bacchusmon,バッカスモン,2,パーティー・オブ・ザ・ヘブン
bacchusmon,バッカスモン,3,リバース・オブ・ザ・デッド
junomon_hysteric,ユノモン：ヒステリックモード,1,ウェルカムロスト
junomon_hysteric,ユノモン：ヒステリックモード,2,リングラッジ
junomon_hysteric,ユノモン：ヒステリックモード,3,ライアーバニッシュメント
junomon,ユノモン,1,ニードルハイブ
junomon,ユノモン,2,グレイスランス
junomon,ユノモン,3,ラブバスケット
thetismon,テティスモン,1,ビリースマッシャー
thetismon,テティスモン,2,ハンマーサンダー
thetismon,テティスモン,3,アドゥワールド
thetismon,テティスモン,4,ドクテアーゼ
lamortmon,ラモールモン,1,禍災爪（かさいそう）
lamortmon,ラモールモン,2,叩破伐倒（こうはばっとう）
lamortmon,ラモールモン,3,風牙烈巻迅（ふうがれっかんじん）
lamortmon,ラモールモン,4,豪怨毀永斬（ごうおんきえいざん）
canoweissmon,カノーヴァイスモン,1,ガリアフィッシャー
canoweissmon,カノーヴァイスモン,2,ドラゴニア
canoweissmon,カノーヴァイスモン,3,メテオルクス
canoweissmon,カノーヴァイスモン,4,グランノヴァ
sistermon_ciel_Awake,シスタモン シエル（覚醒）,1,白詰一文字切り（覚醒）
sistermon_ciel_Awake,シスタモン シエル（覚醒）,2,白殺（覚醒）　（びゃくさい）
sistermon_ciel_Awake,シスタモン シエル（覚醒）,3,突蜂（覚醒）　（とっほう）
sistermon_noir_Awake,シスタモン ノワール（覚醒）,1,ミッキーバレット（覚醒）
sistermon_noir_Awake,シスタモン ノワール（覚醒）,2,ブレスファイア（覚醒）
sistermon_noir_Awake,シスタモン ノワール（覚醒）,3,グランドシスタークルス（覚醒）
sistermon_blanc_Awake,シスタモン ブラン（覚醒）,1,ディバインピース(覚醒)
sistermon_blanc_Awake,シスタモン ブラン（覚醒）,2,プロテクトウェーブ(覚醒)
sistermon_blanc_Awake,シスタモン ブラン（覚醒）,3,グランドシスタークルス(覚醒)
gulusgammamon,グルスガンマモン,1,ダークパレス
gulusgammamon,グルスガンマモン,2,デスデモーナ
gulusgammamon,グルスガンマモン,3,デッドエンドスキュアー
teslajellymon,テスラジェリーモン,1,フィサリスト
teslajellymon,テスラジェリーモン,2,パニッシューネ
teslajellymon,テスラジェリーモン,3,ボルスプライト
symbareangoramon,ジンバーアンゴラモン,1,ジャイブ
symbareangoramon,ジンバーアンゴラモン,2,レントライザー
symbareangoramon,ジンバーアンゴラモン,3,ブレイキンストリーム
blacktailmon_uver,ブラックテイルモン Uver.,1,ネコパンチ
blacktailmon_uver,ブラックテイルモン Uver.,2,バコーニャ
weddinmon,ウェディンモン,1,ホイップデコレーション
weddinmon,ウェディンモン,2,ケーキカッティング
weddinmon,ウェディンモン,3,ハピネスフォール
shortmon,ショートモン,1,テイストーン
shortmon,ショートモン,2,スウィートベリー
blackrapidmon,ブラックラピッドモン,1,ラピッドファイア
blackrapidmon,ブラックラピッドモン,2,ゴールデントライアングル
blackgalgomon,ブラックガルゴモン,1,ガトリングアーム
blackgalgomon,ブラックガルゴモン,2,ダムダムアッパー
omegamonzwart_d,オメガモンズワルトDEFEAT,1,ガルルキャノン
omegamonzwart_d,オメガモンズワルトDEFEAT,2,グレイソード
wezengammamon,ウェズンガンマモン,1,セドナ
wezengammamon,ウェズンガンマモン,2,アルビオン
kausgammamon,カウスガンマモン,1,ウルダインパルス
kausgammamon,カウスガンマモン,2,ランベルタキック
betelgammamon,ベテルガンマモン,1,ソルブロー
betelgammamon,ベテルガンマモン,2,ソルショット
abbadomoncore,アバドモンコア,1,エクリプスノーン
abbadomoncore,アバドモンコア,2,ビンジェラード
