char,codepoint,script,species_occurrences,technique_occurrences,total_occurrences,examples
電,U+96FB,Han,0,13,13,technique:556:斬電剣 | technique:647:神電召雷光（しんでんしょうらいこう） | technique:658:武電破弾（ぶでんはだん）
之,U+4E4B,Han,0,12,12,technique:50:厳之御魂（いづのみたま） | technique:89:石土之体（いしづちのてい） | technique:177:月夜之迎（つきよのむかえ）
光,U+5149,Han,0,12,12,technique:62:光爪神楽（こうそうかぐら） | technique:63:魔祓灼光（まふつのしゃっこう） | technique:75:暁光一閃
爆,U+7206,Han,0,12,12,technique:116:饕飢爆（とうきばく） | technique:124:爆霧（ばくぎり） | technique:227:爆迅炎戟破
舞,U+821E,Han,0,12,12,technique:74:日輪の舞 | technique:84:小判振舞い | technique:178:骸繰艶舞・鉢かづき
覚,U+899A,Han,3,9,12,species:189:シスタモン シエル（覚醒） | species:190:シスタモン ノワール（覚醒） | species:191:シスタモン ブラン（覚醒）
醒,U+9192,Han,3,9,12,species:189:シスタモン シエル（覚醒） | species:190:シスタモン ノワール（覚醒） | species:191:シスタモン ブラン（覚醒）
陣,U+9663,Han,0,12,12,technique:192:鹹海炸滄陣（かんかいさくそうじん） | technique:250:毘沙門八極殲陣 | technique:1146:魔重力呪縛陣（まじゅうりょくじゅばくじん）
一,U+4E00,Han,0,11,11,technique:75:暁光一閃 | technique:173:一斉砲撃 | technique:446:白詰一文字切り（覚醒）
刀,U+5200,Han,1,10,11,species:237:ガイオウモン：厳刀ノ型 | technique:281:絶極舞刀建御雷神（ゼツゴクブトウタケミカヅチ） | technique:402:千万ノ太刀（ちよろずのたち）
刃,U+5203,Han,0,11,11,technique:166:刃羽颪(じんばおろし) | technique:189:斬砍双刃撃 | technique:280:終極戦刃建御雷神（シュウキョクセンジンタケミカヅチ）
極,U+6975,Han,0,11,11,technique:250:毘沙門八極殲陣 | technique:280:終極戦刃建御雷神（シュウキョクセンジンタケミカヅチ） | technique:281:絶極舞刀建御雷神（ゼツゴクブトウタケミカヅチ）
泡,U+6CE1,Han,0,11,11,technique:154:粘着性の泡 | technique:265:泡 | technique:388:孤籠泡（ころうほう）
火,U+706B,Han,0,11,11,technique:54:火眼金睛（かがんきんせい） | technique:64:猛進火達磨（もうしんひだるま） | technique:102:燐火（りんか）
鬼,U+9B3C,Han,0,11,11,technique:126:千塵鬼神斬（せんじんきしんざん） | technique:585:鬼瞬轟拳（きしゅんごうけん） | technique:984:火電鬼爆波（ひでんきばくは）
砲,U+7832,Han,0,10,10,technique:57:超大聖雷天砲（ちょうたいせいらいてんほう） | technique:173:一斉砲撃 | technique:359:3連装砲
０,U+FF10,Other,6,4,10,species:522:ファルコモン（２００６アニメ版） | species:522:ファルコモン（２００６アニメ版） | species:523:クダモン（２００６アニメ版）
太,U+592A,Han,0,9,9,technique:203:太陰皓光（たいいんこうこう） | technique:402:千万ノ太刀（ちよろずのたち） | technique:1011:太極旋（たいきょくせん）
牙,U+7259,Han,0,9,9,technique:14:凍烈檮牙(とうれつとうが) | technique:95:蛟牙（こうが） | technique:167:窮牙嵐断襲(きゅうがらんだんしゅう)
突,U+7A81,Han,0,9,9,technique:389:冰乱結突（ひょうらんけっとつ） | technique:448:突蜂（覚醒）　（とっほう） | technique:1033:究極戦突剣（きゅうきょくせんとつけん）グランローゼリオ
鉄,U+9244,Han,0,9,9,technique:279:鉄天摧砕 | technique:291:鉄壁相（てっぺきのそう） | technique:819:鉄ゲタ張り手
閃,U+9583,Han,0,9,9,technique:51:六合照徹閃（りくごうしょうてつせん） | technique:75:暁光一閃 | technique:249:龍閃乱撃
風,U+98A8,Han,0,9,9,technique:49:尊天大烈風（そんてんだいれっぷう） | technique:440:風牙烈巻迅（ふうがれっかんじん） | technique:546:旋風縛（せんぷうばく）
龍,U+9F8D,Han,0,9,9,technique:86:劈龍爪（へきりゅうそう） | technique:193:蒼纏龍神牙（そうてんりゅうじんが） | technique:249:龍閃乱撃
乱,U+4E71,Han,0,8,8,technique:249:龍閃乱撃 | technique:389:冰乱結突（ひょうらんけっとつ） | technique:1127:乱破（らっぱ）
断,U+65AD,Han,0,8,8,technique:65:断災達磨落とし（だんさいだるまおとし） | technique:167:窮牙嵐断襲(きゅうがらんだんしゅう) | technique:336:伍連断霊斬（ごれんだんれいざん）
波,U+6CE2,Han,0,8,8,technique:169:波濤深槍（はとうしんそう） | technique:202:蛾眉截波（がびせっぱ） | technique:984:火電鬼爆波（ひでんきばくは）
版,U+7248,Han,8,0,8,species:522:ファルコモン（２００６アニメ版） | species:523:クダモン（２００６アニメ版） | species:530:メタルグレイモン（2010アニメ版）
獣,U+7363,Han,0,8,8,technique:612:氷獣拳 | technique:1039:獣王拳 | technique:1149:獣王堕拳
竜,U+7ADC,Han,1,7,8,species:872:アルファモン：王竜剣 | technique:1131:水竜 | technique:1174:爆水竜（ばくすいりゅう）
羅,U+7F85,Han,0,8,8,technique:53:閻羅王降誕（えんらおうごうたん） | technique:403:羅焼門（らしょうもん） | technique:987:胎蔵界曼荼羅（たいぞうかいまんだら）
金,U+91D1,Han,1,7,8,species:226:ガードロモン（金） | technique:54:火眼金睛（かがんきんせい） | technique:97:金絲吼（きんしこう）
～,U+FF5E,Other,1,7,8,species:246:ば～ぷモン | technique:1349:ツララララ～ | technique:1355:ランブルブレンドナンバー（１～１０）
子,U+5B50,Han,0,7,7,technique:782:扇子返し | technique:1455:連獅子 | technique:1542:獅子羅王漸（ししらおうざん）
怒,U+6012,Han,0,7,7,technique:288:斧乗炎怒（ふじょうえんど） | technique:1473:怒涛闇供喪之舞（どとうやみくものまい） | technique:2018:怒髪天（どはつてん）
旋,U+65CB,Han,0,7,7,technique:285:凶旋壊（きょうせんかい） | technique:337:伍重螺旋断（ごじゅうらせんだち） | technique:390:潮流旋禍（ちょうりゅうせんか）
月,U+6708,Han,0,7,7,technique:135:柔ノ斬・月時雨（じゅうのざん・つきしぐれ） | technique:177:月夜之迎（つきよのむかえ） | technique:201:墜月衝（ついげつしょう）
海,U+6D77,Han,0,7,7,technique:170:浄流海癒（じょうりゅうかいゆ） | technique:192:鹹海炸滄陣（かんかいさくそうじん） | technique:218:儀来四海招（にらいしかいしょう）
無,U+7121,Han,0,7,7,technique:302:無極 | technique:1472:無双天翔翼之陣（むそうてんしょうよくのじん） | technique:1563:インビンシブルソード（無敵剣）
々,U+3005,Han,0,6,6,technique:7:羽々斬（はばきり） | technique:679:雅琉々砲（がるるほう） | technique:1597:天羽々斬（あまのはばきり）
字,U+5B57,Han,0,6,6,technique:446:白詰一文字切り（覚醒） | technique:1034:白詰一文字切り | technique:1094:超低速一文字斬り
御,U+5FA1,Han,1,5,6,species:126:フェンリルガモン：建御雷神(タケミカヅチ) | technique:50:厳之御魂（いづのみたま） | technique:280:終極戦刃建御雷神（シュウキョクセンジンタケミカヅチ）
戦,U+6226,Han,0,6,6,technique:280:終極戦刃建御雷神（シュウキョクセンジンタケミカヅチ） | technique:818:究極戦技天仰拳 | technique:1000:此ノ花戦姫万象（このはなせんきばんしょう）
打,U+6253,Han,0,6,6,technique:1119:打竹落し（うちたけおとし） | technique:1144:強羅打雷銃（ゴウラダライガン） | technique:1185:乱れ打ちラッシュ
水,U+6C34,Han,0,6,6,technique:56:悟浄水天葬（ごじょうすいてんそう） | technique:94:泿水弾（ぎんすいだん） | technique:662:響香水月（きょうかすいげつ）
流,U+6D41,Han,0,6,6,technique:170:浄流海癒（じょうりゅうかいゆ） | technique:390:潮流旋禍（ちょうりゅうせんか） | technique:395:魚流炮（ぎょりゅうほう）
爪,U+722A,Han,0,6,6,technique:62:光爪神楽（こうそうかぐら） | technique:86:劈龍爪（へきりゅうそう） | technique:123:闘魂爪（とうこんそう）
白,U+767D,Han,2,4,6,species:1074:ナイトチェスモン（白） | species:1185:ポーンチェスモン（白） | technique:446:白詰一文字切り（覚醒）
種,U+7A2E,Han,4,2,6,species:268:メタルグレイモン（ワクチン種）（Ｘ抗体） | species:412:メタルグレイモン（ウィルス種）（Ｘ抗体） | species:901:メタルグレイモン（ワクチン種）
縛,U+7E1B,Han,0,6,6,technique:168:絡縛藻紐（らくばくそうちゅう） | technique:338:獄門縛（ごくもんしばり） | technique:405:八束染縛（やつかせんばく）
羽,U+7FBD,Han,0,6,6,technique:7:羽々斬（はばきり） | technique:166:刃羽颪(じんばおろし) | technique:1064:羽黒（ハグロ）
迅,U+8FC5,Han,0,6,6,technique:227:爆迅炎戟破 | technique:440:風牙烈巻迅（ふうがれっかんじん） | technique:659:迅雷廻天戟（じんらいかいてんげき）
返,U+8FD4,Han,0,6,6,technique:76:ツバメ二枚返し | technique:782:扇子返し | technique:1055:天波返し（てんばがえし）
魂,U+9B42,Han,0,6,6,technique:50:厳之御魂（いづのみたま） | technique:123:闘魂爪（とうこんそう） | technique:1001:宇迦之御魂（うかのみたま）
魔,U+9B54,Han,0,6,6,technique:48:魔縁斬蹴撃（まえんざんしゅうげき） | technique:63:魔祓灼光（まふつのしゃっこう） | technique:406:魔塵瓢箪（まじんびょうたん）
大,U+5927,Han,1,4,5,species:257:スカモン大王 | technique:49:尊天大烈風（そんてんだいれっぷう） | technique:57:超大聖雷天砲（ちょうたいせいらいてんほう）
小,U+5C0F,Han,0,5,5,technique:84:小判振舞い | technique:2176:小熊正拳突き | technique:2263:小さな火炎弾
悪,U+60AA,Han,2,3,5,species:439:ケルビモン（悪）（Ｘ抗体） | species:811:ケルビモン（悪） | technique:1160:悪夢の泡
手,U+624B,Han,1,4,5,species:351:テリアモン助手 | technique:819:鉄ゲタ張り手 | technique:1118:手裏裏剣（しゅりりんけん）
文,U+6587,Han,0,5,5,technique:446:白詰一文字切り（覚醒） | technique:1034:白詰一文字切り | technique:1094:超低速一文字斬り
気,U+6C17,Han,1,4,5,species:346:アグモン -勇気の絆- | technique:667:静電気 | technique:2112:怒気怒鬼怒灸（ドキドキドキューン）
烈,U+70C8,Han,0,5,5,technique:14:凍烈檮牙(とうれつとうが) | technique:49:尊天大烈風（そんてんだいれっぷう） | technique:440:風牙烈巻迅（ふうがれっかんじん）
空,U+7A7A,Han,0,5,5,technique:165:斬空(ざんくう) | technique:287:渾沌亜空虚（こんとんあくうきょ） | technique:1968:駆駆裂空斬（くるくるれっくうざん）
聖,U+8056,Han,0,5,5,technique:57:超大聖雷天砲（ちょうたいせいらいてんほう） | technique:236:天眼顕聖 | technique:803:聖拳滅破
衝,U+885D,Han,0,5,5,technique:93:岩衝弾（がんしょうだん） | technique:201:墜月衝（ついげつしょう） | technique:286:咒煉衝刻（じゅれんしょうこく）
超,U+8D85,Han,0,5,5,technique:57:超大聖雷天砲（ちょうたいせいらいてんほう） | technique:1094:超低速一文字斬り | technique:1095:超高速一文字斬り
蹴,U+8E74,Han,0,5,5,technique:48:魔縁斬蹴撃（まえんざんしゅうげき） | technique:586:獄炎破回蹴（ごくえんはかいしゅう） | technique:1790:蝶絶喇叭蹴（ちょうぜつらっぱしゅう）
門,U+9580,Han,0,5,5,technique:250:毘沙門八極殲陣 | technique:338:獄門縛（ごくもんしばり） | technique:403:羅焼門（らしょうもん）
６,U+FF16,Other,4,1,5,species:522:ファルコモン（２００６アニメ版） | species:523:クダモン（２００６アニメ版） | species:870:イグドラシル＿７Ｄ６
Ｄ,U+FF24,Other,1,4,5,species:870:イグドラシル＿７Ｄ６ | technique:1138:マッドネスメリーゴーランドＤＸ | technique:2117:ＤＪシューター
Ｖ,U+FF36,Other,0,5,5,technique:610:トライデントアームＶＥＲ９.９ | technique:880:シャイニングＶフォース | technique:1586:マッハスティンガーＶ（ビクトリー）
九,U+4E5D,Han,0,4,4,technique:114:九淵貪角(きゅうえんどんかく) | technique:293:九種九面撃（きゅうしゅきゅうめんげき） | technique:293:九種九面撃（きゅうしゅきゅうめんげき）
八,U+516B,Han,0,4,4,technique:55:八戒炎天撃（はっかいえんてんげき） | technique:250:毘沙門八極殲陣 | technique:405:八束染縛（やつかせんばく）
千,U+5343,Han,0,4,4,technique:126:千塵鬼神斬（せんじんきしんざん） | technique:402:千万ノ太刀（ちよろずのたち） | technique:407:千砲土蜘蛛（せんほうつちぐも）
幻,U+5E7B,Han,0,4,4,technique:722:愚幻 | technique:1012:狐蝶幻（こちょうげん） | technique:1584:幻刃無痕（げんじんむこん）
影,U+5F71,Han,0,4,4,technique:721:影縛り | technique:1170:電影烈破（でんえいれっぱ） | technique:1892:秘技・夢現影（ひぎ・むげんえい）
心,U+5FC3,Han,0,4,4,technique:1853:迅速の心得（じんそくのこころえ） | technique:1854:改心の波動 | technique:1889:無限弾幕心経（むげんだんまくしんきょう）
敵,U+6575,Han,0,4,4,technique:85:招敵来来拳（しょうてきらいらいけん） | technique:1134:索敵 | technique:1177:瞬索敵（しゅんさくてき）
星,U+661F,Han,0,4,4,technique:278:天星斬 | technique:393:天星壊海（てんせいかいかい） | technique:551:三連星
来,U+6765,Han,0,4,4,technique:85:招敵来来拳（しょうてきらいらいけん） | technique:85:招敵来来拳（しょうてきらいらいけん） | technique:218:儀来四海招（にらいしかいしょう）
殺,U+6BBA,Han,0,4,4,technique:447:白殺（覚醒）　（びゃくさい） | technique:1035:白殺（びゃくさい） | technique:1171:光電殺法之陣（こうでんさっぽうのじん）
氷,U+6C37,Han,0,4,4,technique:12:氷骸礫(ひょうがいれき) | technique:612:氷獣拳 | technique:1346:グレッチャートルペイド（氷河魚雷）
燐,U+71D0,Han,0,4,4,technique:102:燐火（りんか） | technique:547:菊燐一閃・號雷斬（きくりんいっせん・ごうらいざん） | technique:1668:燐火斬（りんかざん）
狐,U+72D0,Han,0,4,4,technique:1012:狐蝶幻（こちょうげん） | technique:2115:狐炎龍（こえんりゅう） | technique:2150:狐変虚（こへんきょ）
獅,U+7345,Han,0,4,4,technique:1455:連獅子 | technique:1542:獅子羅王漸（ししらおうざん） | technique:1805:紅・獅子之舞（くれない・ししのまい）
砕,U+7815,Han,0,4,4,technique:279:鉄天摧砕 | technique:579:鼓・爆砕 | technique:587:喰雷炎砕破（がらいえんさいは）
秘,U+79D8,Han,0,4,4,technique:77:秘剣・飛鳥落とし | technique:79:秘剣ピヨピヨ斬り | technique:164:秘剣キャット・ザ・ナインライブス
究,U+7A76,Han,0,4,4,technique:818:究極戦技天仰拳 | technique:1033:究極戦突剣（きゅうきょくせんとつけん）グランローゼリオ | technique:1044:究極戦刃聖覇剣（きゅうきょくせんじんせいばけん）
紅,U+7D05,Han,0,4,4,technique:1434:紅葉おろし | technique:1599:紅焔（こうえん） | technique:1804:紅蓮獣王波（ぐれんじゅうおうは）
絶,U+7D76,Han,0,4,4,technique:281:絶極舞刀建御雷神（ゼツゴクブトウタケミカヅチ） | technique:1121:絶光衝（ぜっこうしょう） | technique:1790:蝶絶喇叭蹴（ちょうぜつらっぱしゅう）
裏,U+88CF,Han,0,4,4,technique:986:裏飯綱（うらいづな） | technique:1118:手裏裏剣（しゅりりんけん） | technique:1118:手裏裏剣（しゅりりんけん）
身,U+8EAB,Han,0,4,4,technique:292:献身相（けんしんのそう） | technique:2093:コウガ流影分身 | technique:2103:当身返し
轟,U+8F5F,Han,0,4,4,technique:13:轟蹄崩(ごうていほう) | technique:289:盾射轟哀（じゅんせきごうあい） | technique:585:鬼瞬轟拳（きしゅんごうけん）
連,U+9023,Han,0,4,4,technique:336:伍連断霊斬（ごれんだんれいざん） | technique:359:3連装砲 | technique:551:三連星
青,U+9752,Han,4,0,4,species:174:グレイモン（青）（X抗体） | species:455:グレイモン（青） | species:1022:アトラーカブテリモン（青）
鳴,U+9CF4,Han,0,4,4,technique:1145:超力鳴動破（チョウリキメイドウハ） | technique:1656:地神！神鳴！神馳！親父！（じしん！かみなり！かじ！おやじ！） | technique:2110:金銀雷鳴撃（きんぎんらいめいげき）
黄,U+9EC4,Han,0,4,4,technique:345:黄泉戻（よみもどし） | technique:1535:黄廻（おうかい） | technique:1641:黄獣偃月刀（きじゅうえんげつとう）
＋,U+FF0B,Other,4,0,4,species:529:メタルグレイモン＋サイバーランチャー | species:572:シャウトモン＋ドルルキャノン | species:573:シャウトモン＋スターソード
１,U+FF11,Other,0,4,4,technique:1355:ランブルブレンドナンバー（１～１０） | technique:1355:ランブルブレンドナンバー（１～１０） | technique:1784:マメバイト１０００
Ⅱ,U+2161,Other,0,3,3,technique:1037:ギガデストロイヤーⅡ | technique:1038:ヌークリアレーザーⅡ | technique:2096:ジ・シュルネン-Ⅱ
≪,U+226A,Other,0,3,3,technique:1862:第一曲≪ポリフォニー≫ | technique:1863:第二曲≪アリア≫ | technique:1864:第三曲≪カノン≫
≫,U+226B,Other,0,3,3,technique:1862:第一曲≪ポリフォニー≫ | technique:1863:第二曲≪アリア≫ | technique:1864:第三曲≪カノン≫
万,U+4E07,Han,0,3,3,technique:235:万象逸貫 | technique:402:千万ノ太刀（ちよろずのたち） | technique:1000:此ノ花戦姫万象（このはなせんきばんしょう）
丸,U+4E38,Han,0,3,3,technique:1120:弾丸旋風（だんがんせんぷう） | technique:1477:烏王丸（ちょうおうまる） | technique:1850:豚ノ丸焼（ぶたのまるやき）
二,U+4E8C,Han,0,3,3,technique:76:ツバメ二枚返し | technique:645:二刀勢雷（にとうせいらい） | technique:1863:第二曲≪アリア≫
切,U+5207,Han,0,3,3,technique:446:白詰一文字切り（覚醒） | technique:1034:白詰一文字切り | technique:1989:切り捨て御免
剛,U+525B,Han,0,3,3,technique:999:金剛界曼荼羅（こんごうかいまんだら） | technique:1552:金剛（こんごう） | technique:2487:怒ツ鬼金剛棍
回,U+56DE,Han,0,3,3,technique:96:猿攻回転弾（えんこうかいてんだん） | technique:586:獄炎破回蹴（ごくえんはかいしゅう） | technique:1642:獣狼大回転（じゅうろうだいかいてん)
士,U+58EB,Han,2,1,3,species:1205:ニセアグモン博士 | species:1252:アグモン博士 | technique:646:士道一徹（しどういってつ）
夢,U+5922,Han,0,3,3,technique:1160:悪夢の泡 | technique:1888:胡蝶夢経（こちょうむきょう） | technique:1892:秘技・夢現影（ひぎ・むげんえい）
建,U+5EFA,Han,1,2,3,species:126:フェンリルガモン：建御雷神(タケミカヅチ) | technique:280:終極戦刃建御雷神（シュウキョクセンジンタケミカヅチ） | technique:281:絶極舞刀建御雷神（ゼツゴクブトウタケミカヅチ）
徹,U+5FB9,Han,0,3,3,technique:51:六合照徹閃（りくごうしょうてつせん） | technique:646:士道一徹（しどういってつ） | technique:2106:徹甲刃（てっこうじん）
性,U+6027,Han,0,3,3,technique:154:粘着性の泡 | technique:635:植物性の泡 | technique:2255:伸縮性のある泡
悟,U+609F,Han,0,3,3,technique:56:悟浄水天葬（ごじょうすいてんそう） | technique:1609:悟遍路掌（さとりへんろしょう） | technique:1918:悟り（さとり）
成,U+6210,Han,1,2,3,species:515:ホエーモン（成熟期） | technique:1617:轍剣成敗（てっけんせいばい） | technique:1818:成龍刃（せいりゅうじん）
扇,U+6247,Han,0,3,3,technique:191:浪濤扇（ろうとうせん） | technique:782:扇子返し | technique:2481:臥龍扇
招,U+62DB,Han,0,3,3,technique:85:招敵来来拳（しょうてきらいらいけん） | technique:218:儀来四海招（にらいしかいしょう） | technique:252:招来・哮天犬
時,U+6642,Han,0,3,3,technique:134:豪ノ斬・叢時雨（ごうのざん・むらしぐれ） | technique:135:柔ノ斬・月時雨（じゅうのざん・つきしぐれ） | technique:1233:タイガータイフーン（真の姿時）
曲,U+66F2,Han,0,3,3,technique:1862:第一曲≪ポリフォニー≫ | technique:1863:第二曲≪アリア≫ | technique:1864:第三曲≪カノン≫
武,U+6B66,Han,0,3,3,technique:176:武獲物語（たけとりものがたり） | technique:658:武電破弾（ぶでんはだん） | technique:1789:武舞独繰
浄,U+6D44,Han,0,3,3,technique:52:浄玻璃鏡(じょうはりのかがみ) | technique:56:悟浄水天葬（ごじょうすいてんそう） | technique:170:浄流海癒（じょうりゅうかいゆ）
漢,U+6F22,Han,0,3,3,technique:1056:漢癪ダスト（かんしゃくダスト） | technique:1187:漢魂乱れ太鼓 | technique:1546:特攻漢弾（ぶっこみおとこだま）
焔,U+7114,Han,0,3,3,technique:87:焔明珠（えんめいしゅ） | technique:1599:紅焔（こうえん） | technique:1981:焔玉（ほむらだま）
猛,U+731B,Han,0,3,3,technique:64:猛進火達磨（もうしんひだるま） | technique:92:猛冲角（もうちゅうかく） | technique:2169:逃げ足猛ダッシュ
獄,U+7344,Han,0,3,3,technique:338:獄門縛（ごくもんしばり） | technique:586:獄炎破回蹴（ごくえんはかいしゅう） | technique:1620:打首獄門
癒,U+7652,Han,0,3,3,technique:170:浄流海癒（じょうりゅうかいゆ） | technique:1172:癒天光(いてんこう） | technique:2435:癒しの湯
真,U+771F,Han,0,3,3,technique:1233:タイガータイフーン（真の姿時） | technique:1611:怠条真言（たいじょうしんごん） | technique:1970:真空カマイタチ
眼,U+773C,Han,0,3,3,technique:54:火眼金睛（かがんきんせい） | technique:236:天眼顕聖 | technique:720:邪念眼
石,U+77F3,Han,0,3,3,technique:89:石土之体（いしづちのてい） | technique:833:石敢当（せっかんとう） | technique:2259:殺生石
第,U+7B2C,Han,0,3,3,technique:1862:第一曲≪ポリフォニー≫ | technique:1863:第二曲≪アリア≫ | technique:1864:第三曲≪カノン≫
経,U+7D4C,Han,0,3,3,technique:1887:杜子春経（とししゅんきょう） | technique:1888:胡蝶夢経（こちょうむきょう） | technique:1889:無限弾幕心経（むげんだんまくしんきょう）
落,U+843D,Han,0,3,3,technique:65:断災達磨落とし（だんさいだるまおとし） | technique:77:秘剣・飛鳥落とし | technique:1119:打竹落し（うちたけおとし）
葉,U+8449,Han,0,3,3,technique:1246:葉隠 | technique:1434:紅葉おろし | technique:2151:狐葉楔（こようせつ）
葬,U+846C,Han,0,3,3,technique:56:悟浄水天葬（ごじょうすいてんそう） | technique:303:晦冥葬 | technique:2111:鬼爆葬（きばくそう）
蝶,U+8776,Han,0,3,3,technique:1012:狐蝶幻（こちょうげん） | technique:1790:蝶絶喇叭蹴（ちょうぜつらっぱしゅう） | technique:1888:胡蝶夢経（こちょうむきょう）
覇,U+8987,Han,0,3,3,technique:907:覇王拳 | technique:1044:究極戦刃聖覇剣（きゅうきょくせんじんせいばけん） | technique:1660:覇王両断剣
角,U+89D2,Han,0,3,3,technique:92:猛冲角（もうちゅうかく） | technique:114:九淵貪角(きゅうえんどんかく) | technique:2109:銀角突貫（ぎんかくとっかん）
豪,U+8C6A,Han,0,3,3,technique:88:豪狛毬（ごうはくきゅう） | technique:134:豪ノ斬・叢時雨（ごうのざん・むらしぐれ） | technique:441:豪怨毀永斬（ごうおんきえいざん）
赤,U+8D64,Han,2,1,3,species:1021:アトラーカブテリモン（赤） | species:1243:オタマモン（赤） | technique:1327:ロート・クロイツ（赤十字架）
車,U+8ECA,Han,0,3,3,technique:1132:風車 | technique:1175:暴風車（ぼうふうしゃ） | technique:1819:縦横車（じゅうおうぐるま）
速,U+901F,Han,0,3,3,technique:1094:超低速一文字斬り | technique:1095:超高速一文字斬り | technique:1853:迅速の心得（じんそくのこころえ）
銃,U+9283,Han,0,3,3,technique:1144:強羅打雷銃（ゴウラダライガン） | technique:1377:マシンガン・ダンス（機銃の踊り） | technique:2124:海鳴墨銃（かいめいぼくじゅう）
降,U+964D,Han,0,3,3,technique:53:閻羅王降誕（えんらおうごうたん） | technique:1883:降妖杖・渦紋の陣（かもんのじん） | technique:1884:降妖杖・滝の陣（たきのじん）
雨,U+96E8,Han,0,3,3,technique:134:豪ノ斬・叢時雨（ごうのざん・むらしぐれ） | technique:135:柔ノ斬・月時雨（じゅうのざん・つきしぐれ） | technique:136:終ノ斬・哭雨（ついのざん・こくう）
雲,U+96F2,Han,0,3,3,technique:104:黏雲（ねんうん） | technique:105:呼雲（こうん） | technique:1895:觔斗雲（きんとうん）
頭,U+982D,Han,0,3,3,technique:580:頭つぶし | technique:1184:ドンドコ音頭 | technique:1370:九頭龍陣（くずりゅうじん）
鼓,U+9F13,Han,0,3,3,technique:579:鼓・爆砕 | technique:1186:極め太鼓 | technique:1187:漢魂乱れ太鼓
－,U+FF0D,Other,0,3,3,technique:1432:ダウントーネ－ド | technique:1855:ストライバ－キャノン | technique:2116:リトルペッカ－
２,U+FF12,Other,3,0,3,species:522:ファルコモン（２００６アニメ版） | species:523:クダモン（２００６アニメ版） | species:1254:アグモン（２００６アニメ版）
３,U+FF13,Other,0,3,3,technique:886:シザーアームズΩ３^３ | technique:886:シザーアームズΩ３^３ | technique:1493:３Dレイザー
