species_id,source_kind,source_id,name_ja,official_detail_url,official_level_or_grade,official_type_or_app_type,official_attribute,profile_sha256,profile_char_count,evidence_signals,base_hp,base_attack,base_defense,base_speed,base_sp_attack,base_sp_defense,bst,battle_type_1,battle_type_2,battle_type_status,catch_rate,exp_yield,growth_rate,confidence,derivation_version
11,digimon,apollomon_whispered,アポロモン：ウィスパード,https://digimon.net/reference/detail.php?directory_name=apollomon_whispered,"究極体
(クロスウォーズ)",神人型,ウィルス,d7f2b0c35bf8b7f546a0c90ed4c1ccc3af5906361112fef422d82b1fef5ce67e,231,hp:巨大:+2 ; speed:走:+2 ; special_attack:炎:+9 ; special_attack:光:+3 ; special_attack:熱:+2 ; type:TYPE_FIRE:炎:profile:+6 ; type:TYPE_FAIRY:神人:official_type:+3 ; type:TYPE_FIGHTING:神人:official_type:+2 ; type_choice:TYPE_FIRE:6 ; growth:profile:erratic,131,122,122,131,185,122,813,TYPE_FIRE,,resolved_profile_evidence,82,313,GROWTH_ERRATIC,medium,profile-derived-v1
12,digimon,kingwhamon,キングホエーモン,https://digimon.net/reference/detail.php?directory_name=kingwhamon,究極体,水棲哺乳類型,ワクチン,9f3c28470fd89cda8387284e65481441ebd0856c9d4f20246e3c1a4049f1594b,178,power:究極:+5 ; power:超高:+3 ; defense:硬い:+4 ; type:TYPE_WATER:海:profile:+2 ; type:TYPE_WATER:深海:profile:+2 ; type:TYPE_ROCK:岩:profile:+2 ; type:TYPE_WATER:水棲:official_type:+5 ; type_choice:TYPE_WATER:9 ; growth:official_stage_plus_profile_power:slow,136,136,154,136,136,136,834,TYPE_WATER,,resolved_profile_evidence,70,325,GROWTH_SLOW,medium,profile-derived-v1
13,digimon,armamon_burstmode,アルマモン：バーストモード,https://digimon.net/reference/detail.php?directory_name=armamon_burstmode,"究極体
(クロスウォーズ)",武器型,フリー,54861c86e15d1c74dc542bda13231d3f830bb076aa738e4d5ec288204a519a3f,245,power:絶大:+5 ; hp:巨大:+2 ; attack:力:+6 ; attack:剣:+9 ; attack:斬:+3 ; type:TYPE_FIGHTING:剣士:profile:+2 ; type_candidate:TYPE_FIGHTING:2 ; type_placeholder:TYPE_NORMAL:low_evidence ; growth:official_stage_plus_profile_power:slow,140,212,131,131,131,131,876,TYPE_NORMAL,,unresolved_low_type_evidence,56,354,GROWTH_SLOW,medium,profile-derived-v1
14,digimon,armamon,アルマモン,https://digimon.net/reference/detail.php?directory_name=armamon,"究極体
(クロスウォーズ)",武器型,フリー,de9f6b4b6c8d57598ecbb5e1c2025ed110d4ec168140ee29859eeec8fa711cbd,313,attack:力:+6 ; attack:剣:+9 ; type:TYPE_ROCK:クリスタル:profile:+2 ; type:TYPE_ROCK:クリスタル:move:+4 ; type_choice:TYPE_ROCK:6 ; growth:official_stage_plus_profile_power:slow,122,190,122,122,122,122,800,TYPE_ROCK,,resolved_profile_evidence,84,312,GROWTH_SLOW,medium,profile-derived-v1
15,digimon,shoutmonx5s,シャウトモンX5S,https://digimon.net/reference/detail.php?directory_name=shoutmonx5s,"究極体
(クロスウォーズ)",合成型,データ,a5681b9f4e4159d27c6a148e43536bbaacd9c1d28850341500dbdf476c9e6b74,189,power:強力:+3 ; attack:力:+4 ; attack:剣:+3 ; attack:斬:+3 ; speed:飛翔:+3 ; special_attack:エネルギー:+6 ; special_attack:光:+3 ; special_attack:熱:+2 ; type:TYPE_FIRE:灼熱:profile:+2 ; type:TYPE_FIGHTING:闘士:profile:+2 ; type:TYPE_FLYING:飛翔:profile:+2 ; type_candidate:TYPE_FIGHTING:2 ; type_placeholder:TYPE_NORMAL:low_evidence ; growth:official_stage_plus_profile_power:slow,127,172,127,141,177,127,871,TYPE_NORMAL,,unresolved_low_type_evidence,67,332,GROWTH_SLOW,medium,profile-derived-v1
16,digimon,vortexdramon,ヴォルテクスドラモン,https://digimon.net/reference/detail.php?directory_name=vortexdramon,究極体,鳥竜型,データ,4b10862be312919c9805cabe6ec5b2cd26b665b12456a95b061313a043a43a4c,301,power:強大:+4 ; hp:巨大:+2 ; attack:力:+2 ; attack:剣:+3 ; attack:斬:+3 ; special_attack:エネルギー:+3 ; special_attack:魔力:+5 ; special_attack:火:+2 ; special_attack:光:+3 ; special_attack:熱:+2 ; special_defense:魔力:+2 ; type:TYPE_FIRE:灼熱:profile:+2 ; type:TYPE_WATER:海:profile:+2 ; type:TYPE_ICE:凍:profile:+2 ; type:TYPE_GROUND:大地:profile:+4 ; type:TYPE_GROUND:土:profile:+2 ; type:TYPE_FLYING:翼:profile:+2 ; type:TYPE_FLYING:鳥:profile:+2 ; type:TYPE_DRAGON:竜:profile:+4 ; type:TYPE_DRAGON:竜:official_type:+5 ; type:TYPE_FLYING:鳥:official_type:+5 ; type_choice:TYPE_DRAGON:9 ; type_choice:TYPE_FLYING:9 ; growth:official_stage_plus_profile_power:slow,138,165,129,129,197,138,896,TYPE_DRAGON,TYPE_FLYING,resolved_profile_evidence,57,350,GROWTH_SLOW,high,profile-derived-v1
17,digimon,shoutmonx4s,シャウトモンX4S,https://digimon.net/reference/detail.php?directory_name=shoutmonx4s,"完全体
(クロスウォーズ)",合成型,データ,55dc138473ebdc7522b9e5b58cbb19c0055bfa06a9031656a0279ebf5cabd34e,189,attack:剣:+3 ; attack:斬:+3 ; type:TYPE_FIGHTING:闘士:profile:+2 ; type_candidate:TYPE_FIGHTING:2 ; type_placeholder:TYPE_NORMAL:low_evidence ; growth:official_stage_plus_profile_power:medium_slow,100,127,100,100,100,100,627,TYPE_NORMAL,,unresolved_low_type_evidence,129,239,GROWTH_MEDIUM_SLOW,low,profile-derived-v1
18,digimon,shoutmonx3sd,シャウトモンX3SD,https://digimon.net/reference/detail.php?directory_name=shoutmonx3sd,"完全体
(クロスウォーズ)",戦士型,データ,a1fb7b12b5f412f1bc7162d3e50ed81eaeba744fbcac35de581bc5edfa169714,166,power:強力:+3 ; power:神:+3 ; hp:巨大:+2 ; attack:力:+2 ; attack:槍:+6 ; speed:高速:+5 ; type:TYPE_FIGHTING:戦士:official_type:+4 ; type_candidate:TYPE_FIGHTING:4 ; type_placeholder:TYPE_NORMAL:low_evidence ; growth:official_stage_plus_profile_power:medium_slow,120,147,111,133,111,111,733,TYPE_NORMAL,,unresolved_low_type_evidence,94,291,GROWTH_MEDIUM_SLOW,medium,profile-derived-v1
19,digimon,shoutmonx3gm,シャウトモンX3GM,https://digimon.net/reference/detail.php?directory_name=shoutmonx3gm,"完全体
(クロスウォーズ)",翼竜型,データ,4ffbd5be6f226c52e487b4a3df47034ca2d309c63e5d41f1fb8eaa8a8fbca7f1,211,attack:斬:+3 ; attack:突進:+3 ; special_attack:エネルギー:+6 ; special_attack:炎:+3 ; special_attack:雷:+3 ; special_attack:光:+3 ; special_attack:熱:+4 ; type:TYPE_FIRE:炎:profile:+2 ; type:TYPE_ELECTRIC:雷:profile:+2 ; type:TYPE_FLYING:翼:profile:+6 ; type:TYPE_DRAGON:竜:profile:+2 ; type:TYPE_DRAGON:竜:official_type:+5 ; type_choice:TYPE_DRAGON:7 ; type_choice:TYPE_FLYING:6 ; growth:official_stage_plus_profile_power:medium_slow,100,127,100,100,186,100,713,TYPE_DRAGON,TYPE_FLYING,resolved_profile_evidence,101,288,GROWTH_MEDIUM_SLOW,high,profile-derived-v1
20,digimon,azhdarmon,アズダルモン,https://digimon.net/reference/detail.php?directory_name=azhdarmon,完全体,翼竜型,ウィルス,e79f16f3f680f2d354884519a32bb3b3cb22d2d2c16f65f2b7bdd8581dc7b288,360,power:超高:+3 ; hp:巨大:+2 ; attack:力:+2 ; special_attack:エネルギー:+3 ; special_attack:雷:+3 ; type:TYPE_ELECTRIC:雷:profile:+2 ; type:TYPE_ELECTRIC:ライトニング:profile:+2 ; type:TYPE_ELECTRIC:ライトニング:move:+4 ; type:TYPE_FLYING:翼:profile:+6 ; type:TYPE_DRAGON:竜:profile:+2 ; type:TYPE_DRAGON:竜:official_type:+5 ; type_choice:TYPE_ELECTRIC:8 ; type_choice:TYPE_DRAGON:7 ; growth:official_stage_plus_profile_power:medium_slow,114,114,105,105,132,105,675,TYPE_ELECTRIC,TYPE_DRAGON,resolved_profile_evidence,114,261,GROWTH_MEDIUM_SLOW,high,profile-derived-v1
21,digimon,tengumon,テングモン,https://digimon.net/reference/detail.php?directory_name=tengumon,究極体,鳥人型,ウィルス,2307bfcb62f51154ee88bc36fbd867f4842f7ee88aa23d19fc5204192d2a3ae3,304,attack:力:+6 ; attack:斬:+9 ; type:TYPE_ROCK:岩:profile:+2 ; type:TYPE_DRAGON:竜:profile:+2 ; type:TYPE_FLYING:鳥:official_type:+5 ; type_choice:TYPE_FLYING:5 ; growth:official_stage_plus_profile_power:slow,122,190,122,122,122,122,800,TYPE_FLYING,,resolved_profile_evidence,84,312,GROWTH_SLOW,medium,profile-derived-v1
22,digimon,amaterasumon,アマテラスモン,https://digimon.net/reference/detail.php?directory_name=amaterasumon,究極体,神人型,ワクチン,ce9567d7c57e0ffa4da4840e288b791671ad2f222d4d293c271c5742ba15b64e,299,attack:力:+2 ; attack:剣:+3 ; attack:刀:+3 ; special_attack:光:+3 ; type:TYPE_ROCK:岩:profile:+2 ; type:TYPE_GHOST:魂:profile:+2 ; type:TYPE_GHOST:魂:move:+4 ; type:TYPE_FAIRY:神人:official_type:+3 ; type:TYPE_FIGHTING:神人:official_type:+2 ; type_choice:TYPE_GHOST:6 ; growth:official_stage_plus_profile_power:slow,122,158,122,122,136,122,782,TYPE_GHOST,,resolved_profile_evidence,94,293,GROWTH_SLOW,medium,profile-derived-v1
23,digimon,enmamon,エンマモン,https://digimon.net/reference/detail.php?directory_name=enmamon,究極体,魔王型,ウィルス,07e1fdd64e14810a32e0c025aed26a5525158b21b769ea35c8f2fbebff3fe81a,362,power:王:+4 ; hp:巨大:+2 ; attack:拳:+3 ; special_attack:火:+2 ; type:TYPE_FIGHTING:拳:profile:+2 ; type:TYPE_GHOST:魂:profile:+2 ; type:TYPE_DARK:魔王:profile:+2 ; type:TYPE_DARK:魔王:official_type:+6 ; type_choice:TYPE_DARK:8 ; growth:official_stage_plus_profile_power:slow,138,143,129,129,138,129,806,TYPE_DARK,,resolved_profile_evidence,85,303,GROWTH_SLOW,medium,profile-derived-v1
24,digimon,seitengokuwmon,セイテンゴクウモン,https://digimon.net/reference/detail.php?directory_name=seitengokuwmon,究極体,如来型,ウィルス,3f7b08920c8b3ae82acfc8a2a283492132aa3454443ef19764946ba2a4fc818f,616,power:最強:+8 ; power:強大:+4 ; power:神:+9 ; attack:力:+6 ; attack:叩:+2 ; special_attack:炎:+9 ; special_attack:火:+6 ; special_attack:雷:+9 ; special_attack:光:+3 ; special_defense:精神:+4 ; special_defense:聖:+4 ; special_defense:守護:+4 ; type:TYPE_FIRE:炎:profile:+6 ; type:TYPE_FIRE:炎:move:+4 ; type:TYPE_ELECTRIC:雷:profile:+6 ; type:TYPE_ELECTRIC:雷:move:+4 ; type:TYPE_PSYCHIC:精神:profile:+2 ; type:TYPE_FAIRY:聖:profile:+2 ; type:TYPE_FAIRY:聖:move:+4 ; type_choice:TYPE_ELECTRIC:10 ; type_choice:TYPE_FIRE:10 ; growth:official_stage_plus_profile_power:slow,160,196,160,160,255,214,1145,TYPE_ELECTRIC,TYPE_FIRE,resolved_profile_evidence,3,483,GROWTH_SLOW,high,profile-derived-v1
25,digimon,exmaquinamon,エクスマキナモン,https://digimon.net/reference/detail.php?directory_name=exmaquinamon,究極体,特異型,データ,adafb5b783e4bb05f9b6728225fe207d4c75e154917bc910b5b6c09b938837c8,220,attack:力:+2 ; special_attack:データ:+6 ; special_attack:爆発:+3 ; type:TYPE_STEEL:機械:profile:+2 ; type_candidate:TYPE_STEEL:2 ; type_placeholder:TYPE_NORMAL:low_evidence ; growth:official_stage_plus_profile_power:slow,122,131,122,122,162,122,781,TYPE_NORMAL,,unresolved_low_type_evidence,93,295,GROWTH_SLOW,medium,profile-derived-v1
26,digimon,dalphomon,ダルフォモン,https://digimon.net/reference/detail.php?directory_name=dalphomon,究極体,獣型,ウィルス,5b83e80fa34a1eb0df0aa01eec971266654fa4c55a9ec42c1f959d8667796969,423,power:究極:+5 ; power:超高:+3 ; hp:巨体:+3 ; attack:破壊:+4 ; special_attack:光:+3 ; special_attack:データ:+4 ; special_defense:聖:+2 ; type:TYPE_FLYING:翼:profile:+2 ; type:TYPE_ROCK:石:profile:+2 ; type:TYPE_ROCK:宝石:profile:+2 ; type:TYPE_DARK:ダーク:profile:+2 ; type:TYPE_STEEL:マシーン:profile:+2 ; type:TYPE_STEEL:サイボーグ:profile:+2 ; type:TYPE_FAIRY:天使:profile:+4 ; type:TYPE_FAIRY:聖:profile:+2 ; type:TYPE_NORMAL:獣型:official_type:+4 ; type_choice:TYPE_FAIRY:6 ; growth:official_stage_plus_profile_power:slow,150,154,136,136,168,145,889,TYPE_FAIRY,,resolved_profile_evidence,57,345,GROWTH_SLOW,high,profile-derived-v1
27,digimon,shishimamon,シシマモン,https://digimon.net/reference/detail.php?directory_name=shishimamon,完全体,聖獣型,ワクチン,0c784c950c22fe177f7354c5c04dd30a8c9a66c64bb4147873e67d8b09188e80,264,power:究極:+5 ; power:神:+3 ; hp:巨大:+2 ; attack:力:+6 ; attack:爪:+9 ; attack:斬:+3 ; speed:一瞬:+3 ; special_attack:光:+9 ; special_attack:闇:+9 ; special_defense:吸収:+12 ; special_defense:聖:+4 ; type:TYPE_DARK:闇:profile:+6 ; type:TYPE_DARK:邪悪:profile:+4 ; type:TYPE_FAIRY:聖なる:profile:+2 ; type:TYPE_FAIRY:聖:profile:+4 ; type:TYPE_FAIRY:聖:official_type:+3 ; type:TYPE_NORMAL:獣型:official_type:+4 ; type:TYPE_FAIRY:聖獣:official_type:+4 ; type:TYPE_NORMAL:聖獣:official_type:+2 ; type_choice:TYPE_FAIRY:13 ; type_choice:TYPE_DARK:10 ; growth:official_stage_plus_profile_power:medium_slow,123,195,114,128,195,186,941,TYPE_FAIRY,TYPE_DARK,resolved_profile_evidence,41,371,GROWTH_MEDIUM_SLOW,high,profile-derived-v1
28,digimon,darumamon,ダルマモン,https://digimon.net/reference/detail.php?directory_name=darumamon,完全体,突然変異型,ワクチン,f76409a26e4244d9ec96dd8f65142dd6d19293d23afcd2ec3f6b78140203cbc3,267,special_attack:炎:+3 ; special_attack:火:+4 ; special_defense:結界:+5 ; type:TYPE_FIRE:炎:profile:+2 ; type:TYPE_NORMAL:突然変異:official_type:+3 ; type_candidate:TYPE_NORMAL:3 ; type_placeholder:TYPE_NORMAL:low_evidence ; growth:official_stage_plus_profile_power:medium_slow,100,100,100,100,132,122,654,TYPE_NORMAL,,unresolved_low_type_evidence,123,248,GROWTH_MEDIUM_SLOW,medium,profile-derived-v1
29,digimon,rhamphomon,ランフォモン,https://digimon.net/reference/detail.php?directory_name=rhamphomon,成熟期,翼竜型,ウィルス,68ba8d0d2b1926e86b51d43b6fed8614dffd8a7c63765fccc65fec2ebcdbc8f1,359,power:超高:+3 ; attack:力:+2 ; attack:叩:+2 ; speed:高速:+5 ; speed:超高速:+7 ; speed:飛翔:+9 ; speed:飛行:+2 ; type:TYPE_GROUND:地面:profile:+2 ; type:TYPE_FLYING:飛行:profile:+2 ; type:TYPE_FLYING:飛翔:profile:+6 ; type:TYPE_FLYING:翼:profile:+6 ; type:TYPE_FLYING:空中:profile:+2 ; type:TYPE_ROCK:クリスタル:profile:+6 ; type:TYPE_ROCK:クリスタル:move:+8 ; type:TYPE_DRAGON:竜:profile:+2 ; type:TYPE_DRAGON:竜:official_type:+5 ; type_choice:TYPE_FLYING:16 ; type_choice:TYPE_ROCK:14 ; growth:official_stage_plus_profile_power:medium_fast,83,101,83,187,83,83,620,TYPE_FLYING,TYPE_ROCK,resolved_profile_evidence,113,272,GROWTH_MEDIUM_FAST,high,profile-derived-v1
30,digimon,chronomon_destroy,クロノモン：デストロイモード,https://digimon.net/reference/detail.php?directory_name=chronomon_destroy,究極体,神人型,ウィルス,971a25f18ad36bb7f4373ada8bf4d2fe78c930d8cb9563bcf6b173039565df83,363,attack:力:+2 ; speed:瞬時:+4 ; speed:走:+6 ; special_attack:エネルギー:+6 ; special_attack:データ:+6 ; type:TYPE_FAIRY:神人:official_type:+3 ; type:TYPE_FIGHTING:神人:official_type:+2 ; type_candidate:TYPE_FAIRY:3 ; type_placeholder:TYPE_NORMAL:low_evidence ; growth:profile:erratic,122,131,122,167,176,122,840,TYPE_NORMAL,,unresolved_low_type_evidence,79,316,GROWTH_ERRATIC,medium,profile-derived-v1
31,digimon,chronomon_holy,クロノモン：ホーリーモード,https://digimon.net/reference/detail.php?directory_name=chronomon_holy,究極体,神人型,ワクチン,8788bfca04a2c49cfe84894c37ae6a5a8d08adbcec3f5bfcd74645d90fefb030,311,power:強力:+3 ; power:神:+3 ; attack:力:+2 ; attack:切断:+4 ; defense:防御:+5 ; special_attack:炎:+3 ; special_defense:聖:+2 ; type:TYPE_FIRE:炎:profile:+2 ; type:TYPE_FLYING:翼:profile:+2 ; type:TYPE_FAIRY:聖なる:profile:+2 ; type:TYPE_FAIRY:聖:profile:+2 ; type:TYPE_FAIRY:神人:official_type:+3 ; type:TYPE_FIGHTING:神人:official_type:+2 ; type_choice:TYPE_FAIRY:7 ; growth:official_stage_plus_profile_power:slow,133,160,155,133,146,142,869,TYPE_FAIRY,,resolved_profile_evidence,66,331,GROWTH_SLOW,high,profile-derived-v1
32,digimon,butenmon,ブテンモン,https://digimon.net/reference/detail.php?directory_name=butenmon,完全体,神人型,ワクチン,af3e5b5344de60e3644fbc78c2a382cb8dd874eb5d62b16ebc46a6693be50d15,227,power:神:+6 ; attack:力:+4 ; attack:剣:+9 ; defense:鎧:+4 ; speed:高速:+5 ; special_attack:光:+6 ; type:TYPE_FAIRY:神人:official_type:+3 ; type:TYPE_FIGHTING:神人:official_type:+2 ; type_candidate:TYPE_FAIRY:3 ; type_placeholder:TYPE_NORMAL:low_evidence ; growth:official_stage_plus_profile_power:medium_slow,111,169,129,133,138,111,791,TYPE_NORMAL,,unresolved_low_type_evidence,79,315,GROWTH_MEDIUM_SLOW,medium,profile-derived-v1
33,digimon,buraimon,ブライモン,https://digimon.net/reference/detail.php?directory_name=buraimon,成熟期,鳥人型,ワクチン,24b38f961809840e3e32b820074ccbc19e58cd71b9905850ad8ca858de4d2683,284,attack:剣:+9 ; attack:刀:+6 ; attack:斬:+9 ; speed:素早:+5 ; type:TYPE_FLYING:鳥:profile:+4 ; type:TYPE_FLYING:鳥:move:+4 ; type:TYPE_FLYING:鳥:official_type:+5 ; type_choice:TYPE_FLYING:13 ; growth:official_stage_plus_profile_power:medium_fast,78,186,78,100,78,78,598,TYPE_FLYING,,resolved_profile_evidence,123,258,GROWTH_MEDIUM_FAST,medium,profile-derived-v1
