dm_technique_id,emerald_runtime_move_id,name_ja,owner_count,direct_profile_mention_count,evidence_signals,type,type_status,category,power,accuracy,pp,effect,effect_argument,effect_status,target,priority,makes_contact,derivation_version
11,945,ベアダウンスピニングキック,1,1,type:TYPE_FIGHTING:キック:name:+6 ; type:TYPE_FIGHTING:キック:profile_context:+6 ; type:TYPE_FLYING:空中:profile_context:+3 ; type_choice:TYPE_FIGHTING:12 ; category_scores:physical=8:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:text_evidence ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FIGHTING,resolved_name_or_profile_context,DAMAGE_CATEGORY_PHYSICAL,143,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,true,profile-derived-v1
12,946,氷骸礫(ひょうがいれき),1,1,type:TYPE_ICE:氷:name:+6 ; type:TYPE_ICE:氷:profile_context:+6 ; type_choice:TYPE_ICE:12 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:owner_profile_stats:204.0>=199.0 ; power:必殺:profile_context:+4 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_ICE,resolved_name_or_profile_context,DAMAGE_CATEGORY_SPECIAL,157,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
13,947,轟蹄崩(ごうていほう),1,1,type:TYPE_GROUND:地面:profile_context:+3 ; type_choice:TYPE_GROUND:3 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:owner_profile_stats:204.0>=199.0 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_GROUND,resolved_name_or_profile_context,DAMAGE_CATEGORY_SPECIAL,137,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
14,948,凍烈檮牙(とうれつとうが),1,1,type:TYPE_ICE:氷:profile_context:+3 ; type:TYPE_ICE:凍:name:+6 ; type:TYPE_ICE:凍:profile_context:+3 ; type_choice:TYPE_ICE:12 ; category_scores:physical=10:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:text_evidence ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_ICE,resolved_name_or_profile_context,DAMAGE_CATEGORY_PHYSICAL,134,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,true,profile-derived-v1
15,949,トライアンギュレーションスキャン,1,1,type:TYPE_FLYING:翼:profile_context:+3 ; type_choice:TYPE_FLYING:3 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:owner_profile_stats:122.0>=118.0 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FLYING,resolved_name_or_profile_context,DAMAGE_CATEGORY_SPECIAL,92,95,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
16,950,デスペアブラスト,1,1,type:TYPE_FLYING:翼:profile_context:+3 ; type_choice:TYPE_FLYING:3 ; category_scores:physical=0:special=6:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:text_evidence ; accuracy:explicit_tracking_or_sure_hit:100 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FLYING,resolved_name_or_profile_context,DAMAGE_CATEGORY_SPECIAL,92,100,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
17,951,エリミネイトレイン,1,1,type_owner_context:TYPE_STEEL:2 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:owner_profile_stats:122.0>=118.0 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_STEEL,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_SPECIAL,92,95,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
18,952,サイレントスクリーム,1,1,type_owner_context:TYPE_STEEL:2 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:owner_profile_stats:122.0>=118.0 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_STEEL,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_SPECIAL,92,95,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
19,953,アナイアレイトエッジ,1,1,type_owner_context:TYPE_STEEL:2 ; category_scores:physical=6:special=2:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:text_evidence ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_STEEL,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_PHYSICAL,127,90,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
20,954,モナークオーディナンス,1,1,type_owner_context:TYPE_STEEL:2 ; category_scores:physical=2:special=2:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:owner_profile_stats:186.0>146.0 ; power:キャノン:profile_context:+2 ; power:一撃:profile_context:+4 ; power:最大:profile_context:+3 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_STEEL,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_PHYSICAL,172,85,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
21,955,ファイナルジャッジメント,1,1,type_owner_context:TYPE_STEEL:2 ; category_scores:physical=0:special=2:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:text_evidence ; power:ファイナル:name:+4 ; power:ファイナル:profile_context:+4 ; power:必殺:profile_context:+4 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_STEEL,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_SPECIAL,165,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
22,956,アロー・オブ・ウィスパード,1,1,type:TYPE_FIRE:炎:profile_context:+3 ; type_choice:TYPE_FIRE:3 ; category_scores:physical=0:special=2:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:text_evidence ; power:必殺:profile_context:+4 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FIRE,resolved_name_or_profile_context,DAMAGE_CATEGORY_SPECIAL,147,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
23,957,サン・オブ・ソローズ,1,1,type:TYPE_FIRE:炎:profile_context:+3 ; type_choice:TYPE_FIRE:3 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:owner_profile_stats:185.0>=122.0 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FIRE,resolved_name_or_profile_context,DAMAGE_CATEGORY_SPECIAL,127,90,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
24,958,ウォジェット,1,1,type_owner_context:TYPE_WATER:2 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:owner_profile_stats:136.0>=136.0 ; power:必殺:profile_context:+4 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_WATER,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_SPECIAL,120,95,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
25,959,ライドライト,1,1,type:TYPE_ROCK:岩:profile_context:+3 ; type_choice:TYPE_ROCK:3 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:owner_profile_stats:136.0>=136.0 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_ROCK,resolved_name_or_profile_context,DAMAGE_CATEGORY_SPECIAL,100,95,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
26,960,ソード・オブ・メテオ,1,1,type_owner_context:TYPE_FIGHTING:2 ; category_scores:physical=10:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:text_evidence ; power:必殺:profile_context:+4 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FIGHTING,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_PHYSICAL,162,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,true,profile-derived-v1
27,961,インフィニティソードレイン,1,1,type_owner_context:TYPE_FIGHTING:2 ; category_scores:physical=8:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:text_evidence ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FIGHTING,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_PHYSICAL,142,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,true,profile-derived-v1
28,962,マルクトクリスタル,1,1,type:TYPE_ROCK:クリスタル:name:+6 ; type:TYPE_ROCK:クリスタル:profile_context:+3 ; type_choice:TYPE_ROCK:9 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:owner_profile_stats:190.0>122.0 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_ROCK,resolved_name_or_profile_context,DAMAGE_CATEGORY_PHYSICAL,130,90,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
29,963,レインボーハンド,1,1,type_owner_context:TYPE_ROCK:2 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:owner_profile_stats:190.0>122.0 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_ROCK,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_PHYSICAL,130,90,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
30,964,ソードマスカレード,1,1,type_owner_context:TYPE_ROCK:2 ; category_scores:physical=10:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:text_evidence ; power:必殺:profile_context:+4 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_ROCK,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_PHYSICAL,150,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,true,profile-derived-v1
31,965,スペースチャクラム,1,1,type_owner_context:TYPE_FLYING:2 ; category_scores:physical=0:special=4:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:text_evidence ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FLYING,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_SPECIAL,122,90,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
32,966,ヘリオスラッシャー,1,1,type:TYPE_FIRE:灼熱:profile_context:+3 ; type_choice:TYPE_FIRE:3 ; category_scores:physical=4:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:text_evidence ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FIRE,resolved_name_or_profile_context,DAMAGE_CATEGORY_PHYSICAL,120,95,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
33,967,コズモビクトリー,1,1,type_owner_context:TYPE_FLYING:2 ; category_scores:physical=0:special=2:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:text_evidence ; power:必殺:profile_context:+4 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FLYING,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_SPECIAL,142,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
34,968,フローズンガスト,1,1,type:TYPE_WATER:海:profile_context:+3 ; type:TYPE_ICE:凍:profile_context:+3 ; type:TYPE_ICE:フローズン:name:+6 ; type:TYPE_ICE:フローズン:profile_context:+3 ; type_choice:TYPE_ICE:12 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:owner_profile_stats:197.0>=165.0 ; power:必殺:profile_context:+4 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_ICE,resolved_name_or_profile_context,DAMAGE_CATEGORY_SPECIAL,153,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
35,969,ブレイジングガスト,1,1,type:TYPE_FIRE:灼熱:profile_context:+3 ; type:TYPE_GROUND:大地:profile_context:+3 ; type_choice:TYPE_FIRE:3 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:owner_profile_stats:197.0>=165.0 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FIRE,resolved_name_or_profile_context,DAMAGE_CATEGORY_SPECIAL,133,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
36,970,レーヴァテイン,1,1,type_owner_context:TYPE_DRAGON:2 ; category_scores:physical=4:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:text_evidence ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_DRAGON,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_PHYSICAL,116,95,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
37,971,ブレイズファイアー,1,1,type:TYPE_FIRE:ファイア:name:+6 ; type:TYPE_FIRE:ファイア:profile_context:+3 ; type:TYPE_FIRE:ブレイズ:name:+6 ; type:TYPE_FIRE:ブレイズ:profile_context:+3 ; type_choice:TYPE_FIRE:18 ; category_scores:physical=0:special=6:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:text_evidence ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FIRE,resolved_name_or_profile_context,DAMAGE_CATEGORY_SPECIAL,80,100,20,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
38,972,クロスレッド＆ブルー,1,1,type_owner_context:TYPE_FIRE:2 ; category_scores:physical=2:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:text_evidence ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FIRE,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_PHYSICAL,95,95,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
39,973,ビクトリーブレイブ,1,1,type_owner_context:TYPE_FIRE:2 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:owner_profile_stats:127.0>100.0 ; power:必殺:profile_context:+4 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FIRE,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_PHYSICAL,115,95,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
40,974,アシッドタイフーン,1,1,type:TYPE_POISON:アシッド:name:+6 ; type:TYPE_POISON:アシッド:profile_context:+3 ; type_choice:TYPE_POISON:9 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:owner_profile_stats:147.0>111.0 ; power:強力:profile_context:+2 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_POISON,resolved_name_or_profile_context,DAMAGE_CATEGORY_PHYSICAL,116,95,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
41,975,ビリオンスタブ,1,1,type_owner_context:TYPE_FIGHTING:2 ; category_scores:physical=2:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:text_evidence ; power:必殺:profile_context:+4 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FIGHTING,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_PHYSICAL,126,90,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
42,976,ワイルドバーニング,1,1,type:TYPE_FIRE:炎:profile_context:+3 ; type:TYPE_FIRE:バーニング:name:+6 ; type:TYPE_FIRE:バーニング:profile_context:+3 ; type_choice:TYPE_FIRE:12 ; category_scores:physical=2:special=2:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:owner_profile_stats:186.0>=127.0 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FIRE,resolved_name_or_profile_context,DAMAGE_CATEGORY_SPECIAL,127,90,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
43,977,ブリリアンスダガー,1,1,type:TYPE_FLYING:翼:profile_context:+3 ; type_choice:TYPE_FLYING:3 ; category_scores:physical=2:special=2:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:owner_profile_stats:186.0>=127.0 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FLYING,resolved_name_or_profile_context,DAMAGE_CATEGORY_SPECIAL,127,90,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
44,978,ブレス・オブ・ペルーン,1,1,type:TYPE_ELECTRIC:雷:profile_context:+3 ; type_choice:TYPE_ELECTRIC:3 ; category_scores:physical=0:special=6:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:text_evidence ; power:必殺:profile_context:+4 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_ELECTRIC,resolved_name_or_profile_context,DAMAGE_CATEGORY_SPECIAL,147,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
45,979,トマホークストライク,1,1,type:TYPE_FLYING:翼:profile_context:+3 ; type_choice:TYPE_FLYING:3 ; category_scores:physical=0:special=2:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:text_evidence ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FLYING,resolved_name_or_profile_context,DAMAGE_CATEGORY_SPECIAL,98,95,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
46,980,トライカーヴレイン,1,1,type:TYPE_FLYING:翼:profile_context:+3 ; type_choice:TYPE_FLYING:3 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:owner_profile_stats:132.0>=114.0 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FLYING,resolved_name_or_profile_context,DAMAGE_CATEGORY_SPECIAL,98,95,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
47,981,トリニティライトニング,1,1,type:TYPE_ELECTRIC:雷:profile_context:+3 ; type:TYPE_ELECTRIC:ライトニング:name:+6 ; type:TYPE_ELECTRIC:ライトニング:profile_context:+3 ; type_choice:TYPE_ELECTRIC:12 ; category_scores:physical=0:special=6:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:text_evidence ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_ELECTRIC,resolved_name_or_profile_context,DAMAGE_CATEGORY_SPECIAL,98,95,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
48,982,魔縁斬蹴撃（まえんざんしゅうげき）,1,1,type_owner_context:TYPE_FLYING:2 ; category_scores:physical=8:special=6:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:text_evidence ; power:必殺:profile_context:+4 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FLYING,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_PHYSICAL,150,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,true,profile-derived-v1
49,983,尊天大烈風（そんてんだいれっぷう）,1,1,type:TYPE_ROCK:岩:profile_context:+3 ; type_exclusion:TYPE_DRAGON:竜巻:profile_context:1 ; type_choice:TYPE_ROCK:3 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:owner_profile_stats:190.0>122.0 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_ROCK,resolved_name_or_profile_context,DAMAGE_CATEGORY_PHYSICAL,130,90,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
50,984,厳之御魂（いづのみたま）,1,1,type:TYPE_GHOST:魂:name:+6 ; type:TYPE_GHOST:魂:profile_context:+3 ; type_choice:TYPE_GHOST:9 ; category_scores:physical=4:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:text_evidence ; power:必殺:profile_context:+4 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_GHOST,resolved_name_or_profile_context,DAMAGE_CATEGORY_PHYSICAL,132,90,10,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
51,985,六合照徹閃（りくごうしょうてつせん）,1,1,type_owner_context:TYPE_FAIRY:2 ; category_scores:physical=0:special=2:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:text_evidence ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FAIRY,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_SPECIAL,100,95,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
52,986,浄玻璃鏡(じょうはりのかがみ),1,1,type_owner_context:TYPE_DARK:2 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:owner_profile_stats:143.0>138.0 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_DARK,inherited_profile_derived_owner_type,DAMAGE_CATEGORY_PHYSICAL,104,95,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
53,987,閻羅王降誕（えんらおうごうたん）,1,1,type:TYPE_FIGHTING:拳:profile_context:+3 ; type_choice:TYPE_FIGHTING:3 ; category_scores:physical=0:special=0:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:physical:owner_profile_stats:143.0>138.0 ; power:必殺:profile_context:+4 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FIGHTING,resolved_name_or_profile_context,DAMAGE_CATEGORY_PHYSICAL,124,90,15,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
54,988,火眼金睛（かがんきんせい）,1,1,type:TYPE_FIRE:炎:profile_context:+3 ; type_choice:TYPE_FIRE:3 ; category_scores:physical=0:special=2:status=0 ; status_evidence:name=0:context=0:strong=0 ; category:special:text_evidence ; power:必殺:profile_context:+4 ; effect:hit ; owners:1 ; direct_profile_mentions:1,TYPE_FIRE,resolved_name_or_profile_context,DAMAGE_CATEGORY_SPECIAL,185,85,5,EFFECT_HIT,,resolved_damage_core_only,TARGET_SELECTED,0,false,profile-derived-v1
