kind,id,source_id,name_ja,unicode_codepoints,current_limit,over_limit
species,53,"craniummon_enbarrmon","クレニアムモン+アンヴァルモン",15,12,true
species,54,"enbarrmon","アンヴァルモン",7,12,false
species,55,"metatromon","メタトロモン",6,12,false
species,56,"greatgryzmon","グレートグリズモン",9,12,false
species,57,"titamon_skullbaluchimon","タイタモン+スカルバルキモン",14,12,true
species,58,"cougarmon","クーガモン",5,12,false
species,59,"masterblimpmon","マスターブリンプモン",10,12,false
species,60,"hyemon","ハイエモン",5,12,false
species,61,"murasamemon","ムラサメモン",6,12,false
species,62,"wolvermon","ウルヴァモン",6,12,false
species,63,"chiropmon","キロプモン",5,12,false
species,64,"pristimon","プリスティモン",7,12,false
species,65,"dullahamon","デュラハモン",6,12,false
species,66,"gekkomon","ゲッコーモン",6,12,false
species,67,"kekkomon","ケッコモン",5,12,false
species,68,"kekomon","ケコモン",4,12,false
species,69,"magneticdramon","マグネティックドラモン",11,12,false
species,70,"maneuvermon","マニューバモン",7,12,false
species,71,"turbomon","ターボモン",5,12,false
species,72,"nyabootmon","ニャブートモン",7,12,false
species,73,"yihumon","イーフーモン",6,12,false
species,74,"ariemon","アリエモン",5,12,false
species,75,"skullseadramon","スカルシードラモン",9,12,false
species,76,"sharkmon","シャークモン",6,12,false
species,77,"kaguyamon","カグヤモン",5,12,false
species,78,"karakurumon","カラクルモン",6,12,false
species,79,"kokeshimon","コケシモン",5,12,false
species,80,"hanimon","ハニモン",4,12,false
species,81,"mockingbirdmon","モッキンバーモン",8,12,false
species,82,"mulemon","ミュールモン",6,12,false
species,83,"maquinamon","マキナモン",5,12,false
species,84,"nazhamon_crimson","ナタモン：クリムゾンモード",13,12,true
species,85,"shagaramon","シャガラモン",6,12,false
species,86,"medusamon","メデューサモン",7,12,false
species,87,"lamiamon","ラミアモン",5,12,false
species,88,"necromon","ネクロモン",5,12,false
species,89,"jougamon","ジョウガモン",6,12,false
species,90,"pyramidimon","ピラミディモン",7,12,false
species,91,"proganomon","プロガノモン",6,12,false
species,92,"landramon","ランドラモン",6,12,false
species,93,"invisimon","インビジモン",6,12,false
species,94,"oblivimon","オブリビモン",6,12,false
species,95,"dimetromon","ディメトロモン",7,12,false
species,96,"ryugumon","リュウグウモン",7,12,false
species,97,"cerunumon","ケルヌモン",5,12,false
species,98,"marinbullmon","マリンブルモン",7,12,false
species,99,"elizamon","エリザモン",5,12,false
species,100,"nezhamon","ナタモン",4,12,false
species,101,"dinomon","ダイナモン",5,12,false
species,102,"skadimon","スカーディモン",7,12,false
species,103,"polarbearmon","ポーラーベアモン",8,12,false
species,104,"erlangmon_blast","イーランモン：ブラストモード",14,12,true
species,105,"queenbeemon","クイーンビーモン",8,12,false
species,106,"vespamon","ヴェスパモン",6,12,false
species,107,"forgebeemon","フォージビーモン",8,12,false
species,108,"heavymetaldramon","ヘヴィーメタルドラモン",11,12,false
species,109,"loudmon","ラウドモン",5,12,false
species,110,"punkmon","パンクモン",5,12,false
species,111,"takutoumon_wrath","タクトウモン：ラースモード",13,12,true
species,112,"erlangmon","イーランモン",6,12,false
species,113,"cendrillmon","サンドリモン",6,12,false
species,114,"chaperomon","シャペロモン",6,12,false
species,115,"zephagamon","ゼファーガモン",7,12,false
species,116,"grandgalemon","グランゲイルモン",8,12,false
species,117,"fluffymon","フラフィモン",6,12,false
species,118,"yolkmon","ヨークモン",5,12,false
species,119,"callismon","カリスモン",5,12,false
species,120,"tlalocmon","トラロックモン",7,12,false
species,121,"shoeshoemon","シューシューモン",8,12,false
species,122,"shoemon","シューモン",5,12,false
species,123,"galemon","ゲイルモン",5,12,false
species,124,"pteromon","プテロモン",5,12,false
species,125,"takutoumon","タクトウモン",6,12,false
species,126,"fenriloogamon_takemikazuchi","フェンリルガモン：建御雷神(タケミカヅチ)",21,12,true
species,127,"bigukkomon","ビッグウッコモン",8,12,false
species,128,"ukkomon","ウッコモン",5,12,false
species,129,"dijiangmon","ディージャンモン",8,12,false
species,130,"xingtianmon","シンテンモン",6,12,false
species,131,"lianpumon","リェンフーモン",7,12,false
species,132,"dominimon","ドミニモン",5,12,false
species,133,"arkhaiangemon","アルケーエンジェモン",10,12,false
species,134,"luxmon","ルクスモン",5,12,false
species,135,"huanglongmon_ruin","ファンロンモン：ルインモード",14,12,true
species,136,"moonmon","ムンモン",4,12,false
species,137,"sunmon","サンモン",4,12,false
species,138,"brigadramon","ブリガードラモン",8,12,false
species,139,"hi-commandramon","ハイコマンドラモン",9,12,false
species,140,"fenriloogamon","フェンリルガモン",8,12,false
species,141,"helloogarmon","ヘルガルモン",6,12,false
species,142,"soloogarmon","ソルガルモン",6,12,false
species,143,"cargodramon","カーゴドラモン",7,12,false
species,144,"loogarmon","ルガルモン",5,12,false
species,145,"bowmon","バウモン",4,12,false
species,146,"fusamon","フサモン",4,12,false
species,147,"quantumon","クオンタモン",6,12,false
species,148,"loogamon","ルガモン",4,12,false
species,149,"proximamon","プロキシマモン",7,12,false
species,150,"arcturusmon","アルクトゥルスモン",9,12,false
species,151,"greyknightsmon","グレイナイツモン",8,12,false
species,152,"zanmetsumon","ザンメツモン",6,12,false
species,153,"bombermon","ボマーモン",5,12,false
species,154,"ghilliedhumon","ギリードゥモン",7,12,false
species,155,"fumamon","フウマモン",5,12,false
species,156,"cthyllamon","クティーラモン",7,12,false
species,157,"regulusmon","レグルスモン",6,12,false
species,158,"ragnamon","ラグナモン",5,12,false
species,159,"destromon","デストロモン",6,12,false
species,160,"snatchmon","スナッチモン",6,12,false
species,161,"bemmon","ベムモン",4,12,false
species,162,"baalmon_x","バアルモン（X抗体）",10,12,false
species,163,"amphimon","アンフィモン",6,12,false
species,164,"diarbbitmon","ディルビットモン",8,12,false
species,165,"siriusmon","シリウスモン",6,12,false
species,166,"shinegreymon_ruin","シャイングレイモン： ルインモード",17,12,true
species,167,"chamblemon","シャンブルモン",7,12,false
species,168,"publimon","パブリモン",5,12,false
species,169,"oleamon","オウリアモン",6,12,false
species,170,"huankunmon","ファンクンモン",7,12,false
species,171,"xiangpengmon","シャンポンモン",7,12,false
species,172,"xiquemon","シーチューモン",7,12,false
species,173,"imperialdramonfightermode_vi","インペリアルドラモン：ファイターモード（黒）",22,12,true
species,174,"greymon_blue_x","グレイモン（青）（X抗体）",13,12,true
species,175,"oboromon","オボロモン",5,12,false
species,176,"gyukimon","ギュウキモン",6,12,false
species,177,"shinmonzaemon","しんもんざえモン",8,12,false
species,178,"hoverespimon","ホバーエスピモン",8,12,false
species,179,"espimon","エスピモン",5,12,false
species,180,"jupitermmon_wrath","ユピテルモン：ラースモード",13,12,true
species,181,"plutomon","プルートモン",6,12,false
species,182,"ceresmon","ケレスモン",5,12,false
species,183,"bacchusmon","バッカスモン",6,12,false
species,184,"junomon_hysteric","ユノモン：ヒステリックモード",14,12,true
species,185,"junomon","ユノモン",4,12,false
species,186,"thetismon","テティスモン",6,12,false
species,187,"lamortmon","ラモールモン",6,12,false
species,188,"canoweissmon","カノーヴァイスモン",9,12,false
species,189,"sistermon_ciel_Awake","シスタモン シエル（覚醒）",13,12,true
species,190,"sistermon_noir_Awake","シスタモン ノワール（覚醒）",14,12,true
species,191,"sistermon_blanc_Awake","シスタモン ブラン（覚醒）",13,12,true
species,192,"gulusgammamon","グルスガンマモン",8,12,false
species,193,"teslajellymon","テスラジェリーモン",9,12,false
species,194,"symbareangoramon","ジンバーアンゴラモン",10,12,false
species,195,"blacktailmon_uver","ブラックテイルモン Uver.",15,12,true
species,196,"weddinmon","ウェディンモン",7,12,false
species,197,"shortmon","ショートモン",6,12,false
species,198,"blackrapidmon","ブラックラピッドモン",10,12,false
species,199,"blackgalgomon","ブラックガルゴモン",9,12,false
species,200,"omegamonzwart_d","オメガモンズワルトDEFEAT",15,12,true
species,201,"wezengammamon","ウェズンガンマモン",9,12,false
species,202,"kausgammamon","カウスガンマモン",8,12,false
species,203,"betelgammamon","ベテルガンマモン",8,12,false
species,204,"abbadomoncore","アバドモンコア",7,12,false
species,205,"luminamon_nene","ルミナモン（ネネVer.）",13,12,true
species,206,"shoutmonx7_superior","シャウトモンX7：スペリオルモード",17,12,true
species,207,"jellymon","ジェリーモン",6,12,false
species,208,"puyoyomon","プヨヨモン",5,12,false
species,209,"puyomon","プヨモン",4,12,false
species,210,"angoramon","アンゴラモン",6,12,false
species,211,"bosamon","ボサモン",4,12,false
species,212,"pyonmon","ピョンモン",5,12,false
species,213,"gammamon","ガンマモン",5,12,false
species,214,"gurimon","グリモン",4,12,false
species,215,"curimon","クリモン",4,12,false
species,216,"abbadomon","アバドモン",5,12,false
species,217,"negamon","ネガーモン",5,12,false
species,218,"pilevolcamon","パイルボルケーモン",9,12,false
species,219,"raidenmon","ライデンモン",6,12,false
species,220,"raijinmon","ライジンモン",6,12,false
species,221,"dokunemon","ドクネモン",5,12,false
species,222,"modokibetamon","モドキベタモン",7,12,false
species,223,"hydramon","ヒュドラモン",6,12,false
species,224,"bloomlordmon","ブルムロードモン",8,12,false
species,225,"ajatarmon","アヤタラモン",6,12,false
species,226,"gardromon_gold","ガードロモン（金）",9,12,false
species,227,"burgamon_lv4","バーガモン",5,12,false
species,228,"pidmon","ピッドモン",5,12,false
species,229,"sandyammamon","サンドヤンマモン",8,12,false
species,230,"yammamon","ヤンマモン",5,12,false
species,231,"morishellmon","モリシェルモン",7,12,false
species,232,"bombernanimon","ボンバーナニモン",8,12,false
species,233,"heraklekabuterimon_x","ヘラクルカブテリモン（X抗体）",15,12,true
species,234,"starmon_x","スターモン（X抗体）",10,12,false
species,235,"growmon_x","グラウモン（X抗体）",10,12,false
species,236,"hagurumon_x","ハグルモン（X抗体）",10,12,false
species,237,"gaioumon_itto","ガイオウモン：厳刀ノ型",11,12,false
species,238,"brachiomon","ブラキモン",5,12,false
species,239,"kyukimon","キュウキモン",6,12,false
species,240,"vermillimon","ヴァーミリモン",7,12,false
species,241,"assaultmon","アサルトモン",6,12,false
species,242,"tekkamon","テッカモン",5,12,false
species,243,"vulturemon","バルチャモン",6,12,false
species,244,"goromon","ゴロモン",4,12,false
species,245,"sunamon","スナモン",4,12,false
species,246,"burpmon","ば～ぷモン",5,12,false
species,247,"blackkingnumemon","ブラックキングヌメモン",11,12,false
species,248,"goldnumemon","ゴールドヌメモン",8,12,false
species,249,"culumon","クルモン",4,12,false
species,250,"gladimon","グラディモン",6,12,false
species,251,"shoutmonx4k","シャウトモンX4K",9,12,false
species,252,"kodokugumon","コドクグモン",6,12,false
species,253,"yoxtuyoxtumon","ヨッ！ヨッ！モン",8,12,false
species,254,"minidekachimon","ミニデカチモン",7,12,false
species,255,"atamadekachimon","アタマデカチモン",8,12,false
species,256,"trailmon","トレイルモン",6,12,false
species,257,"greatkingscumon","スカモン大王",6,12,false
species,258,"shroudmon","シュラウドモン",7,12,false
species,259,"frosvelgrmon","フロスベルグモン",8,12,false
species,260,"frozomon","フロゾモン",5,12,false
species,261,"hiyarimon","ヒヤリモン",5,12,false
species,262,"blackseraphimon","ブラックセラフィモン",10,12,false
species,263,"rareraremon","レアレアモン",6,12,false
species,264,"climbmon","クライモン",5,12,false
species,265,"divemon","ダイブモン",5,12,false
species,266,"clearagumon","クリアアグモン",7,12,false
species,267,"bancholilimon","バンチョーリリモン",9,12,false
species,268,"metalgreymon_va_x","メタルグレイモン（ワクチン種）（Ｘ抗体）",20,12,true
species,269,"panjyamon_x","パンジャモン（Ｘ抗体）",11,12,false
species,270,"metalmamemon_x","メタルマメモン（Ｘ抗体）",12,12,false
species,271,"thunderballmon_x","サンダーボールモン（Ｘ抗体）",14,12,true
species,272,"monochromon_x","モノクロモン（Ｘ抗体）",11,12,false
species,273,"dobermon_x","ドーベルモン（Ｘ抗体）",11,12,false
species,274,"gesomon_x","ゲソモン（Ｘ抗体）",9,12,false
species,275,"gottsumon_x","ゴツモン（Ｘ抗体）",9,12,false
species,276,"ganimon_x","ガニモン（Ｘ抗体）",9,12,false
species,277,"guilmon_x","ギルモン（Ｘ抗体）",9,12,false
species,278,"shoutmon_ex6","シャウトモンEX6",9,12,false
species,279,"torikaraballmon","とりからボールモン",9,12,false
species,280,"burgamon","バーガモン",5,12,false
species,281,"potamon","ポテモン",4,12,false
species,282,"achillesmon","アキレウスモン",7,12,false
species,283,"shivamon","シーヴァモン",6,12,false
species,284,"kazuchimon","カヅチモン",5,12,false
species,285,"pistmon","ピストモン",5,12,false
species,286,"tempomon","テンポモン",5,12,false
species,287,"shootmon","シュートモン",6,12,false
species,288,"boutmon","バウトモン",5,12,false
species,289,"mitamamon","ミタマモン",5,12,false
species,290,"lovelyangemon","ラブリーエンジェモン",10,12,false
species,291,"bibimon","ビビモン",4,12,false
species,292,"dokimon","ドキモン",4,12,false
species,293,"namakemon","ナマケモン",5,12,false
species,294,"runnermon","ランナモン",5,12,false
species,295,"exermon","エキサモン",5,12,false
species,296,"bulkmon","バルクモン",5,12,false
species,297,"komondomon","コモンドモン",6,12,false
species,298,"pulsemon","パルスモン",5,12,false
species,299,"omegamon_merciful","オメガモン：マーシフルモード",14,12,true
species,300,"donedevimon","ダンデビモン",6,12,false
species,301,"waregarurumon_sagittarius","ワーガルルモン：サジタリウスモード",17,12,true
species,302,"imperialdramon_dragon_black","インペリアルドラモン：ドラゴンモード(黒)",21,12,true
species,303,"manticoremon","マンティコアモン",8,12,false
species,304,"mimicmon","ミミックモン",6,12,false
species,305,"baluchimon","バルキモン",5,12,false
species,306,"darkmaildramon","ダークメイルドラモン",10,12,false
species,307,"metalgreymon_alter","メタルグレイモン：アルタラウスモード",18,12,true
species,308,"rebellimon","リベリモン",5,12,false
species,309,"machmon","マッハモン",5,12,false
species,310,"junkmon","ジャンクモン",6,12,false
species,311,"heavyleomon","ヘヴィーレオモン",8,12,false
species,312,"hopmon","ホップモン",5,12,false
species,313,"ketomon","ケトモン",4,12,false
species,314,"nidhoggmon","ニーズヘッグモン",8,12,false
species,315,"entmon","エントモン",5,12,false
species,316,"parasaurmon","パラサウモン",6,12,false
species,317,"toropiamon","トロピアモン",6,12,false
species,318,"pomumon","ポームモン",5,12,false
species,319,"eyesmon_scatter","アイズモン：スキャッターモード",15,12,true
species,320,"eyesmon","アイズモン",5,12,false
species,321,"betamon_x","ベタモン（X抗体）",9,12,false
species,322,"gazimon_x","ガジモン（X抗体）",9,12,false
species,323,"algomon_lv1","アルゴモン",5,12,false
species,324,"ghostmon","ゴースモン",5,12,false
species,325,"regalecusmon","レガレクスモン",7,12,false
species,326,"piranimon","ピラニモン",5,12,false
species,327,"gusokumon","グソクモン",5,12,false
species,328,"marinchimairamon","マリンキメラモン",8,12,false
species,329,"tobiumon","トビウモン",5,12,false
species,330,"sangomon","サンゴモン",5,12,false
species,331,"gogmamon","ゴグマモン",5,12,false
species,332,"baboongamon","バブンガモン",6,12,false
species,333,"sunarizamon","スナリザモン",6,12,false
species,334,"jewelbeemon","ジュエルビーモン",8,12,false
species,335,"hudiemon","フーディエモン",7,12,false
species,336,"arresterdramon_superior","アレスタードラモン：スペリオルモード",18,12,true
species,337,"garurumon_x","ガルルモン（X抗体）",10,12,false
species,338,"greymon_x","グレイモン（X抗体）",10,12,false
species,339,"algomon_lv4","アルゴモン",5,12,false
species,340,"algomon_lv3","アルゴモン",5,12,false
species,341,"algomon_lv2","アルゴモン",5,12,false
species,342,"spadamon","スパーダモン",6,12,false
species,343,"morphomon","モルフォモン",6,12,false
species,344,"eosmon_lv6","エオスモン",5,12,false
species,345,"gabumon_kizuna","ガブモン -友情の絆-",11,12,false
species,346,"agumon_kizuna","アグモン -勇気の絆-",11,12,false
species,347,"eosmon_lv5","エオスモン",5,12,false
species,348,"eosmon_lv4","エオスモン",5,12,false
species,349,"tonosamamamemon","トノサママメモン",8,12,false
species,350,"omegamon_zwart","オメガモン ズワルト",10,12,false
species,351,"terriermon_assistant","テリアモン助手",7,12,false
species,352,"cryspaledramon","クリスペイルドラモン",10,12,false
species,353,"metallicdramon","メタリックドラモン",9,12,false
species,354,"jazarichmon","ジャザリッヒモン",8,12,false
species,355,"jazardmon","ジャザードモン",7,12,false
species,356,"jazamon","ジャザモン",5,12,false
species,357,"hexeblaumon","ヘクセブラウモン",8,12,false
species,358,"paledramon","ペイルドラモン",7,12,false
species,359,"noblepumpmon","ノーブルパンプモン",9,12,false
species,360,"ogudomon_x","オグドモン（X抗体）",10,12,false
species,361,"jesmongx","ジエスモンGX",7,12,false
species,362,"keramon_x","ケラモン（X抗体）",9,12,false
species,363,"omegashoutmon_x","オメガシャウトモン（X抗体）",14,12,true
species,364,"meramon_x","メラモン（X抗体）",9,12,false
species,365,"pegasmon_x","ペガスモン（X抗体）",10,12,false
species,366,"rapidmon_x","ラピッドモン（X抗体）",11,12,false
species,367,"monzaemon_x","もんざえモン（X抗体）",11,12,false
species,368,"gankoomon_x","ガンクゥモン（X抗体）",11,12,false
species,369,"examon_x","エグザモン（X抗体）",10,12,false
species,370,"cyberdramon_x","サイバードラモン（X抗体）",13,12,true
species,371,"rizegreymon_x","ライズグレイモン（X抗体）",13,12,true
species,372,"hououmon_x","ホウオウモン（X抗体）",11,12,false
species,373,"justimon_x","ジャスティモン（X抗体）",12,12,false
species,374,"wizarmon_x","ウィザーモン（X抗体）",11,12,false
species,375,"siesamon_x","シーサモン（X抗体）",10,12,false
species,376,"cherubimon_x","ケルビモン（善）（X抗体）",13,12,true
species,377,"ofanimon_x","オファニモン（X抗体）",11,12,false
species,378,"angewomon_x","エンジェウーモン（X抗体）",13,12,true
species,379,"diablomon_x","ディアボロモン（Ｘ抗体）",12,12,false
species,380,"dynasmon_x","デュナスモン（X抗体）",11,12,false
species,381,"duftmon_x","ドゥフトモン（X抗体）",11,12,false
species,382,"holydramon_x","ホーリードラモン（X抗体）",13,12,true
species,383,"plesiomon_x","プレシオモン（X抗体）",11,12,false
species,384,"goddramon_x","ゴッドドラモン（X抗体）",12,12,false
species,385,"garudamon_x","ガルダモン（X抗体）",10,12,false
species,386,"tailmon_x","テイルモン（X抗体）",10,12,false
species,387,"togemon_x","トゲモン（X抗体）",9,12,false
species,388,"tylomon_x","ティロモン（X抗体）",10,12,false
species,389,"lopmon_x","ロップモン（X抗体）",10,12,false
species,390,"shakomon_x","シャコモン（X抗体）",10,12,false
species,391,"terriermon_x","テリアモン（X抗体）",10,12,false
species,392,"palmon_x","パルモン（X抗体）",9,12,false
species,393,"pteranomon_x","プテラノモン（X抗体）",11,12,false
species,394,"mamemon_x","マメモン（X抗体）",9,12,false
species,395,"ebemon_x","イーバモン（X抗体）",10,12,false
species,396,"sleipmon_x","スレイプモン（X抗体）",11,12,false
species,397,"craniummon_x","クレニアムモン（X抗体）",12,12,false
species,398,"ulforcevdramon_x","アルフォースブイドラモン（X抗体）",17,12,true
species,399,"magnamon_x","マグナモン（X抗体）",10,12,false
species,400,"megaseadramon_x","メガシードラモン（X抗体）",13,12,true
species,401,"triceramon_x","トリケラモン（X抗体）",11,12,false
species,402,"okuwamon_x","オオクワモン（X抗体）",11,12,false
species,403,"mantaraymon_x","マンタレイモン（X抗体）",12,12,false
species,404,"nefertimon_x","ネフェルティモン（X抗体）",13,12,true
species,405,"seadramon_x","シードラモン（X抗体）",11,12,false
species,406,"kuwagamon_x","クワガーモン（X抗体）",11,12,false
species,407,"allomon_x","アロモン（X抗体）",9,12,false
species,408,"gomamon_x","ゴマモン（X抗体）",9,12,false
species,409,"kokuwamon_x","コクワモン（X抗体）",10,12,false
species,410,"blackwargreymon_x","ブラックウォーグレイモン（X抗体）",17,12,true
species,411,"ladydevimon_x","レディーデビモン（Ｘ抗体）",13,12,true
species,412,"metalgreymon_vi_x","メタルグレイモン（ウィルス種）（Ｘ抗体）",20,12,true
species,413,"orgemon_x","オーガモン（Ｘ抗体）",10,12,false
species,414,"agumon_b_x","アグモン（黒）（Ｘ抗体）",12,12,false
species,415,"rasenmon","ラセンモン",5,12,false
species,416,"rasenmon_f","ラセンモン：激昂モード",11,12,false
species,417,"stiffilmon","スティフィルモン",8,12,false
species,418,"filmon","フィルモン",5,12,false
species,419,"rosemon_x","ロゼモン（X抗体）",9,12,false
species,420,"princemamemon_x","プリンスマメモン（X抗体）",13,12,true
species,421,"skullmammon_x","スカルマンモン（X抗体）",12,12,false
species,422,"mammon_x","マンモン（X抗体）",9,12,false
species,423,"mephismon_x","メフィスモン（Ｘ抗体）",11,12,false
species,424,"vamdemon_x","ヴァンデモン（X抗体）",11,12,false
species,425,"plotmon_x","プロットモン（X抗体）",11,12,false
species,426,"otamamon_x","オタマモン（X抗体）",10,12,false
species,427,"yarmon","ヤーモン",4,12,false
species,428,"keemon","キーモン",4,12,false
species,429,"impmon_x","インプモン（Ｘ抗体）",10,12,false
species,430,"darktyranomon_x","ダークティラノモン（Ｘ抗体）",14,12,true
species,431,"numemon_x","ヌメモン（Ｘ抗体）",9,12,false
species,432,"lucemon_x","ルーチェモン（Ｘ抗体）",11,12,false
species,433,"lilithmon_x","リリスモン（Ｘ抗体）",10,12,false
species,434,"leviamon_x","リヴァイアモン（Ｘ抗体）",12,12,false
species,435,"belphemon_x","ベルフェモン（Ｘ抗体）",11,12,false
species,436,"barbamon_x","バルバモン（Ｘ抗体）",10,12,false
species,437,"demon_x","デーモン（Ｘ抗体）",9,12,false
species,438,"darkknightmon_x","ダークナイトモン（Ｘ抗体）",13,12,true
species,439,"cherubimondark_x","ケルビモン（悪）（Ｘ抗体）",13,12,true
species,440,"ofanimonfdm_x","オファニモン：フォールダウンモード（Ｘ抗体）",22,12,true
species,441,"ultimatechaosmon","アルティメットカオスモン",12,12,false
species,442,"pusurimon","プスリモン",5,12,false
species,443,"pusumon","プスモン",4,12,false
species,444,"surfimon","サーフィモン",6,12,false
species,445,"bulucomon","ブルコモン",5,12,false
species,446,"herissmon","エリスモン",5,12,false
species,447,"metalgarurumon_black","メタルガルルモン（黒）",11,12,false
species,448,"weregarurumon_black","ワーガルルモン（黒）",10,12,false
species,449,"garurumon_black","ガルルモン（黒）",8,12,false
species,450,"justimon_blitzarm","ジャスティモン：ブリッツアーム",15,12,true
species,451,"ginkakumon_promote","ギンカクモンプロモート",11,12,false
species,452,"icedevimon","アイスデビモン",7,12,false
species,453,"kuzuhamon_miko","クズハモン：巫女モード",11,12,false
species,454,"megalograwmon_orange","メガログラウモン（橙）",11,12,false
species,455,"greymon_blue","グレイモン（青）",8,12,false
species,456,"shoutmon_king","シャウトモン（キングVer.）",15,12,true
species,457,"wargreymon_x","ウォーグレイモン（X抗体）",13,12,true
species,458,"metalgarurumon_x","メタルガルルモン（X抗体）",13,12,true
species,459,"megidramon_x","メギドラモン（X抗体）",11,12,false
species,460,"weregarurumon_x","ワーガルルモン（X抗体）",12,12,false
species,461,"lilimon_x","リリモン（X抗体）",9,12,false
species,462,"sakuyamon_x","サクヤモン（Ｘ抗体）",10,12,false
species,463,"beelzebumon_x","ベルゼブモン（X抗体）",11,12,false
species,464,"megalogrowmon_x","メガログラウモン（X抗体）",13,12,true
species,465,"rhinomon_x","ライノモン（Ｘ抗体）",10,12,false
species,466,"renamon_x","レナモン（Ｘ抗体）",9,12,false
species,467,"tokomon_x","トコモン（Ｘ抗体）",9,12,false
species,468,"beelstarmon_x","ベルスターモン（Ｘ抗体）",12,12,false
species,469,"dukemon_x","デュークモン（X抗体）",11,12,false
species,470,"cerberumon_x","ケルベロモン（X抗体）",11,12,false
species,471,"tyranomon_x","ティラノモン（X抗体）",11,12,false
species,472,"dracomon_x","ドラコモン（X抗体）",10,12,false
species,473,"gabumon_x","ガブモン（X抗体）",9,12,false
species,474,"minervamon_x","ミネルヴァモン（X抗体）",12,12,false
species,475,"lordknightmon_x","ロードナイトモン（X抗体）",13,12,true
species,476,"sistermon_ciel","シスタモン シエル",9,12,false
species,477,"metaltyranomon_x","メタルティラノモン（X抗体）",14,12,true
species,478,"leomon_x","レオモン（X抗体）",9,12,false
species,479,"agumon_x","アグモン（X抗体）",9,12,false
species,480,"jesmon_x","ジエスモン（X抗体）",10,12,false
species,481,"ragnaloardmon","ラグナロードモン",8,12,false
species,482,"rafflesimon","ラフレシモン",6,12,false
species,483,"ordinemon","オルディネモン",7,12,false
species,484,"raptorsparrowmon","ラプタースパロウモン",10,12,false
species,485,"banchogolemon","バンチョーゴーレモン",10,12,false
species,486,"cerberumon_werewolfmode","ケルベロモン：人狼モード",12,12,false
species,487,"growmon_orange","グラウモン（橙）",8,12,false
species,488,"toyagumon_black","トイアグモン（黒）",9,12,false
species,489,"shootingstarmon","シューティングスターモン",12,12,false
species,490,"justimon_criticalarm","ジャスティモン：クリティカルアーム",17,12,true
species,491,"yatagaramon_axcel","ヤタガラモン",6,12,false
species,492,"dinohumon","ディノヒューモン",8,12,false
species,493,"rapidmon_gold","ラピッドモン",6,12,false
species,494,"yaegerdorurumon","イェーガードルルモン",10,12,false
species,495,"gundramon","ガンドラモン",6,12,false
species,496,"aegiochusmon_holly","アイギオテュースモン：ホーリー",15,12,true
species,497,"gabumon_black","ガブモン（黒）",7,12,false
species,498,"pipimon","ピピモン",4,12,false
