species_id,source_kind,source_id,name_ja,official_level_or_grade,gameplay_origin,balance_tier,archetype,bst,base_hp,base_attack,base_defense,base_speed,base_sp_attack,base_sp_defense,growth_rate,catch_rate,exp_yield,battle_affinity,runtime_status
16,digimon,vortexdramon,ヴォルテクスドラモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,swift_physical,600,90,120,85,130,80,95,slow,30,240,neutral_v0,playtest_parameter_ready
17,digimon,shoutmonx4s,シャウトモンX4S,"完全体
(クロスウォーズ)",project_generated_gameplay_v0_noncanonical,完全体,swift_special,520,78,69,78,111,103,81,slow,60,180,neutral_v0,playtest_parameter_ready
18,digimon,shoutmonx3sd,シャウトモンX3SD,"完全体
(クロスウォーズ)",project_generated_gameplay_v0_noncanonical,完全体,physical,520,87,109,87,82,69,86,slow,60,180,neutral_v0,playtest_parameter_ready
19,digimon,shoutmonx3gm,シャウトモンX3GM,"完全体
(クロスウォーズ)",project_generated_gameplay_v0_noncanonical,完全体,special,520,87,70,83,86,108,86,slow,60,180,neutral_v0,playtest_parameter_ready
20,digimon,azhdarmon,アズダルモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,balanced,520,87,87,87,87,86,86,slow,60,180,neutral_v0,playtest_parameter_ready
21,digimon,tengumon,テングモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,physical,600,100,125,100,95,80,100,slow,30,240,neutral_v0,playtest_parameter_ready
22,digimon,amaterasumon,アマテラスモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,physical_tank,600,110,105,130,75,75,105,slow,30,240,neutral_v0,playtest_parameter_ready
23,digimon,enmamon,エンマモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,mixed,600,100,110,90,100,110,90,slow,30,240,neutral_v0,playtest_parameter_ready
24,digimon,seitengokuwmon,セイテンゴクウモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,swift_physical,600,90,120,85,130,80,95,slow,30,240,neutral_v0,playtest_parameter_ready
25,digimon,exmaquinamon,エクスマキナモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,swift_physical,600,90,120,85,130,80,95,slow,30,240,neutral_v0,playtest_parameter_ready
26,digimon,dalphomon,ダルフォモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,special,600,100,80,95,100,125,100,slow,30,240,neutral_v0,playtest_parameter_ready
27,digimon,shishimamon,シシマモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,special,520,87,70,83,86,108,86,slow,60,180,neutral_v0,playtest_parameter_ready
28,digimon,darumamon,ダルマモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,swift_special,520,78,69,78,111,103,81,slow,60,180,neutral_v0,playtest_parameter_ready
29,digimon,rhamphomon,ランフォモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,mixed,430,72,79,65,72,78,64,medium_slow,120,120,neutral_v0,playtest_parameter_ready
30,digimon,chronomon_destroy,クロノモン：デストロイモード,究極体,project_generated_gameplay_v0_noncanonical,究極体,balanced,600,100,100,100,100,100,100,slow,30,240,neutral_v0,playtest_parameter_ready
31,digimon,chronomon_holy,クロノモン：ホーリーモード,究極体,project_generated_gameplay_v0_noncanonical,究極体,balanced,600,100,100,100,100,100,100,slow,30,240,neutral_v0,playtest_parameter_ready
32,digimon,butenmon,ブテンモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,swift_special,520,78,69,78,111,103,81,slow,60,180,neutral_v0,playtest_parameter_ready
33,digimon,buraimon,ブライモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,physical_tank,430,79,76,94,53,53,75,medium_slow,120,120,neutral_v0,playtest_parameter_ready
34,digimon,hyokomon,ヒョコモン,成長期,project_generated_gameplay_v0_noncanonical,成長期,special,330,56,44,52,55,68,55,medium_fast,180,70,neutral_v0,playtest_parameter_ready
35,digimon,chicchimon,チッチモン,幼年期Ⅱ,project_generated_gameplay_v0_noncanonical,幼年期Ⅱ,physical_tank,240,44,42,52,30,30,42,medium_fast,220,45,neutral_v0,playtest_parameter_ready
36,digimon,zombieplutomon,ゾンビプルートモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,swift_special,600,90,80,89,128,119,94,slow,30,240,neutral_v0,playtest_parameter_ready
37,digimon,manekimon,マネキモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,physical,430,72,90,72,68,57,71,medium_slow,120,120,neutral_v0,playtest_parameter_ready
38,digimon,hakubamon,ハクバモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,special_tank,430,79,54,76,57,75,89,medium_slow,120,120,neutral_v0,playtest_parameter_ready
39,digimon,wankomon,ワンコモン,成長期,project_generated_gameplay_v0_noncanonical,成長期,swift_special,330,50,44,50,70,65,51,medium_fast,180,70,neutral_v0,playtest_parameter_ready
40,digimon,gasamon,ガサモン,成長期,project_generated_gameplay_v0_noncanonical,成長期,swift_special,330,50,44,50,70,65,51,medium_fast,180,70,neutral_v0,playtest_parameter_ready
41,digimon,takinmon,ターキモン,成長期,project_generated_gameplay_v0_noncanonical,成長期,physical_tank,330,61,58,72,41,41,57,medium_fast,180,70,neutral_v0,playtest_parameter_ready
42,digimon,fujamon,フージャモン,成長期,project_generated_gameplay_v0_noncanonical,成長期,swift_special,330,50,44,50,70,65,51,medium_fast,180,70,neutral_v0,playtest_parameter_ready
43,digimon,kakamon,カカモン,成長期,project_generated_gameplay_v0_noncanonical,成長期,balanced,330,55,55,55,55,55,55,medium_fast,180,70,neutral_v0,playtest_parameter_ready
44,digimon,armalizamon,アルマリザモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,physical,430,72,90,72,68,57,71,medium_slow,120,120,neutral_v0,playtest_parameter_ready
45,digimon,onibimon,オニビモン,幼年期Ⅱ,project_generated_gameplay_v0_noncanonical,幼年期Ⅱ,mixed,240,40,44,36,40,44,36,medium_fast,220,45,neutral_v0,playtest_parameter_ready
46,digimon,tomorimon,トモリモン,幼年期Ⅰ,project_generated_gameplay_v0_noncanonical,幼年期Ⅰ,swift_special,180,27,24,27,39,35,28,medium_fast,255,30,neutral_v0,playtest_parameter_ready
47,digimon,mococomon,モココモン,幼年期Ⅱ,project_generated_gameplay_v0_noncanonical,幼年期Ⅱ,balanced,240,40,40,40,40,40,40,medium_fast,220,45,neutral_v0,playtest_parameter_ready
48,digimon,fukamon,フカモン,幼年期Ⅰ,project_generated_gameplay_v0_noncanonical,幼年期Ⅰ,swift_physical,180,28,36,25,39,24,28,medium_fast,255,30,neutral_v0,playtest_parameter_ready
49,digimon,parallelmon,パラレルモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,physical,600,100,125,100,95,80,100,slow,30,240,neutral_v0,playtest_parameter_ready
50,digimon,nightchiropmon,ナイトキロプモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,mixed,430,72,79,65,72,78,64,medium_slow,120,120,neutral_v0,playtest_parameter_ready
51,digimon,styracomon,スティラコモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,swift_physical,600,90,120,85,130,80,95,slow,30,240,neutral_v0,playtest_parameter_ready
52,digimon,taotiemon,タオティエモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,special_tank,600,110,75,105,80,105,125,slow,30,240,neutral_v0,playtest_parameter_ready
53,digimon,craniummon_enbarrmon,クレニアムモン+アンヴァルモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,special_tank,600,110,75,105,80,105,125,slow,30,240,neutral_v0,playtest_parameter_ready
54,digimon,enbarrmon,アンヴァルモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,special_tank,520,96,65,91,69,91,108,slow,60,180,neutral_v0,playtest_parameter_ready
55,digimon,metatromon,メタトロモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,balanced,600,100,100,100,100,100,100,slow,30,240,neutral_v0,playtest_parameter_ready
56,digimon,greatgryzmon,グレートグリズモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,physical_tank,520,96,91,112,65,65,91,slow,60,180,neutral_v0,playtest_parameter_ready
57,digimon,titamon_skullbaluchimon,タイタモン+スカルバルキモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,swift_special,600,90,80,89,128,119,94,slow,30,240,neutral_v0,playtest_parameter_ready
58,digimon,cougarmon,クーガモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,mixed,430,72,79,65,72,78,64,medium_slow,120,120,neutral_v0,playtest_parameter_ready
59,digimon,masterblimpmon,マスターブリンプモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,special,520,87,70,83,86,108,86,slow,60,180,neutral_v0,playtest_parameter_ready
60,digimon,hyemon,ハイエモン,成長期,project_generated_gameplay_v0_noncanonical,成長期,special,330,56,44,52,55,68,55,medium_fast,180,70,neutral_v0,playtest_parameter_ready
61,digimon,murasamemon,ムラサメモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,swift_physical,520,79,105,73,112,69,82,slow,60,180,neutral_v0,playtest_parameter_ready
62,digimon,wolvermon,ウルヴァモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,physical_tank,430,79,76,94,53,53,75,medium_slow,120,120,neutral_v0,playtest_parameter_ready
63,digimon,chiropmon,キロプモン,成長期,project_generated_gameplay_v0_noncanonical,成長期,physical_tank,330,61,58,72,41,41,57,medium_fast,180,70,neutral_v0,playtest_parameter_ready
64,digimon,pristimon,プリスティモン,成長期,project_generated_gameplay_v0_noncanonical,成長期,swift_physical,330,50,67,46,71,44,52,medium_fast,180,70,neutral_v0,playtest_parameter_ready
65,digimon,dullahamon,デュラハモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,mixed,600,100,110,90,100,110,90,slow,30,240,neutral_v0,playtest_parameter_ready
66,digimon,gekkomon,ゲッコーモン,成長期,project_generated_gameplay_v0_noncanonical,成長期,physical_tank,330,61,58,72,41,41,57,medium_fast,180,70,neutral_v0,playtest_parameter_ready
67,digimon,kekkomon,ケッコモン,幼年期Ⅱ,project_generated_gameplay_v0_noncanonical,幼年期Ⅱ,physical,240,40,50,40,38,32,40,medium_fast,220,45,neutral_v0,playtest_parameter_ready
68,digimon,kekomon,ケコモン,幼年期Ⅰ,project_generated_gameplay_v0_noncanonical,幼年期Ⅰ,special_tank,180,34,23,31,24,31,37,medium_fast,255,30,neutral_v0,playtest_parameter_ready
69,digimon,magneticdramon,マグネティックドラモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,physical,600,100,125,100,95,80,100,slow,30,240,neutral_v0,playtest_parameter_ready
70,digimon,maneuvermon,マニューバモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,physical_tank,520,96,91,112,65,65,91,slow,60,180,neutral_v0,playtest_parameter_ready
71,digimon,turbomon,ターボモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,swift_special,430,64,57,64,93,85,67,medium_slow,120,120,neutral_v0,playtest_parameter_ready
72,digimon,nyabootmon,ニャブートモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,swift_special,600,90,80,89,128,119,94,slow,30,240,neutral_v0,playtest_parameter_ready
73,digimon,yihumon,イーフーモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,mixed,600,100,110,90,100,110,90,slow,30,240,neutral_v0,playtest_parameter_ready
74,digimon,ariemon,アリエモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,mixed,600,100,110,90,100,110,90,slow,30,240,neutral_v0,playtest_parameter_ready
75,digimon,skullseadramon,スカルシードラモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,mixed,520,87,96,78,86,95,78,slow,60,180,neutral_v0,playtest_parameter_ready
76,digimon,sharkmon,シャークモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,mixed,520,87,96,78,86,95,78,slow,60,180,neutral_v0,playtest_parameter_ready
77,digimon,kaguyamon,カグヤモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,special,600,100,80,95,100,125,100,slow,30,240,neutral_v0,playtest_parameter_ready
78,digimon,karakurumon,カラクルモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,balanced,520,87,87,87,87,86,86,slow,60,180,neutral_v0,playtest_parameter_ready
79,digimon,kokeshimon,コケシモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,swift_special,430,64,57,64,93,85,67,medium_slow,120,120,neutral_v0,playtest_parameter_ready
80,digimon,hanimon,ハニモン,成長期,project_generated_gameplay_v0_noncanonical,成長期,special,330,56,44,52,55,68,55,medium_fast,180,70,neutral_v0,playtest_parameter_ready
81,digimon,mockingbirdmon,モッキンバーモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,mixed,520,87,96,78,86,95,78,slow,60,180,neutral_v0,playtest_parameter_ready
82,digimon,mulemon,ミュールモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,swift_physical,430,65,87,60,93,57,68,medium_slow,120,120,neutral_v0,playtest_parameter_ready
83,digimon,maquinamon,マキナモン,成長期,project_generated_gameplay_v0_noncanonical,成長期,special,330,56,44,52,55,68,55,medium_fast,180,70,neutral_v0,playtest_parameter_ready
84,digimon,nazhamon_crimson,ナタモン：クリムゾンモード,究極体,project_generated_gameplay_v0_noncanonical,究極体,swift_special,600,90,80,89,128,119,94,slow,30,240,neutral_v0,playtest_parameter_ready
85,digimon,shagaramon,シャガラモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,physical_tank,600,110,105,130,75,75,105,slow,30,240,neutral_v0,playtest_parameter_ready
86,digimon,medusamon,メデューサモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,swift_physical,600,90,120,85,130,80,95,slow,30,240,neutral_v0,playtest_parameter_ready
87,digimon,lamiamon,ラミアモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,balanced,520,87,87,87,87,86,86,slow,60,180,neutral_v0,playtest_parameter_ready
88,digimon,necromon,ネクロモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,swift_physical,600,90,120,85,130,80,95,slow,30,240,neutral_v0,playtest_parameter_ready
89,digimon,jougamon,ジョウガモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,special_tank,600,110,75,105,80,105,125,slow,30,240,neutral_v0,playtest_parameter_ready
90,digimon,pyramidimon,ピラミディモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,physical,600,100,125,100,95,80,100,slow,30,240,neutral_v0,playtest_parameter_ready
91,digimon,proganomon,プロガノモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,swift_special,520,78,69,78,111,103,81,slow,60,180,neutral_v0,playtest_parameter_ready
92,digimon,landramon,ランドラモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,swift_special,430,64,57,64,93,85,67,medium_slow,120,120,neutral_v0,playtest_parameter_ready
93,digimon,invisimon,インビジモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,special,600,100,80,95,100,125,100,slow,30,240,neutral_v0,playtest_parameter_ready
94,digimon,oblivimon,オブリビモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,physical_tank,520,96,91,112,65,65,91,slow,60,180,neutral_v0,playtest_parameter_ready
95,digimon,dimetromon,ディメトロモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,swift_special,430,64,57,64,93,85,67,medium_slow,120,120,neutral_v0,playtest_parameter_ready
96,digimon,ryugumon,リュウグウモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,swift_special,600,90,80,89,128,119,94,slow,30,240,neutral_v0,playtest_parameter_ready
97,digimon,cerunumon,ケルヌモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,balanced,600,100,100,100,100,100,100,slow,30,240,neutral_v0,playtest_parameter_ready
98,digimon,marinbullmon,マリンブルモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,special,520,87,70,83,86,108,86,slow,60,180,neutral_v0,playtest_parameter_ready
99,digimon,elizamon,エリザモン,成長期,project_generated_gameplay_v0_noncanonical,成長期,mixed,330,56,61,49,55,60,49,medium_fast,180,70,neutral_v0,playtest_parameter_ready
100,digimon,nezhamon,ナタモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,special,600,100,80,95,100,125,100,slow,30,240,neutral_v0,playtest_parameter_ready
101,digimon,dinomon,ダイナモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,swift_special,600,90,80,89,128,119,94,slow,30,240,neutral_v0,playtest_parameter_ready
102,digimon,skadimon,スカーディモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,special_tank,600,110,75,105,80,105,125,slow,30,240,neutral_v0,playtest_parameter_ready
103,digimon,polarbearmon,ポーラーベアモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,special,520,87,70,83,86,108,86,slow,60,180,neutral_v0,playtest_parameter_ready
104,digimon,erlangmon_blast,イーランモン：ブラストモード,究極体,project_generated_gameplay_v0_noncanonical,究極体,balanced,600,100,100,100,100,100,100,slow,30,240,neutral_v0,playtest_parameter_ready
105,digimon,queenbeemon,クイーンビーモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,special,600,100,80,95,100,125,100,slow,30,240,neutral_v0,playtest_parameter_ready
106,digimon,vespamon,ヴェスパモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,swift_physical,520,79,105,73,112,69,82,slow,60,180,neutral_v0,playtest_parameter_ready
107,digimon,forgebeemon,フォージビーモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,mixed,430,72,79,65,72,78,64,medium_slow,120,120,neutral_v0,playtest_parameter_ready
108,digimon,heavymetaldramon,ヘヴィーメタルドラモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,physical_tank,600,110,105,130,75,75,105,slow,30,240,neutral_v0,playtest_parameter_ready
109,digimon,loudmon,ラウドモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,swift_special,520,78,69,78,111,103,81,slow,60,180,neutral_v0,playtest_parameter_ready
110,digimon,punkmon,パンクモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,balanced,430,72,72,72,72,71,71,medium_slow,120,120,neutral_v0,playtest_parameter_ready
111,digimon,takutoumon_wrath,タクトウモン：ラースモード,究極体,project_generated_gameplay_v0_noncanonical,究極体,balanced,600,100,100,100,100,100,100,slow,30,240,neutral_v0,playtest_parameter_ready
112,digimon,erlangmon,イーランモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,physical,600,100,125,100,95,80,100,slow,30,240,neutral_v0,playtest_parameter_ready
113,digimon,cendrillmon,サンドリモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,physical,600,100,125,100,95,80,100,slow,30,240,neutral_v0,playtest_parameter_ready
114,digimon,chaperomon,シャペロモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,special,520,87,70,83,86,108,86,slow,60,180,neutral_v0,playtest_parameter_ready
115,digimon,zephagamon,ゼファーガモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,balanced,600,100,100,100,100,100,100,slow,30,240,neutral_v0,playtest_parameter_ready
116,digimon,grandgalemon,グランゲイルモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,mixed,520,87,96,78,86,95,78,slow,60,180,neutral_v0,playtest_parameter_ready
117,digimon,fluffymon,フラフィモン,幼年期Ⅱ,project_generated_gameplay_v0_noncanonical,幼年期Ⅱ,balanced,240,40,40,40,40,40,40,medium_fast,220,45,neutral_v0,playtest_parameter_ready
118,digimon,yolkmon,ヨークモン,幼年期Ⅰ,project_generated_gameplay_v0_noncanonical,幼年期Ⅰ,swift_physical,180,28,36,25,39,24,28,medium_fast,255,30,neutral_v0,playtest_parameter_ready
119,digimon,callismon,カリスモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,balanced,600,100,100,100,100,100,100,slow,30,240,neutral_v0,playtest_parameter_ready
120,digimon,tlalocmon,トラロックモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,physical_tank,600,110,105,130,75,75,105,slow,30,240,neutral_v0,playtest_parameter_ready
121,digimon,shoeshoemon,シューシューモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,balanced,430,72,72,72,72,71,71,medium_slow,120,120,neutral_v0,playtest_parameter_ready
122,digimon,shoemon,シューモン,成長期,project_generated_gameplay_v0_noncanonical,成長期,physical,330,56,68,55,52,44,55,medium_fast,180,70,neutral_v0,playtest_parameter_ready
123,digimon,galemon,ゲイルモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,physical,430,72,90,72,68,57,71,medium_slow,120,120,neutral_v0,playtest_parameter_ready
124,digimon,pteromon,プテロモン,成長期,project_generated_gameplay_v0_noncanonical,成長期,balanced,330,55,55,55,55,55,55,medium_fast,180,70,neutral_v0,playtest_parameter_ready
125,digimon,takutoumon,タクトウモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,mixed,600,100,110,90,100,110,90,slow,30,240,neutral_v0,playtest_parameter_ready
126,digimon,fenriloogamon_takemikazuchi,フェンリルガモン：建御雷神(タケミカヅチ),究極体,project_generated_gameplay_v0_noncanonical,究極体,swift_physical,600,90,120,85,130,80,95,slow,30,240,neutral_v0,playtest_parameter_ready
127,digimon,bigukkomon,ビッグウッコモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,balanced,600,100,100,100,100,100,100,slow,30,240,neutral_v0,playtest_parameter_ready
128,digimon,ukkomon,ウッコモン,成長期,project_generated_gameplay_v0_noncanonical,成長期,special_tank,330,61,42,58,44,57,68,medium_fast,180,70,neutral_v0,playtest_parameter_ready
129,digimon,dijiangmon,ディージャンモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,special,600,100,80,95,100,125,100,slow,30,240,neutral_v0,playtest_parameter_ready
130,digimon,xingtianmon,シンテンモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,balanced,520,87,87,87,87,86,86,slow,60,180,neutral_v0,playtest_parameter_ready
131,digimon,lianpumon,リェンフーモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,physical_tank,430,79,76,94,53,53,75,medium_slow,120,120,neutral_v0,playtest_parameter_ready
132,digimon,dominimon,ドミニモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,special,600,100,80,95,100,125,100,slow,30,240,neutral_v0,playtest_parameter_ready
133,digimon,arkhaiangemon,アルケーエンジェモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,mixed,520,87,96,78,86,95,78,slow,60,180,neutral_v0,playtest_parameter_ready
134,digimon,luxmon,ルクスモン,成長期,project_generated_gameplay_v0_noncanonical,成長期,mixed,330,56,61,49,55,60,49,medium_fast,180,70,neutral_v0,playtest_parameter_ready
135,digimon,huanglongmon_ruin,ファンロンモン：ルインモード,究極体,project_generated_gameplay_v0_noncanonical,究極体,balanced,600,100,100,100,100,100,100,slow,30,240,neutral_v0,playtest_parameter_ready
136,digimon,moonmon,ムンモン,幼年期Ⅱ,project_generated_gameplay_v0_noncanonical,幼年期Ⅱ,mixed,240,40,44,36,40,44,36,medium_fast,220,45,neutral_v0,playtest_parameter_ready
137,digimon,sunmon,サンモン,幼年期Ⅱ,project_generated_gameplay_v0_noncanonical,幼年期Ⅱ,special_tank,240,44,30,42,32,42,50,medium_fast,220,45,neutral_v0,playtest_parameter_ready
138,digimon,brigadramon,ブリガードラモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,swift_special,600,90,80,89,128,119,94,slow,30,240,neutral_v0,playtest_parameter_ready
139,digimon,hi-commandramon,ハイコマンドラモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,special,430,72,58,69,71,89,71,medium_slow,120,120,neutral_v0,playtest_parameter_ready
140,digimon,fenriloogamon,フェンリルガモン,究極体,project_generated_gameplay_v0_noncanonical,究極体,special_tank,600,110,75,105,80,105,125,slow,30,240,neutral_v0,playtest_parameter_ready
141,digimon,helloogarmon,ヘルガルモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,swift_physical,520,79,105,73,112,69,82,slow,60,180,neutral_v0,playtest_parameter_ready
142,digimon,soloogarmon,ソルガルモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,special_tank,520,96,65,91,69,91,108,slow,60,180,neutral_v0,playtest_parameter_ready
143,digimon,cargodramon,カーゴドラモン,完全体,project_generated_gameplay_v0_noncanonical,完全体,swift_physical,520,79,105,73,112,69,82,slow,60,180,neutral_v0,playtest_parameter_ready
144,digimon,loogarmon,ルガルモン,成熟期,project_generated_gameplay_v0_noncanonical,成熟期,balanced,430,72,72,72,72,71,71,medium_slow,120,120,neutral_v0,playtest_parameter_ready
145,digimon,bowmon,バウモン,幼年期Ⅱ,project_generated_gameplay_v0_noncanonical,幼年期Ⅱ,swift_special,240,36,32,36,52,47,37,medium_fast,220,45,neutral_v0,playtest_parameter_ready
146,digimon,fusamon,フサモン,幼年期Ⅰ,project_generated_gameplay_v0_noncanonical,幼年期Ⅰ,swift_physical,180,28,36,25,39,24,28,medium_fast,255,30,neutral_v0,playtest_parameter_ready
