species_id,internal_name,source_kind,source_id,official_type,official_attribute,sprite_family,donor_species_id,donor_species_constant,donor_assignment,palette_preset,override_asset
82,DM0082,digimon,mulemon,マシーン型,ワクチン,machine,377,SPECIES_REGIROCK,family_cycle_v0,base,
83,DM0083,digimon,maquinamon,合成型,データ,base,83,SPECIES_FARFETCHD,family_cycle_v0,base,
84,DM0084,digimon,nazhamon_crimson,サイボーグ型,データ,machine,379,SPECIES_REGISTEEL,family_cycle_v0,base,
85,DM0085,digimon,shagaramon,聖竜型,データ,dragon,384,SPECIES_RAYQUAZA,family_cycle_v0,base,
86,DM0086,digimon,medusamon,竜人型,ウィルス,dragon,130,SPECIES_GYARADOS,family_cycle_v0,base,
87,DM0087,digimon,lamiamon,竜人型,ウィルス,dragon,147,SPECIES_DRATINI,family_cycle_v0,base,
88,DM0088,digimon,necromon,ゴースト型,ウィルス,undead,354,SPECIES_BANETTE,family_cycle_v0,base,
89,DM0089,digimon,jougamon,神人型,ワクチン,holy,145,SPECIES_ZAPDOS,family_cycle_v0,base,
90,DM0090,digimon,pyramidimon,鉱物型,ウィルス,base,90,SPECIES_SHELLDER,family_cycle_v0,base,
91,DM0091,digimon,proganomon,鉱物型,ウィルス,base,91,SPECIES_CLOYSTER,family_cycle_v0,base,
92,DM0092,digimon,landramon,鉱物型,ウィルス,base,92,SPECIES_GASTLY,family_cycle_v0,base,
93,DM0093,digimon,invisimon,サイボーグ型,ウィルス,machine,233,SPECIES_PORYGON2,family_cycle_v0,base,
94,DM0094,digimon,oblivimon,サイボーグ型,ウィルス,machine,299,SPECIES_NOSEPASS,family_cycle_v0,base,
95,DM0095,digimon,dimetromon,爬虫類型,ウィルス,insect,268,SPECIES_CASCOON,family_cycle_v0,base,
96,DM0096,digimon,ryugumon,軟体型,データ,aquatic,222,SPECIES_CORSOLA,family_cycle_v0,base,
97,DM0097,digimon,cerunumon,聖獣型,データ,holy,196,SPECIES_ESPEON,family_cycle_v0,base,
98,DM0098,digimon,marinbullmon,軟体型,データ,aquatic,224,SPECIES_OCTILLERY,family_cycle_v0,base,
99,DM0099,digimon,elizamon,爬虫類型,ウィルス,insect,290,SPECIES_NINCADA,family_cycle_v0,base,
100,DM0100,digimon,nezhamon,サイボーグ型,データ,machine,374,SPECIES_BELDUM,family_cycle_v0,base,
101,DM0101,digimon,dinomon,恐竜型,ワクチン,dragon,381,SPECIES_LATIOS,family_cycle_v0,base,
102,DM0102,digimon,skadimon,氷雪型,ワクチン,base,102,SPECIES_EXEGGCUTE,family_cycle_v0,base,
103,DM0103,digimon,polarbearmon,氷雪型,ワクチン,base,103,SPECIES_EXEGGUTOR,family_cycle_v0,base,
104,DM0104,digimon,erlangmon_blast,神人型,ワクチン,holy,251,SPECIES_CELEBI,family_cycle_v0,base,
105,DM0105,digimon,queenbeemon,サイボーグ型,ウィルス,machine,379,SPECIES_REGISTEEL,family_cycle_v0,base,
106,DM0106,digimon,vespamon,サイボーグ型,ウィルス,machine,81,SPECIES_MAGNEMITE,family_cycle_v0,base,
107,DM0107,digimon,forgebeemon,サイボーグ型,ウィルス,machine,82,SPECIES_MAGNETON,family_cycle_v0,base,
108,DM0108,digimon,heavymetaldramon,邪竜型,ウィルス,dragon,246,SPECIES_LARVITAR,family_cycle_v0,base,
109,DM0109,digimon,loudmon,サイボーグ型,ウィルス,machine,101,SPECIES_ELECTRODE,family_cycle_v0,base,
110,DM0110,digimon,punkmon,魔竜型,ウィルス,dragon,248,SPECIES_TYRANITAR,family_cycle_v0,base,
111,DM0111,digimon,takutoumon_wrath,神人型,ワクチン,holy,381,SPECIES_LATIOS,family_cycle_v0,base,
112,DM0112,digimon,erlangmon,神人型,ワクチン,holy,385,SPECIES_JIRACHI,family_cycle_v0,base,
113,DM0113,digimon,cendrillmon,パペット型,ウィルス,base,113,SPECIES_CHANSEY,family_cycle_v0,base,
114,DM0114,digimon,chaperomon,パペット型,ウィルス,base,114,SPECIES_TANGELA,family_cycle_v0,base,
115,DM0115,digimon,zephagamon,魔法騎士型,データ,base,115,SPECIES_KANGASKHAN,family_cycle_v0,base,
116,DM0116,digimon,grandgalemon,鳥竜型,データ,dragon,373,SPECIES_SALAMENCE,family_cycle_v0,base,
117,DM0117,digimon,fluffymon,小鳥型,,base,117,SPECIES_SEADRA,family_cycle_v0,base,
118,DM0118,digimon,yolkmon,スライム型,,base,118,SPECIES_GOLDEEN,family_cycle_v0,base,
119,DM0119,digimon,callismon,魔獣型,ウィルス,beast,228,SPECIES_HOUNDOUR,family_cycle_v0,base,
120,DM0120,digimon,tlalocmon,鉱物型,データ,base,120,SPECIES_STARYU,family_cycle_v0,base,
121,DM0121,digimon,shoeshoemon,パペット型,ウィルス,base,121,SPECIES_STARMIE,family_cycle_v0,base,
122,DM0122,digimon,shoemon,パペット型,ウィルス,base,122,SPECIES_MR_MIME,family_cycle_v0,base,
123,DM0123,digimon,galemon,鳥竜型,データ,dragon,149,SPECIES_DRAGONITE,family_cycle_v0,base,
124,DM0124,digimon,pteromon,鳥竜型,データ,dragon,230,SPECIES_KINGDRA,family_cycle_v0,base,
125,DM0125,digimon,takutoumon,神人型,ワクチン,holy,196,SPECIES_ESPEON,family_cycle_v0,base,
126,DM0126,digimon,fenriloogamon_takemikazuchi,魔獣型,ウィルス,beast,359,SPECIES_ABSOL,family_cycle_v0,base,
127,DM0127,digimon,bigukkomon,古代妖精型,フリー,base,127,SPECIES_PINSIR,family_cycle_v0,base,
128,DM0128,digimon,ukkomon,古代妖精型,フリー,base,128,SPECIES_TAUROS,family_cycle_v0,base,
129,DM0129,digimon,dijiangmon,突然変異型,ウィルス,base,129,SPECIES_MAGIKARP,family_cycle_v0,base,
130,DM0130,digimon,xingtianmon,鬼人型,ウィルス,demon,359,SPECIES_ABSOL,family_cycle_v0,base,
131,DM0131,digimon,lianpumon,突然変異型,データ,base,131,SPECIES_LAPRAS,family_cycle_v0,base,
132,DM0132,digimon,dominimon,主天使型,ワクチン,angel,385,SPECIES_JIRACHI,family_cycle_v0,base,
133,DM0133,digimon,arkhaiangemon,権天使型,ワクチン,angel,175,SPECIES_TOGEPI,family_cycle_v0,base,
134,DM0134,digimon,luxmon,天使型,ワクチン,angel,176,SPECIES_TOGETIC,family_cycle_v0,base,
135,DM0135,digimon,huanglongmon_ruin,神獣型,NO DATA,holy,282,SPECIES_GARDEVOIR,family_cycle_v0,base,
136,DM0136,digimon,moonmon,レッサー型,,base,136,SPECIES_FLAREON,family_cycle_v0,base,
137,DM0137,digimon,sunmon,レッサー型,,base,137,SPECIES_PORYGON,family_cycle_v0,base,
138,DM0138,digimon,brigadramon,サイボーグ型,ウィルス,machine,305,SPECIES_LAIRON,family_cycle_v0,base,
139,DM0139,digimon,hi-commandramon,サイボーグ型,ウィルス,machine,306,SPECIES_AGGRON,family_cycle_v0,base,
140,DM0140,digimon,fenriloogamon,魔獣型,ウィルス,beast,228,SPECIES_HOUNDOUR,family_cycle_v0,base,
141,DM0141,digimon,helloogarmon,魔獣型,ウィルス,beast,229,SPECIES_HOUNDOOM,family_cycle_v0,base,
142,DM0142,digimon,soloogarmon,魔獣型,ウィルス,beast,261,SPECIES_POOCHYENA,family_cycle_v0,base,
143,DM0143,digimon,cargodramon,マシーン型,ウィルス,machine,375,SPECIES_METANG,family_cycle_v0,base,
144,DM0144,digimon,loogarmon,魔獣型,ウィルス,beast,300,SPECIES_SKITTY,family_cycle_v0,base,
145,DM0145,digimon,bowmon,レッサー型,,base,145,SPECIES_ZAPDOS,family_cycle_v0,base,
146,DM0146,digimon,fusamon,スライム型,,base,146,SPECIES_MOLTRES,family_cycle_v0,base,
147,DM0147,digimon,quantumon,妖精型,データ,base,147,SPECIES_DRATINI,family_cycle_v0,base,
148,DM0148,digimon,loogamon,魔獣型,ウィルス,beast,52,SPECIES_MEOWTH,family_cycle_v0,base,
149,DM0149,digimon,proximamon,特異型,ウィルス,base,149,SPECIES_DRAGONITE,family_cycle_v0,base,
150,DM0150,digimon,arcturusmon,竜人型,ウィルス,dragon,373,SPECIES_SALAMENCE,family_cycle_v0,base,
151,DM0151,digimon,greyknightsmon,,,base,151,SPECIES_MEW,family_cycle_v0,base,
152,DM0152,digimon,zanmetsumon,獣竜型,ウィルス,dragon,381,SPECIES_LATIOS,family_cycle_v0,base,
153,DM0153,digimon,bombermon,突然変異型,ウィルス,base,153,SPECIES_BAYLEEF,family_cycle_v0,base,
154,DM0154,digimon,ghilliedhumon,妖精型,データ,base,154,SPECIES_MEGANIUM,family_cycle_v0,base,
155,DM0155,digimon,fumamon,サイボーグ型,データ,machine,212,SPECIES_SCIZOR,family_cycle_v0,base,
156,DM0156,digimon,cthyllamon,妖精型,ウィルス,base,156,SPECIES_QUILAVA,family_cycle_v0,base,
157,DM0157,digimon,regulusmon,邪竜型,ウィルス,dragon,149,SPECIES_DRAGONITE,family_cycle_v0,base,
158,DM0158,digimon,ragnamon,不明,不明,base,158,SPECIES_TOTODILE,family_cycle_v0,base,
159,DM0159,digimon,destromon,不明,不明,base,159,SPECIES_CROCONAW,family_cycle_v0,base,
160,DM0160,digimon,snatchmon,不明,不明,base,160,SPECIES_FERALIGATR,family_cycle_v0,base,
161,DM0161,digimon,bemmon,不明,不明,base,161,SPECIES_SENTRET,family_cycle_v0,base,
162,DM0162,digimon,baalmon_x,魔人型,フリー,dark,92,SPECIES_GASTLY,family_cycle_v0,base,
163,DM0163,digimon,amphimon,サイボーグ型,データ,machine,374,SPECIES_BELDUM,family_cycle_v0,base,
164,DM0164,digimon,diarbbitmon,獣騎士型,ワクチン,beast,262,SPECIES_MIGHTYENA,family_cycle_v0,base,
165,DM0165,digimon,siriusmon,光竜型,ワクチン,dragon,371,SPECIES_BAGON,family_cycle_v0,base,
166,DM0166,digimon,shinegreymon_ruin,光竜型,ワクチン,dragon,372,SPECIES_SHELGON,family_cycle_v0,base,
167,DM0167,digimon,chamblemon,植物型,ウィルス,base,167,SPECIES_SPINARAK,family_cycle_v0,base,
168,DM0168,digimon,publimon,突然変異型,データ,base,168,SPECIES_ARIADOS,family_cycle_v0,base,
169,DM0169,digimon,oleamon,食虫植物型,ウィルス,insect,290,SPECIES_NINCADA,family_cycle_v0,base,
170,DM0170,digimon,huankunmon,水棲型,ワクチン,aquatic,272,SPECIES_LUDICOLO,family_cycle_v0,base,
171,DM0171,digimon,xiangpengmon,聖鳥型,ワクチン,holy,113,SPECIES_CHANSEY,family_cycle_v0,base,
172,DM0172,digimon,xiquemon,鳥型,ワクチン,base,172,SPECIES_PICHU,family_cycle_v0,base,
173,DM0173,digimon,imperialdramonfightermode_vi,古代竜人型,ウィルス,dragon,148,SPECIES_DRAGONAIR,family_cycle_v0,base,
174,DM0174,digimon,greymon_blue_x,恐竜型,ウィルス,dragon,149,SPECIES_DRAGONITE,family_cycle_v0,base,
175,DM0175,digimon,oboromon,アンデッド型,ウィルス,undead,200,SPECIES_MISDREAVUS,family_cycle_v0,base,
176,DM0176,digimon,gyukimon,魔獣型,ウィルス,beast,190,SPECIES_AIPOM,family_cycle_v0,base,
177,DM0177,digimon,shinmonzaemon,パペット型,ワクチン,base,177,SPECIES_NATU,family_cycle_v0,base,
178,DM0178,digimon,hoverespimon,サイボーグ型,ウィルス,machine,299,SPECIES_NOSEPASS,family_cycle_v0,base,
179,DM0179,digimon,espimon,サイボーグ型,ウィルス,machine,304,SPECIES_ARON,family_cycle_v0,base,
180,DM0180,digimon,jupitermmon_wrath,神人型,ワクチン,holy,178,SPECIES_XATU,family_cycle_v0,base,
181,DM0181,digimon,plutomon,神人型,ウィルス,holy,196,SPECIES_ESPEON,family_cycle_v0,base,
182,DM0182,digimon,ceresmon,神人型,データ,holy,242,SPECIES_BLISSEY,family_cycle_v0,base,
183,DM0183,digimon,bacchusmon,神人型,ウィルス,holy,243,SPECIES_RAIKOU,family_cycle_v0,base,
184,DM0184,digimon,junomon_hysteric,神人型,ウィルス,holy,244,SPECIES_ENTEI,family_cycle_v0,base,
185,DM0185,digimon,junomon,神人型,ウィルス,holy,245,SPECIES_SUICUNE,family_cycle_v0,base,
186,DM0186,digimon,thetismon,水棲獣人型,データ,aquatic,365,SPECIES_WALREIN,family_cycle_v0,base,
187,DM0187,digimon,lamortmon,獣型,ワクチン,beast,301,SPECIES_DELCATTY,family_cycle_v0,base,
188,DM0188,digimon,canoweissmon,天竜型,ワクチン,dragon,130,SPECIES_GYARADOS,family_cycle_v0,base,
189,DM0189,digimon,sistermon_ciel_Awake,パペット型,データ,base,189,SPECIES_JUMPLUFF,family_cycle_v0,base,
190,DM0190,digimon,sistermon_noir_Awake,パペット型,ウィルス,base,190,SPECIES_AIPOM,family_cycle_v0,base,
191,DM0191,digimon,sistermon_blanc_Awake,パペット型,ワクチン,base,191,SPECIES_SUNKERN,family_cycle_v0,base,
192,DM0192,digimon,gulusgammamon,竜人型,ウィルス,dragon,230,SPECIES_KINGDRA,family_cycle_v0,base,
193,DM0193,digimon,teslajellymon,軟体型,データ,aquatic,7,SPECIES_SQUIRTLE,family_cycle_v0,base,
194,DM0194,digimon,symbareangoramon,獣人型,ワクチン,beast,128,SPECIES_TAUROS,family_cycle_v0,base,
195,DM0195,digimon,blacktailmon_uver,魔獣型,ウィルス,beast,161,SPECIES_SENTRET,family_cycle_v0,base,
196,DM0196,digimon,weddinmon,妖精型,ワクチン,base,196,SPECIES_ESPEON,family_cycle_v0,base,
197,DM0197,digimon,shortmon,食物型,データ,base,197,SPECIES_UMBREON,family_cycle_v0,base,
198,DM0198,digimon,blackrapidmon,サイボーグ型,ワクチン,machine,233,SPECIES_PORYGON2,family_cycle_v0,base,
199,DM0199,digimon,blackgalgomon,獣人型,ワクチン,beast,209,SPECIES_SNUBBULL,family_cycle_v0,base,
200,DM0200,digimon,omegamonzwart_d,聖騎士型,ウィルス,holy,144,SPECIES_ARTICUNO,family_cycle_v0,base,
201,DM0201,digimon,wezengammamon,角竜型,データ,dragon,373,SPECIES_SALAMENCE,family_cycle_v0,base,
202,DM0202,digimon,kausgammamon,竜人型,データ,dragon,380,SPECIES_LATIAS,family_cycle_v0,base,
203,DM0203,digimon,betelgammamon,竜人型,ワクチン,dragon,381,SPECIES_LATIOS,family_cycle_v0,base,
204,DM0204,digimon,abbadomoncore,種族不明,不明,base,204,SPECIES_PINECO,family_cycle_v0,base,
205,DM0205,digimon,luminamon_nene,合成型,ワクチン,base,205,SPECIES_FORRETRESS,family_cycle_v0,base,
206,DM0206,digimon,shoutmonx7_superior,,,base,206,SPECIES_DUNSPARCE,family_cycle_v0,base,
207,DM0207,digimon,jellymon,軟体型,データ,aquatic,119,SPECIES_SEAKING,family_cycle_v0,base,
208,DM0208,digimon,puyoyomon,レッサー型,,base,208,SPECIES_STEELIX,family_cycle_v0,base,
209,DM0209,digimon,puyomon,スライム型,,base,209,SPECIES_SNUBBULL,family_cycle_v0,base,
210,DM0210,digimon,angoramon,獣型,ワクチン,beast,359,SPECIES_ABSOL,family_cycle_v0,base,
211,DM0211,digimon,bosamon,レッサー型,,base,211,SPECIES_QWILFISH,family_cycle_v0,base,
212,DM0212,digimon,pyonmon,スライム型,,base,212,SPECIES_SCIZOR,family_cycle_v0,base,
213,DM0213,digimon,gammamon,角竜型,ウィルス,dragon,329,SPECIES_VIBRAVA,family_cycle_v0,base,
214,DM0214,digimon,gurimon,レッサー型,,base,214,SPECIES_HERACROSS,family_cycle_v0,base,
215,DM0215,digimon,curimon,スライム型,,base,215,SPECIES_SNEASEL,family_cycle_v0,base,
216,DM0216,digimon,abbadomon,種族不明,不明,base,216,SPECIES_TEDDIURSA,family_cycle_v0,base,
217,DM0217,digimon,negamon,不明,,base,217,SPECIES_URSARING,family_cycle_v0,base,
218,DM0218,digimon,pilevolcamon,サイボーグ型,データ,machine,212,SPECIES_SCIZOR,family_cycle_v0,base,
219,DM0219,digimon,raidenmon,マシーン型,ウィルス,machine,233,SPECIES_PORYGON2,family_cycle_v0,base,
220,DM0220,digimon,raijinmon,サイボーグ型,ウィルス,machine,299,SPECIES_NOSEPASS,family_cycle_v0,base,
221,DM0221,digimon,dokunemon,幼虫型,ウィルス,insect,123,SPECIES_SCYTHER,family_cycle_v0,base,
222,DM0222,digimon,modokibetamon,両生類型,データ,aquatic,195,SPECIES_QUAGSIRE,family_cycle_v0,base,
223,DM0223,digimon,hydramon,植物型,ウィルス,base,223,SPECIES_REMORAID,family_cycle_v0,base,
224,DM0224,digimon,bloomlordmon,妖精型,ワクチン,base,224,SPECIES_OCTILLERY,family_cycle_v0,base,
225,DM0225,digimon,ajatarmon,植物型,ワクチン,base,225,SPECIES_DELIBIRD,family_cycle_v0,base,
226,DM0226,digimon,gardromon_gold,マシーン型,フリー,machine,374,SPECIES_BELDUM,family_cycle_v0,base,
227,DM0227,digimon,burgamon_lv4,食物型,ワクチン,base,227,SPECIES_SKARMORY,family_cycle_v0,base,
228,DM0228,digimon,pidmon,天使型,ワクチン,angel,282,SPECIES_GARDEVOIR,family_cycle_v0,base,
229,DM0229,digimon,sandyammamon,昆虫型,データ,insect,205,SPECIES_FORRETRESS,family_cycle_v0,base,
230,DM0230,digimon,yammamon,昆虫型,データ,insect,212,SPECIES_SCIZOR,family_cycle_v0,base,
231,DM0231,digimon,morishellmon,軟体型,データ,aquatic,260,SPECIES_SWAMPERT,family_cycle_v0,base,
232,DM0232,digimon,bombernanimon,インベイド型,ウィルス,base,232,SPECIES_DONPHAN,family_cycle_v0,base,
233,DM0233,digimon,heraklekabuterimon_x,昆虫型,ワクチン,insect,266,SPECIES_SILCOON,family_cycle_v0,base,
234,DM0234,digimon,starmon_x,突然変異型,データ,base,234,SPECIES_STANTLER,family_cycle_v0,base,
235,DM0235,digimon,growmon_x,魔竜型,ウィルス,dragon,373,SPECIES_SALAMENCE,family_cycle_v0,base,
236,DM0236,digimon,hagurumon_x,マシーン型,ウィルス,machine,137,SPECIES_PORYGON,family_cycle_v0,base,
237,DM0237,digimon,gaioumon_itto,竜人型,ウィルス,dragon,381,SPECIES_LATIOS,family_cycle_v0,base,
238,DM0238,digimon,brachiomon,首長竜型,データ,dragon,384,SPECIES_RAYQUAZA,family_cycle_v0,base,
239,DM0239,digimon,kyukimon,妖獣型,ウィルス,beast,190,SPECIES_AIPOM,family_cycle_v0,base,
240,DM0240,digimon,vermillimon,鎧竜型,データ,dragon,147,SPECIES_DRATINI,family_cycle_v0,base,
