local_index,glyph_id_hex,glyph_id_decimal,char,codepoint,source,source_encoding,source_bbx,canonical_text,canonical_glyph_appearance
72,0x0248,584,十,U+5341,M+ Bitmap Font mplus_j12r,JISX0208 0x3D3D,"12x13+0,-2",yes,no (font-v0 fallback)
73,0x0249,585,千,U+5343,M+ Bitmap Font mplus_j12r,JISX0208 0x4069,"12x13+0,-2",yes,no (font-v0 fallback)
74,0x024A,586,博,U+535A,M+ Bitmap Font mplus_j12r,JISX0208 0x476E,"12x13+0,-2",yes,no (font-v0 fallback)
75,0x024B,587,原,U+539F,M+ Bitmap Font mplus_j12r,JISX0208 0x3836,"12x13+0,-2",yes,no (font-v0 fallback)
76,0x024C,588,厳,U+53B3,M+ Bitmap Font mplus_j12r,JISX0208 0x3837,"12x13+0,-2",yes,no (font-v0 fallback)
77,0x024D,589,参,U+53C2,M+ Bitmap Font mplus_j12r,JISX0208 0x3B32,"12x13+0,-2",yes,no (font-v0 fallback)
78,0x024E,590,友,U+53CB,M+ Bitmap Font mplus_j12r,JISX0208 0x4D27,"12x13+0,-2",yes,no (font-v0 fallback)
79,0x024F,591,双,U+53CC,M+ Bitmap Font mplus_j12r,JISX0208 0x4150,"12x13+0,-2",yes,no (font-v0 fallback)
80,0x0250,592,叢,U+53E2,M+ Bitmap Font mplus_j12r,JISX0208 0x4151,"12x13+0,-2",yes,no (font-v0 fallback)
81,0x0251,593,叩,U+53E9,M+ Bitmap Font mplus_j12r,JISX0208 0x4321,"12x13+0,-2",yes,no (font-v0 fallback)
82,0x0252,594,召,U+53EC,M+ Bitmap Font mplus_j12r,JISX0208 0x3E24,"12x13+0,-2",yes,no (font-v0 fallback)
83,0x0253,595,叭,U+53ED,M+ Bitmap Font mplus_j12r,JISX0208 0x525C,"12x13+0,-2",yes,no (font-v0 fallback)
84,0x0254,596,台,U+53F0,M+ Bitmap Font mplus_j12r,JISX0208 0x4266,"12x13+0,-2",yes,no (font-v0 fallback)
85,0x0255,597,右,U+53F3,M+ Bitmap Font mplus_j12r,JISX0208 0x3126,"12x13+0,-2",yes,no (font-v0 fallback)
86,0x0256,598,合,U+5408,M+ Bitmap Font mplus_j12r,JISX0208 0x3967,"12x13+0,-2",yes,no (font-v0 fallback)
87,0x0257,599,吐,U+5410,M+ Bitmap Font mplus_j12r,JISX0208 0x4547,"12x13+0,-2",yes,no (font-v0 fallback)
88,0x0258,600,吹,U+5439,M+ Bitmap Font mplus_j12r,JISX0208 0x3F61,"12x13+0,-2",yes,no (font-v0 fallback)
89,0x0259,601,吼,U+543C,M+ Bitmap Font mplus_j12r,JISX0208 0x5263,"12x13+0,-2",yes,no (font-v0 fallback)
90,0x025A,602,呪,U+546A,M+ Bitmap Font mplus_j12r,JISX0208 0x3C76,"12x13+0,-2",yes,no (font-v0 fallback)
91,0x025B,603,呼,U+547C,M+ Bitmap Font mplus_j12r,JISX0208 0x3846,"12x13+0,-2",yes,no (font-v0 fallback)
92,0x025C,604,咆,U+5486,M+ Bitmap Font mplus_j12r,JISX0208 0x5276,"12x13+0,-2",yes,no (font-v0 fallback)
93,0x025D,605,咒,U+5492,M+ Bitmap Font mplus_j12r,JISX0208 0x5270,"12x13+0,-2",yes,no (font-v0 fallback)
94,0x025E,606,咬,U+54AC,M+ Bitmap Font mplus_j12r,JISX0208 0x527B,"12x13+0,-2",yes,no (font-v0 fallback)
95,0x025F,607,哀,U+54C0,M+ Bitmap Font mplus_j12r,JISX0208 0x3025,"12x13+0,-2",yes,no (font-v0 fallback)
96,0x0260,608,哭,U+54ED,M+ Bitmap Font mplus_j12r,JISX0208 0x532D,"12x13+0,-2",yes,no (font-v0 fallback)
97,0x0261,609,哮,U+54EE,M+ Bitmap Font mplus_j12r,JISX0208 0x532C,"12x13+0,-2",yes,no (font-v0 fallback)
98,0x0262,610,唐,U+5510,M+ Bitmap Font mplus_j12r,JISX0208 0x4562,"12x13+0,-2",yes,no (font-v0 fallback)
99,0x0263,611,善,U+5584,M+ Bitmap Font mplus_j12r,JISX0208 0x4131,"12x13+0,-2",yes,no (font-v0 fallback)
100,0x0264,612,喇,U+5587,M+ Bitmap Font mplus_j12r,JISX0208 0x5349,"12x13+0,-2",yes,no (font-v0 fallback)
101,0x0265,613,喪,U+55AA,M+ Bitmap Font mplus_j12r,JISX0208 0x4153,"12x13+0,-2",yes,no (font-v0 fallback)
102,0x0266,614,喰,U+55B0,M+ Bitmap Font mplus_j12r,JISX0208 0x3674,"12x13+0,-2",yes,no (font-v0 fallback)
103,0x0267,615,噛,U+565B,M+ Bitmap Font mplus_j12r,JISX0208 0x337A,"12x13+0,-2",yes,no (font-v0 fallback)
104,0x0268,616,四,U+56DB,M+ Bitmap Font mplus_j12r,JISX0208 0x3B4D,"12x13+0,-2",yes,no (font-v0 fallback)
105,0x0269,617,回,U+56DE,M+ Bitmap Font mplus_j12r,JISX0208 0x3273,"12x13+0,-2",yes,no (font-v0 fallback)
106,0x026A,618,圏,U+570F,M+ Bitmap Font mplus_j12r,JISX0208 0x3777,"12x13+0,-2",yes,no (font-v0 fallback)
107,0x026B,619,土,U+571F,M+ Bitmap Font mplus_j12r,JISX0208 0x455A,"12x13+0,-2",yes,no (font-v0 fallback)
108,0x026C,620,地,U+5730,M+ Bitmap Font mplus_j12r,JISX0208 0x434F,"12x13+0,-2",yes,no (font-v0 fallback)
109,0x026D,621,坤,U+5764,M+ Bitmap Font mplus_j12r,JISX0208 0x3A25,"12x13+0,-2",yes,no (font-v0 fallback)
110,0x026E,622,型,U+578B,M+ Bitmap Font mplus_j12r,JISX0208 0x373F,"12x13+0,-2",yes,no (font-v0 fallback)
111,0x026F,623,堀,U+5800,M+ Bitmap Font mplus_j12r,JISX0208 0x4B59,"12x13+0,-2",yes,no (font-v0 fallback)
112,0x0270,624,堕,U+5815,M+ Bitmap Font mplus_j12r,JISX0208 0x4244,"12x13+0,-2",yes,no (font-v0 fallback)
113,0x0271,625,塵,U+5875,M+ Bitmap Font mplus_j12r,JISX0208 0x3F50,"12x13+0,-2",yes,no (font-v0 fallback)
114,0x0272,626,墜,U+589C,M+ Bitmap Font mplus_j12r,JISX0208 0x4446,"12x13+0,-2",yes,no (font-v0 fallback)
115,0x0273,627,墨,U+58A8,M+ Bitmap Font mplus_j12r,JISX0208 0x4B4F,"12x13+0,-2",yes,no (font-v0 fallback)
116,0x0274,628,壁,U+58C1,M+ Bitmap Font mplus_j12r,JISX0208 0x4A49,"12x13+0,-2",yes,no (font-v0 fallback)
117,0x0275,629,壊,U+58CA,M+ Bitmap Font mplus_j12r,JISX0208 0x3275,"12x13+0,-2",yes,no (font-v0 fallback)
118,0x0276,630,士,U+58EB,M+ Bitmap Font mplus_j12r,JISX0208 0x3B4E,"12x13+0,-2",yes,no (font-v0 fallback)
119,0x0277,631,壱,U+58F1,M+ Bitmap Font mplus_j12r,JISX0208 0x306D,"12x13+0,-2",yes,no (font-v0 fallback)
120,0x0278,632,変,U+5909,M+ Bitmap Font mplus_j12r,JISX0208 0x4A51,"12x13+0,-2",yes,no (font-v0 fallback)
121,0x0279,633,夜,U+591C,M+ Bitmap Font mplus_j12r,JISX0208 0x4C6B,"12x13+0,-2",yes,no (font-v0 fallback)
122,0x027A,634,夢,U+5922,M+ Bitmap Font mplus_j12r,JISX0208 0x4C34,"12x13+0,-2",yes,no (font-v0 fallback)
123,0x027B,635,大,U+5927,M+ Bitmap Font mplus_j12r,JISX0208 0x4267,"12x13+0,-2",yes,no (font-v0 fallback)
124,0x027C,636,天,U+5929,M+ Bitmap Font mplus_j12r,JISX0208 0x4537,"12x13+0,-2",yes,no (font-v0 fallback)
125,0x027D,637,太,U+592A,M+ Bitmap Font mplus_j12r,JISX0208 0x4240,"12x13+0,-2",yes,no (font-v0 fallback)
126,0x027E,638,失,U+5931,M+ Bitmap Font mplus_j12r,JISX0208 0x3C3A,"12x13+0,-2",yes,no (font-v0 fallback)
127,0x027F,639,女,U+5973,M+ Bitmap Font mplus_j12r,JISX0208 0x3D77,"12x13+0,-2",yes,no (font-v0 fallback)
128,0x0280,640,妖,U+5996,M+ Bitmap Font mplus_j12r,JISX0208 0x4D45,"12x13+0,-2",yes,no (font-v0 fallback)
129,0x0281,641,姫,U+59EB,M+ Bitmap Font mplus_j12r,JISX0208 0x4931,"12x13+0,-2",yes,no (font-v0 fallback)
130,0x0282,642,姿,U+59FF,M+ Bitmap Font mplus_j12r,JISX0208 0x3B51,"12x13+0,-2",yes,no (font-v0 fallback)
131,0x0283,643,子,U+5B50,M+ Bitmap Font mplus_j12r,JISX0208 0x3B52,"12x13+0,-2",yes,no (font-v0 fallback)
132,0x0284,644,字,U+5B57,M+ Bitmap Font mplus_j12r,JISX0208 0x3B7A,"12x13+0,-2",yes,no (font-v0 fallback)
133,0x0285,645,孤,U+5B64,M+ Bitmap Font mplus_j12r,JISX0208 0x3849,"12x13+0,-2",yes,no (font-v0 fallback)
134,0x0286,646,宇,U+5B87,M+ Bitmap Font mplus_j12r,JISX0208 0x3127,"12x13+0,-2",yes,no (font-v0 fallback)
135,0x0287,647,守,U+5B88,M+ Bitmap Font mplus_j12r,JISX0208 0x3C69,"12x13+0,-2",yes,no (font-v0 fallback)
136,0x0288,648,定,U+5B9A,M+ Bitmap Font mplus_j12r,JISX0208 0x446A,"12x13+0,-2",yes,no (font-v0 fallback)
137,0x0289,649,対,U+5BFE,M+ Bitmap Font mplus_j12r,JISX0208 0x4250,"12x13+0,-2",yes,no (font-v0 fallback)
138,0x028A,650,封,U+5C01,M+ Bitmap Font mplus_j12r,JISX0208 0x4975,"12x13+0,-2",yes,no (font-v0 fallback)
139,0x028B,651,射,U+5C04,M+ Bitmap Font mplus_j12r,JISX0208 0x3C4D,"12x13+0,-2",yes,no (font-v0 fallback)
140,0x028C,652,尊,U+5C0A,M+ Bitmap Font mplus_j12r,JISX0208 0x423A,"12x13+0,-2",yes,no (font-v0 fallback)
141,0x028D,653,小,U+5C0F,M+ Bitmap Font mplus_j12r,JISX0208 0x3E2E,"12x13+0,-2",yes,no (font-v0 fallback)
142,0x028E,654,尖,U+5C16,M+ Bitmap Font mplus_j12r,JISX0208 0x406D,"12x13+0,-2",yes,no (font-v0 fallback)
143,0x028F,655,居,U+5C45,M+ Bitmap Font mplus_j12r,JISX0208 0x356F,"12x13+0,-2",yes,no (font-v0 fallback)
144,0x0290,656,岩,U+5CA9,M+ Bitmap Font mplus_j12r,JISX0208 0x3464,"12x13+0,-2",yes,no (font-v0 fallback)
145,0x0291,657,崩,U+5D29,M+ Bitmap Font mplus_j12r,JISX0208 0x4A78,"12x13+0,-2",yes,no (font-v0 fallback)
146,0x0292,658,嵐,U+5D50,M+ Bitmap Font mplus_j12r,JISX0208 0x4D72,"12x13+0,-2",yes,no (font-v0 fallback)
147,0x0293,659,巌,U+5DCC,M+ Bitmap Font mplus_j12r,JISX0208 0x3460,"12x13+0,-2",yes,no (font-v0 fallback)
148,0x0294,660,左,U+5DE6,M+ Bitmap Font mplus_j12r,JISX0208 0x3A38,"12x13+0,-2",yes,no (font-v0 fallback)
149,0x0295,661,巨,U+5DE8,M+ Bitmap Font mplus_j12r,JISX0208 0x3570,"12x13+0,-2",yes,no (font-v0 fallback)
150,0x0296,662,巫,U+5DEB,M+ Bitmap Font mplus_j12r,JISX0208 0x5660,"12x13+0,-2",yes,no (font-v0 fallback)
151,0x0297,663,己,U+5DF1,M+ Bitmap Font mplus_j12r,JISX0208 0x384A,"12x13+0,-2",yes,no (font-v0 fallback)
152,0x0298,664,巻,U+5DFB,M+ Bitmap Font mplus_j12r,JISX0208 0x342C,"12x13+0,-2",yes,no (font-v0 fallback)
153,0x0299,665,布,U+5E03,M+ Bitmap Font mplus_j12r,JISX0208 0x495B,"12x13+0,-2",yes,no (font-v0 fallback)
154,0x029A,666,帝,U+5E1D,M+ Bitmap Font mplus_j12r,JISX0208 0x446B,"12x13+0,-2",yes,no (font-v0 fallback)
155,0x029B,667,帯,U+5E2F,M+ Bitmap Font mplus_j12r,JISX0208 0x4253,"12x13+0,-2",yes,no (font-v0 fallback)
156,0x029C,668,幕,U+5E55,M+ Bitmap Font mplus_j12r,JISX0208 0x4B6B,"12x13+0,-2",yes,no (font-v0 fallback)
157,0x029D,669,年,U+5E74,M+ Bitmap Font mplus_j12r,JISX0208 0x472F,"12x13+0,-2",yes,no (font-v0 fallback)
158,0x029E,670,幻,U+5E7B,M+ Bitmap Font mplus_j12r,JISX0208 0x3838,"12x13+0,-2",yes,no (font-v0 fallback)
159,0x029F,671,幽,U+5E7D,M+ Bitmap Font mplus_j12r,JISX0208 0x4D29,"12x13+0,-2",yes,no (font-v0 fallback)
160,0x02A0,672,度,U+5EA6,M+ Bitmap Font mplus_j12r,JISX0208 0x4559,"12x13+0,-2",yes,no (font-v0 fallback)
161,0x02A1,673,建,U+5EFA,M+ Bitmap Font mplus_j12r,JISX0208 0x377A,"12x13+0,-2",yes,no (font-v0 fallback)
162,0x02A2,674,廻,U+5EFB,M+ Bitmap Font mplus_j12r,JISX0208 0x3276,"12x13+0,-2",yes,no (font-v0 fallback)
163,0x02A3,675,弐,U+5F10,M+ Bitmap Font mplus_j12r,JISX0208 0x4675,"12x13+0,-2",yes,no (font-v0 fallback)
164,0x02A4,676,弗,U+5F17,M+ Bitmap Font mplus_j12r,JISX0208 0x4A26,"12x13+0,-2",yes,no (font-v0 fallback)
165,0x02A5,677,張,U+5F35,M+ Bitmap Font mplus_j12r,JISX0208 0x4425,"12x13+0,-2",yes,no (font-v0 fallback)
166,0x02A6,678,強,U+5F37,M+ Bitmap Font mplus_j12r,JISX0208 0x362F,"12x13+0,-2",yes,no (font-v0 fallback)
167,0x02A7,679,弾,U+5F3E,M+ Bitmap Font mplus_j12r,JISX0208 0x4346,"12x13+0,-2",yes,no (font-v0 fallback)
168,0x02A8,680,当,U+5F53,M+ Bitmap Font mplus_j12r,JISX0208 0x4576,"12x13+0,-2",yes,no (font-v0 fallback)
169,0x02A9,681,影,U+5F71,M+ Bitmap Font mplus_j12r,JISX0208 0x3146,"12x13+0,-2",yes,no (font-v0 fallback)
170,0x02AA,682,得,U+5F97,M+ Bitmap Font mplus_j12r,JISX0208 0x4640,"12x13+0,-2",yes,no (font-v0 fallback)
171,0x02AB,683,御,U+5FA1,M+ Bitmap Font mplus_j12r,JISX0208 0x3866,"12x13+0,-2",yes,no (font-v0 fallback)
172,0x02AC,684,復,U+5FA9,M+ Bitmap Font mplus_j12r,JISX0208 0x497C,"12x13+0,-2",yes,no (font-v0 fallback)
173,0x02AD,685,徹,U+5FB9,M+ Bitmap Font mplus_j12r,JISX0208 0x4530,"12x13+0,-2",yes,no (font-v0 fallback)
174,0x02AE,686,心,U+5FC3,M+ Bitmap Font mplus_j12r,JISX0208 0x3F34,"12x13+0,-2",yes,no (font-v0 fallback)
175,0x02AF,687,応,U+5FDC,M+ Bitmap Font mplus_j12r,JISX0208 0x317E,"12x13+0,-2",yes,no (font-v0 fallback)
176,0x02B0,688,念,U+5FF5,M+ Bitmap Font mplus_j12r,JISX0208 0x4730,"12x13+0,-2",yes,no (font-v0 fallback)
177,0x02B1,689,怒,U+6012,M+ Bitmap Font mplus_j12r,JISX0208 0x455C,"12x13+0,-2",yes,no (font-v0 fallback)
178,0x02B2,690,怠,U+6020,M+ Bitmap Font mplus_j12r,JISX0208 0x4255,"12x13+0,-2",yes,no (font-v0 fallback)
179,0x02B3,691,急,U+6025,M+ Bitmap Font mplus_j12r,JISX0208 0x355E,"12x13+0,-2",yes,no (font-v0 fallback)
180,0x02B4,692,性,U+6027,M+ Bitmap Font mplus_j12r,JISX0208 0x402D,"12x13+0,-2",yes,no (font-v0 fallback)
181,0x02B5,693,怨,U+6028,M+ Bitmap Font mplus_j12r,JISX0208 0x3165,"12x13+0,-2",yes,no (font-v0 fallback)
182,0x02B6,694,息,U+606F,M+ Bitmap Font mplus_j12r,JISX0208 0x4229,"12x13+0,-2",yes,no (font-v0 fallback)
183,0x02B7,695,悟,U+609F,M+ Bitmap Font mplus_j12r,JISX0208 0x3867,"12x13+0,-2",yes,no (font-v0 fallback)
184,0x02B8,696,悪,U+60AA,M+ Bitmap Font mplus_j12r,JISX0208 0x302D,"12x13+0,-2",yes,no (font-v0 fallback)
185,0x02B9,697,情,U+60C5,M+ Bitmap Font mplus_j12r,JISX0208 0x3E70,"12x13+0,-2",yes,no (font-v0 fallback)
186,0x02BA,698,愚,U+611A,M+ Bitmap Font mplus_j12r,JISX0208 0x3672,"12x13+0,-2",yes,no (font-v0 fallback)
187,0x02BB,699,愛,U+611B,M+ Bitmap Font mplus_j12r,JISX0208 0x3026,"12x13+0,-2",yes,no (font-v0 fallback)
188,0x02BC,700,成,U+6210,M+ Bitmap Font mplus_j12r,JISX0208 0x402E,"12x13+0,-2",yes,no (font-v0 fallback)
189,0x02BD,701,戒,U+6212,M+ Bitmap Font mplus_j12r,JISX0208 0x327C,"12x13+0,-2",yes,no (font-v0 fallback)
190,0x02BE,702,戟,U+621F,M+ Bitmap Font mplus_j12r,JISX0208 0x3761,"12x13+0,-2",yes,no (font-v0 fallback)
191,0x02BF,703,戦,U+6226,M+ Bitmap Font mplus_j12r,JISX0208 0x406F,"12x13+0,-2",yes,no (font-v0 fallback)
